,Real Madrid scored,Real Madrid received,Barcelona scored,Barcelona received,Leganes scored,Leganes received,Levante scored,Levante received,Eibar scored,Eibar received,Valencia scored,Valencia received,Sociedad scored,Sociedad received,Ath Madrid scored,Ath Madrid received,Girona scored,Girona received,Sevilla scored,Sevilla received,Ath Bilbao scored,Ath Bilbao received,Getafe scored,Getafe received,Espanol scored,Espanol received,Alaves scored,Alaves received,Malaga scored,Malaga received,Las Palmas scored,Las Palmas received,Villarreal scored,Villarreal received,Betis scored,Betis received,La Coruna scored,La Coruna received,Celta scored,Celta received
0,3,0,2,0,1,0,1,0,1,0,1,0,3,2,2,2,2,2,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,2,0,3,2,3
1,2,2,2,0,1,0,2,2,0,1,2,2,3,0,5,1,1,0,1,0,1,0,0,1,0,1,0,2,0,1,1,5,0,3,2,1,2,2,1,2
2,1,1,5,0,1,2,1,1,0,3,0,0,4,2,0,0,0,2,3,0,2,0,2,1,0,5,0,1,1,3,3,1,3,1,1,3,2,4,1,0
3,3,1,2,1,0,1,1,1,1,0,1,1,1,3,1,0,0,1,1,0,0,1,1,2,2,1,0,3,0,1,1,0,3,0,2,1,1,2,1,2
4,0,1,6,1,0,0,3,0,1,6,5,0,0,3,2,1,0,0,1,0,1,2,1,1,0,0,0,1,0,5,0,1,0,0,1,0,1,0,1,1
5,2,1,3,0,2,0,0,4,0,4,3,2,2,3,2,0,0,3,0,2,3,3,4,0,4,1,1,2,3,3,0,2,0,4,4,0,1,4,4,0
6,2,0,3,0,0,0,0,2,0,3,3,2,4,4,0,0,3,3,2,0,2,3,1,2,0,2,2,0,0,2,0,3,3,0,4,4,2,1,3,3
7,2,1,1,1,2,0,0,0,0,0,6,3,2,0,1,1,1,2,0,1,1,0,1,2,0,0,0,2,0,2,2,5,2,1,3,6,0,0,5,2
8,3,0,2,0,1,0,1,1,0,3,4,0,1,1,1,0,2,1,0,4,0,1,1,1,1,1,0,2,0,2,0,4,4,0,2,0,1,2,0,1
9,1,2,2,0,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,0,2,2,1,1,0,1,2,2,1,1,3,1,1,0,1,3,1,1,2
