,Real Madrid scored,Real Madrid received,Sevilla scored,Sevilla received,Mallorca scored,Mallorca received,Ath Bilbao scored,Ath Bilbao received,Ath Madrid scored,Ath Madrid received,Osasuna scored,Osasuna received,Alaves scored,Alaves received,Valladolid scored,Valladolid received,Villarreal scored,Villarreal received,Sociedad scored,Sociedad received,Valencia scored,Valencia received,Granada scored,Granada received,Betis scored,Betis received,Leganes scored,Leganes received,Barcelona scored,Barcelona received,Getafe scored,Getafe received,Levante scored,Levante received,Celta scored,Celta received,Espanol scored,Espanol received,Eibar scored,Eibar received
0,3,1,2,0,2,1,1,0,1,0,1,0,1,0,2,1,4,4,1,1,1,1,4,4,1,2,0,1,0,1,0,1,0,1,1,3,0,2,1,2
1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,2,1,0,0,1,0,1,2,5,0,1,5,2,1,1,2,1,1,0,0,0,0,0
2,2,2,1,1,0,2,2,0,3,2,2,2,1,1,0,2,2,2,0,2,2,0,3,0,2,1,1,2,2,2,1,1,2,0,1,1,0,3,2,3
3,3,2,1,0,0,0,0,0,0,2,1,1,0,1,1,1,3,0,2,0,2,5,2,0,1,1,0,3,5,2,1,1,2,3,0,2,2,1,1,2
4,1,0,0,1,2,4,2,0,0,0,0,0,0,2,0,2,2,0,3,1,1,1,2,0,0,0,1,1,0,2,4,2,0,0,0,0,1,3,0,0
5,2,0,2,3,0,2,1,1,2,0,0,2,0,3,1,1,1,2,3,0,3,3,1,1,3,1,1,1,2,1,3,3,1,3,1,1,1,1,3,2
6,0,0,3,2,0,2,0,1,0,0,1,1,2,0,2,0,5,1,2,3,1,0,1,0,1,5,0,1,2,0,0,2,1,1,0,2,0,2,2,0
7,4,2,0,4,2,0,0,1,0,0,2,1,1,2,0,0,1,2,1,2,2,1,2,4,1,1,1,2,4,0,2,1,2,1,1,0,0,2,1,1
8,0,1,1,0,1,0,1,1,1,1,0,1,2,0,1,1,1,0,3,1,1,1,1,0,1,3,0,2,3,0,2,0,0,1,0,2,0,1,0,3
9,0,0,2,0,0,1,0,2,2,0,3,1,1,4,2,0,4,1,1,0,1,3,1,0,0,1,1,0,0,0,0,2,0,1,0,1,1,0,0,2
10,5,0,1,1,2,2,3,0,1,1,2,2,1,1,1,5,1,2,1,2,1,1,1,3,2,1,0,5,5,1,3,1,2,1,1,2,0,3,2,1
11,0,0,1,1,0,3,0,0,1,1,4,2,2,4,3,0,0,0,2,1,2,1,1,2,0,0,1,2,1,3,1,0,3,1,0,1,1,2,2,1
12,4,0,2,1,3,1,2,1,3,1,0,0,3,0,0,3,1,3,1,1,2,0,0,2,1,2,1,1,4,1,0,0,1,2,1,4,1,3,0,4
13,3,1,1,0,1,2,2,1,1,1,1,2,2,0,0,1,1,3,1,3,1,2,1,1,2,1,1,2,2,1,1,1,2,1,3,1,1,1,0,2
14,2,1,1,0,1,2,2,0,0,1,4,2,1,2,0,0,1,2,4,1,2,1,0,2,2,1,0,1,1,0,4,0,0,4,0,0,2,4,1,4
15,2,0,1,1,2,5,2,3,0,0,1,1,0,3,0,0,0,0,0,0,4,2,3,0,3,2,3,2,5,2,1,0,2,4,2,3,0,2,0,1
16,1,1,1,2,2,2,0,0,2,0,0,2,1,1,0,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,0,2,1,2,2,2,2,0,0
17,0,0,2,0,0,2,0,0,2,1,3,4,1,4,1,1,1,0,4,3,1,1,0,3,1,2,2,0,4,1,0,1,3,1,1,3,0,2,3,0
18,3,0,1,1,0,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,0,1,0,1,1,2,2,2,2,0,3,1,2,1,1,2,2,0,1
19,2,1,1,2,4,1,1,1,0,2,0,0,1,0,0,0,1,2,0,3,1,4,0,1,3,0,0,3,1,0,3,0,0,1,1,1,2,1,2,0
20,1,0,2,0,0,3,1,1,0,0,2,0,1,2,0,1,2,1,3,0,2,0,0,2,0,1,0,0,0,2,1,0,0,2,0,0,1,1,0,0
21,1,0,1,1,0,1,0,2,0,1,1,3,1,1,1,0,3,1,1,2,1,0,2,1,1,1,2,1,2,1,2,0,1,2,0,1,1,2,1,1
22,4,1,1,2,0,1,1,2,1,0,1,4,2,1,1,1,1,1,2,1,0,3,0,1,2,3,0,2,3,2,3,0,2,0,2,1,1,0,1,2
23,2,2,2,2,1,0,0,1,2,2,1,0,0,1,1,2,2,1,2,1,2,2,2,1,0,0,0,0,2,1,1,2,1,2,2,2,2,2,1,2
24,0,1,3,0,3,3,1,2,3,1,0,3,2,1,2,1,1,3,3,0,0,3,3,0,3,3,0,1,5,0,0,3,1,0,1,0,1,2,0,5
25,2,0,3,2,0,1,1,0,1,1,2,3,1,1,0,1,0,1,1,0,2,1,0,0,1,2,1,1,0,2,1,0,0,3,0,0,1,1,3,0
26,1,2,2,2,2,1,4,1,2,2,1,0,1,1,1,4,1,2,0,1,1,1,1,1,2,1,2,1,1,0,0,0,1,1,0,0,0,1,1,2
27,3,1,2,0,0,4,1,1,1,1,1,1,0,2,2,1,1,0,1,1,1,1,2,1,0,2,1,2,4,0,1,2,1,1,0,1,2,0,1,3
28,3,0,1,1,0,1,2,2,5,0,0,5,2,0,0,0,1,0,0,2,0,3,2,2,2,2,0,2,2,0,0,0,1,1,0,0,0,0,2,2
29,2,1,0,0,1,1,1,0,1,0,0,2,0,6,0,1,1,0,1,2,2,0,0,1,0,1,1,1,0,0,1,1,3,1,6,0,1,3,1,1
30,2,0,2,2,0,2,0,1,1,0,1,0,0,1,1,1,2,2,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0
