,Real Madrid scored,Real Madrid received,Sevilla scored,Sevilla received,Valladolid scored,Valladolid received,Ath Bilbao scored,Ath Bilbao received,Ath Madrid scored,Ath Madrid received,Osasuna scored,Osasuna received,Alaves scored,Alaves received,Mallorca scored,Mallorca received,Granada scored,Granada received,Villarreal scored,Villarreal received,Sociedad scored,Sociedad received,Valencia scored,Valencia received,Betis scored,Betis received,Eibar scored,Eibar received,Leganes scored,Leganes received,Barcelona scored,Barcelona received,Getafe scored,Getafe received,Espanol scored,Espanol received,Levante scored,Levante received,Celta scored,Celta received
0,3,1,2,0,2,1,1,0,1,0,1,0,1,0,2,1,4,4,4,4,1,1,1,1,1,2,1,2,0,1,0,1,0,1,0,2,0,1,1,3
1,4,2,3,0,3,2,2,1,2,0,1,0,1,0,2,2,4,5,5,6,2,1,1,2,3,7,1,2,0,2,5,3,1,2,0,2,2,2,2,3
2,6,4,4,1,3,4,4,1,5,2,3,2,2,1,2,4,7,5,7,8,2,3,3,2,5,8,3,5,1,4,7,5,2,3,0,5,4,2,3,4
3,9,6,5,1,4,5,4,1,5,4,4,3,2,2,2,4,9,5,10,8,4,3,5,7,6,9,4,7,1,7,12,7,3,4,2,6,6,5,3,6
4,10,6,5,2,4,7,6,1,5,4,4,3,2,4,4,8,11,5,12,8,7,4,6,8,6,9,4,7,2,8,12,9,7,6,3,9,6,5,3,6
5,12,6,7,5,5,8,7,2,7,4,4,5,2,7,4,10,12,6,13,10,10,4,9,11,9,10,7,9,3,9,14,10,10,9,4,10,7,8,4,7
6,12,6,10,7,7,8,7,3,7,4,5,6,4,7,4,12,13,6,18,11,12,7,10,11,10,15,9,9,3,10,16,10,10,11,4,12,8,9,4,9
7,16,8,10,11,7,8,7,4,7,4,7,7,5,9,6,12,15,10,19,13,13,9,12,12,11,16,10,10,4,12,20,10,12,12,4,14,10,10,5,9
8,16,9,11,11,8,9,8,5,8,5,7,8,7,9,7,12,16,10,20,13,16,10,13,13,12,19,10,13,4,14,23,10,14,12,4,15,10,11,5,11
9,16,9,13,11,10,9,8,7,10,5,10,9,8,13,7,13,17,10,24,14,17,10,14,16,12,20,10,15,5,14,23,10,14,14,5,15,10,12,5,12
10,21,9,14,12,11,14,11,7,11,6,12,11,9,14,9,15,18,13,25,16,18,12,15,17,14,21,12,16,5,19,28,11,17,15,5,18,12,13,6,14
11,21,9,15,13,14,14,11,7,12,7,16,13,11,18,9,18,19,15,25,16,20,13,17,18,14,21,14,17,6,21,29,14,18,15,6,20,15,14,6,15
12,25,9,17,14,14,17,13,8,15,8,16,13,14,18,12,19,19,17,26,19,21,14,19,18,15,23,14,21,7,22,33,15,18,15,7,23,16,16,7,19
13,28,10,18,14,14,18,15,9,16,9,17,15,16,18,13,21,20,18,27,22,22,17,20,20,17,24,14,23,8,24,35,16,19,16,8,24,18,17,10,20
14,30,11,19,14,14,18,17,9,16,10,21,17,17,20,14,23,20,20,28,24,26,18,22,21,19,25,15,27,8,25,36,16,23,16,10,28,18,21,10,20
15,32,11,20,15,14,18,19,12,16,10,22,18,17,23,16,28,23,20,28,24,26,18,26,23,22,27,15,28,11,27,41,18,24,16,10,30,20,25,12,23
16,33,12,21,17,14,20,19,12,18,10,22,20,18,24,18,30,24,22,30,25,28,20,27,24,24,29,15,28,12,28,43,20,26,16,12,32,22,26,14,25
17,33,12,23,17,15,21,19,12,20,11,25,24,19,28,18,32,24,25,31,25,32,23,28,25,25,31,18,28,14,28,47,21,26,17,12,34,25,27,15,28
18,36,12,24,18,17,23,20,13,22,12,26,25,20,29,18,33,25,25,33,26,33,25,29,25,26,32,18,29,16,30,49,23,26,20,14,36,26,29,16,29
19,38,13,25,20,17,23,21,14,22,14,26,25,21,29,22,34,25,26,34,28,33,28,30,29,29,32,20,29,16,33,50,23,29,20,16,37,26,30,17,30
20,39,13,27,20,17,24,22,15,22,14,28,25,22,31,22,37,25,28,36,29,36,28,32,29,29,33,20,29,16,33,50,25,30,20,17,38,26,32,17,30
21,40,13,28,21,18,24,22,17,22,15,29,28,23,32,22,38,27,29,39,30,37,30,33,29,30,34,21,30,18,34,52,26,32,20,18,40,27,34,17,31
22,44,14,29,23,19,25,23,19,23,15,30,32,25,33,22,39,27,30,40,31,39,31,33,32,32,37,22,32,18,36,55,28,35,20,19,40,29,34,19,32
23,46,16,31,25,20,27,23,20,25,17,31,32,25,34,23,39,29,31,42,32,41,32,35,34,32,37,23,34,18,36,57,29,36,22,21,42,30,36,21,34
24,46,17,34,25,22,28,24,22,28,18,31,35,27,35,26,42,32,31,43,35,44,32,35,37,35,40,23,39,18,37,62,29,36,25,22,44,31,36,22,34
25,48,17,37,27,22,29,25,22,29,19,33,38,28,36,26,43,32,31,43,36,45,32,37,38,36,42,26,39,19,38,62,31,37,25,23,45,31,39,22,34
26,49,19,39,29,23,33,29,23,31,21,34,38,29,37,28,44,33,32,44,38,45,33,38,39,38,43,27,41,21,39,63,31,37,25,23,46,32,40,22,34
27,49,19,39,29,23,33,29,23,31,21,34,38,29,37,28,44,33,32,44,38,45,33,38,39,38,43,27,41,21,39,63,31,37,25,23,46,32,40,22,34
28,49,19,39,29,23,33,29,23,31,21,34,38,29,37,28,44,33,32,44,38,45,33,38,39,38,43,27,41,21,39,63,31,37,25,23,46,32,40,22,34
29,49,19,39,29,23,33,29,23,31,21,34,38,29,37,28,44,33,32,44,38,45,33,38,39,38,43,27,41,21,39,63,31,37,25,23,46,32,40,22,34
30,49,19,39,29,23,33,29,23,31,21,34,38,29,37,28,44,33,32,44,38,45,33,38,39,38,43,27,41,21,39,63,31,37,25,23,46,32,40,22,34
31,49,19,39,29,23,33,29,23,31,21,34,38,29,37,28,44,33,32,44,38,45,33,38,39,38,43,27,41,21,39,63,31,37,25,23,46,32,40,22,34
32,49,19,39,29,23,33,29,23,31,21,34,38,29,37,28,44,33,32,44,38,45,33,38,39,38,43,27,41,21,39,63,31,37,25,23,46,32,40,22,34
