,Valencia scored,Valencia received,Osasuna scored,Osasuna received,Granada scored,Granada received,Betis scored,Betis received,Villarreal scored,Villarreal received,Celta scored,Celta received,Sociedad scored,Sociedad received,Eibar scored,Eibar received,Valladolid scored,Valladolid received,Huesca scored,Huesca received,Ath Madrid scored,Ath Madrid received,Elche scored,Elche received,Barcelona scored,Barcelona received,Getafe scored,Getafe received,Real Madrid scored,Real Madrid received,Sevilla scored,Sevilla received,Alaves scored,Alaves received,Levante scored,Levante received,Ath Bilbao scored,Ath Bilbao received,Cadiz scored,Cadiz received
0,4,2,2,0,2,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,0,2
1,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
2,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
3,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
4,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
5,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
6,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
7,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
8,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
9,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
10,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
11,5,4,2,1,4,1,3,0,3,2,2,1,1,1,1,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,4,0,2,2,2
