,Mallorca scored,Mallorca received,Almeria scored,Almeria received,Villarreal scored,Villarreal received,Real Madrid scored,Real Madrid received,Murcia scored,Murcia received,Valladolid scored,Valladolid received,Sevilla scored,Sevilla received,Betis scored,Betis received,Recreativo scored,Recreativo received,Ath Bilbao scored,Ath Bilbao received,Osasuna scored,Osasuna received,Barcelona scored,Barcelona received,Santander scored,Santander received,Zaragoza scored,Zaragoza received,Espanol scored,Espanol received,Getafe scored,Getafe received,La Coruna scored,La Coruna received,Levante scored,Levante received,Valencia scored,Valencia received,Ath Madrid scored,Ath Madrid received
0,3,0,3,0,3,0,2,1,2,1,1,0,4,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1,4,0,3,0,3,0,3,1,2
1,4,1,4,2,3,5,7,1,2,1,3,2,5,2,3,3,2,2,1,3,1,1,3,1,1,1,2,3,2,3,2,5,2,5,0,3,2,4,2,3
2,4,2,5,5,4,5,10,2,3,2,4,4,9,3,3,4,3,6,2,4,1,1,3,1,2,1,3,4,3,3,2,6,3,5,0,4,4,5,3,4
3,5,3,6,6,6,5,11,3,3,4,5,5,10,5,4,6,5,7,4,5,2,3,5,2,2,5,5,5,4,5,2,6,3,5,1,6,6,6,7,4
4,9,5,7,6,8,5,13,3,3,5,7,9,12,8,4,8,7,7,4,7,6,4,9,3,2,7,6,9,7,7,3,8,3,7,2,10,8,7,9,4
5,9,8,7,7,9,5,14,3,7,6,8,13,12,10,7,8,7,8,4,8,6,6,13,4,3,7,8,9,8,7,3,9,3,8,3,14,9,7,11,4
6,13,10,8,8,11,8,16,3,7,6,8,15,12,11,7,8,7,10,5,9,9,8,16,4,5,7,11,9,10,8,5,13,4,8,3,17,10,9,11,7
7,15,10,10,8,14,9,17,5,7,8,9,17,14,11,8,9,7,12,7,10,9,10,17,7,6,8,11,13,12,9,7,13,6,12,3,19,14,11,15,7
8,17,12,10,10,15,13,20,6,8,8,11,19,17,11,8,9,7,13,7,10,11,12,19,7,8,8,15,14,14,11,7,15,7,15,3,20,14,14,16,7
9,18,13,10,11,18,13,25,7,8,8,12,20,20,15,8,12,7,13,7,12,14,12,20,8,8,8,16,14,14,11,9,15,8,16,3,23,15,19,20,10
10,18,15,10,14,22,16,25,9,8,10,15,22,22,15,8,15,7,15,9,12,14,14,23,8,9,9,18,17,15,12,11,15,10,16,6,23,17,19,23,14
11,21,19,10,14,25,18,29,12,8,13,16,22,24,18,10,16,8,15,10,14,14,15,23,10,10,9,19,19,17,13,13,15,10,17,6,24,20,19,23,14
12,23,20,11,15,26,19,30,13,9,14,19,26,25,20,13,20,8,18,12,16,15,17,26,10,11,9,20,20,19,14,14,16,12,19,10,27,20,20,27,17
13,24,21,12,15,26,21,33,14,10,15,21,26,25,21,13,22,10,19,15,16,17,18,27,11,12,12,21,22,20,15,16,17,13,21,11,29,20,23,29,17
14,25,24,13,15,26,22,34,14,11,18,21,27,28,22,14,22,12,19,15,17,17,18,29,12,15,13,24,25,23,18,16,18,14,23,11,31,20,23,30,17
15,25,24,14,18,29,23,36,14,13,19,21,27,28,22,17,23,12,19,15,17,17,20,32,12,16,15,25,26,24,18,17,21,15,24,11,32,20,26,30,17
16,26,27,14,20,30,24,37,14,14,20,21,27,32,23,17,23,13,20,16,18,20,21,32,13,17,19,27,28,26,19,19,21,16,24,11,33,22,28,31,19
17,26,29,15,21,30,27,39,14,16,20,24,27,35,23,17,26,14,21,16,19,20,23,34,13,18,19,27,30,29,19,19,24,16,27,11,33,22,28,34,19
18,28,31,16,21,34,30,41,14,16,24,27,28,35,25,20,28,15,24,18,19,20,25,38,13,20,19,29,32,29,20,21,27,19,31,11,35,22,29,35,19
19,30,33,17,21,37,30,43,14,17,27,29,29,37,28,21,29,16,25,18,21,22,25,39,13,20,20,32,33,30,22,24,29,19,32,13,37,22,32,35,21
20,31,33,18,21,39,33,46,16,19,30,30,32,39,29,23,30,17,28,19,22,23,27,40,14,22,22,34,35,31,24,27,30,22,33,16,39,22,33,35,22
21,32,34,20,21,40,34,46,18,20,31,30,34,41,30,23,31,18,30,19,23,23,28,41,14,23,23,35,35,32,24,27,31,23,33,17,40,24,33,36,23
22,32,34,20,21,41,34,53,18,20,32,30,41,42,31,24,34,20,31,20,23,24,28,42,15,23,25,35,36,33,26,28,32,24,34,17,41,27,34,38,23
23,33,35,21,21,41,34,54,20,20,33,31,42,46,33,26,35,23,33,22,24,25,30,44,16,23,25,36,38,35,30,28,32,26,37,19,42,27,34,39,25
24,34,36,21,22,43,35,54,21,20,34,32,42,51,33,27,36,24,34,23,26,28,31,49,17,24,25,36,43,35,32,29,32,28,37,20,47,28,35,40,28
25,37,39,22,23,43,35,57,23,20,38,32,43,52,35,31,36,26,37,24,27,28,31,51,21,25,25,37,45,37,32,32,35,30,38,22,48,28,37,44,30
26,44,40,23,25,45,36,59,24,20,41,32,45,54,36,31,39,27,44,26,27,30,32,52,23,28,25,39,46,38,34,35,35,32,40,23,50,30,39,45,32
27,45,42,25,27,47,36,59,25,22,45,32,45,56,37,32,41,31,46,28,28,30,32,54,25,29,27,39,48,40,35,37,36,33,40,23,53,31,41,48,32
28,46,42,26,28,49,37,61,28,26,45,33,49,57,39,33,41,31,48,29,28,30,33,58,26,31,27,40,49,40,39,37,37,33,41,24,55,34,43,50,33
29,49,42,28,29,52,37,64,29,27,48,35,50,58,42,36,43,32,49,30,29,32,33,60,29,34,27,41,51,40,42,37,39,36,42,25,57,34,46,50,36
30,50,43,31,35,52,39,65,30,28,48,38,50,60,42,39,43,33,49,31,29,32,34,60,29,35,30,41,54,40,43,37,39,39,43,25,60,34,47,56,39
31,52,46,32,35,52,40,66,30,28,49,39,51,63,44,39,44,35,51,31,32,33,34,62,31,37,31,41,54,40,44,37,39,42,43,26,60,35,49,57,40
32,56,47,36,36,54,40,68,30,29,53,39,53,64,48,42,45,35,54,36,33,33,35,62,31,37,33,44,54,40,44,38,42,43,43,29,61,36,54,58,43
33,59,48,36,37,55,40,71,30,29,53,40,53,64,48,42,46,37,54,36,36,33,38,62,33,38,36,45,55,41,45,39,43,45,43,29,63,39,54,59,44
34,61,49,37,38,57,40,73,31,31,56,40,55,66,48,43,47,37,57,37,38,34,40,68,33,41,38,46,55,42,46,39,45,45,44,30,64,39,60,62,44
35,63,50,39,42,59,40,77,32,32,58,41,56,69,48,44,48,37,59,39,39,35,42,69,37,41,41,46,56,42,48,43,47,46,44,30,65,40,60,64,44
36,66,52,39,44,61,40,79,34,33,60,41,56,71,48,44,50,39,59,39,39,37,43,71,40,41,41,48,58,42,50,43,47,46,45,31,70,45,61,65,44
37,69,54,42,45,63,40,84,36,36,65,42,57,75,49,45,51,40,60,40,43,37,44,76,43,42,41,50,61,43,53,44,48,46,47,33,75,48,62,66,47
