,Ath Madrid scored,Ath Madrid received,Valencia scored,Valencia received,Almeria scored,Almeria received,La Coruna scored,La Coruna received,Getafe scored,Getafe received,Numancia scored,Numancia received,Espanol scored,Espanol received,Recreativo scored,Recreativo received,Osasuna scored,Osasuna received,Santander scored,Santander received,Sevilla scored,Sevilla received,Villarreal scored,Villarreal received,Real Madrid scored,Real Madrid received,Sp Gijon scored,Sp Gijon received,Barcelona scored,Barcelona received,Betis scored,Betis received,Valladolid scored,Valladolid received,Ath Bilbao scored,Ath Bilbao received,Mallorca scored,Mallorca received,Malaga scored,Malaga received
0,4,0,3,0,3,1,2,1,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,1,0,1,1,3,0,3,0,4
1,1,2,2,2,2,2,0,1,0,0,3,4,1,0,0,1,1,1,1,1,4,3,1,0,4,3,3,4,1,1,0,0,2,1,0,0,1,1,0,0
2,4,0,1,0,1,0,0,0,1,1,1,2,1,1,0,4,0,1,0,2,0,0,2,1,2,0,1,6,6,1,0,0,0,2,2,0,0,0,0,1
3,2,1,2,0,0,2,0,0,1,2,0,2,0,2,1,1,0,0,0,2,2,0,2,0,7,1,1,7,3,2,2,3,2,0,1,1,2,0,0,2
4,0,1,4,2,1,0,2,4,1,0,0,0,1,2,0,1,0,0,1,2,1,0,1,0,2,1,0,1,2,1,1,2,1,2,0,1,2,1,2,1
5,1,6,1,0,2,2,1,0,2,2,0,1,2,2,0,4,0,1,1,0,4,0,2,1,2,2,2,0,6,1,1,2,0,1,0,4,0,2,4,0
6,1,2,4,0,0,1,0,0,1,2,0,4,0,0,1,1,1,2,0,0,1,0,0,0,2,1,2,1,1,0,3,0,1,1,0,1,0,3,2,1
7,4,4,1,1,0,5,0,3,1,0,2,1,0,3,1,1,0,2,1,2,0,1,4,4,3,2,3,0,5,0,2,0,0,1,2,3,3,0,1,0
8,2,0,2,4,1,1,3,0,1,1,1,3,1,0,1,1,0,1,4,2,2,3,4,1,1,1,3,1,4,1,0,3,3,2,1,4,0,2,1,4
9,0,0,3,0,1,2,1,0,0,3,2,4,0,1,0,1,0,0,1,0,1,0,2,1,4,3,0,1,6,0,4,2,0,6,3,3,3,3,3,4
10,4,1,2,3,2,1,1,4,0,2,4,3,3,4,0,2,0,2,1,3,2,0,2,2,0,1,3,2,2,0,3,1,1,0,2,0,1,2,2,2
11,1,1,0,0,1,3,3,1,1,1,1,1,0,3,0,1,3,1,3,0,0,0,0,3,1,0,1,2,1,1,2,1,3,0,1,3,2,2,2,2
12,4,1,3,2,0,1,1,0,3,1,0,2,0,1,1,2,2,4,1,4,0,3,2,1,1,3,1,0,3,0,2,3,3,0,2,0,0,3,4,2
13,5,2,0,4,1,2,2,0,3,3,2,1,1,1,3,2,3,3,1,1,4,3,3,3,3,4,2,5,4,0,1,1,3,3,1,1,2,3,0,2
14,2,0,2,1,1,1,0,3,4,1,0,2,1,2,1,0,0,1,1,1,1,0,0,1,0,2,0,3,2,0,0,2,3,0,3,0,1,4,2,0
15,3,2,0,1,0,1,4,1,2,5,4,3,2,3,1,4,5,2,1,1,0,0,1,2,1,0,1,0,2,1,0,1,3,4,1,0,0,0,1,1
16,1,3,3,1,1,0,2,1,1,2,1,3,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,1,3,1,0,1,0,1,1,1,1,3,1,0
17,2,3,3,3,2,2,1,3,0,2,2,0,2,2,1,1,2,3,1,1,3,1,3,3,3,0,2,1,3,2,1,2,1,2,3,2,0,3,2,1
18,1,1,2,3,1,1,0,5,0,1,0,1,0,4,2,0,1,3,1,0,1,0,2,0,3,1,0,2,5,0,3,1,1,3,3,2,0,2,4,0
19,1,1,1,3,2,1,0,1,5,1,1,4,1,1,1,0,1,1,2,0,0,2,1,1,1,0,1,5,4,1,0,1,1,1,1,2,3,1,1,1
20,1,2,3,2,2,3,3,0,2,2,0,2,1,1,1,1,1,0,1,2,0,1,0,3,2,0,1,0,2,1,2,2,2,1,3,2,0,1,2,3
21,3,0,0,1,2,3,1,1,1,1,1,2,1,1,0,3,1,0,0,1,1,2,2,1,1,0,1,3,3,1,2,1,2,1,1,2,1,1,3,2
22,1,1,1,1,3,2,0,0,1,1,0,1,0,2,1,1,0,0,1,1,2,0,1,1,4,0,0,4,2,2,2,2,2,3,1,1,1,0,1,1
23,0,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,2,0,0,1,1,0,2,1,6,1,1,2,1,2,1,6,1,3,1,1,1,0,3,1
24,4,3,1,2,2,1,1,0,1,2,0,1,0,2,2,0,1,1,1,1,2,1,2,2,2,0,0,1,3,4,2,2,2,1,1,2,1,0,0,2
25,1,1,1,2,1,2,5,3,1,2,2,1,0,1,2,3,1,2,3,5,2,1,1,0,1,1,2,1,2,0,3,3,3,2,0,2,3,3,2,1
