,Ath Madrid scored,Ath Madrid received,Valencia scored,Valencia received,Almeria scored,Almeria received,La Coruna scored,La Coruna received,Getafe scored,Getafe received,Numancia scored,Numancia received,Espanol scored,Espanol received,Recreativo scored,Recreativo received,Osasuna scored,Osasuna received,Santander scored,Santander received,Sevilla scored,Sevilla received,Villarreal scored,Villarreal received,Real Madrid scored,Real Madrid received,Sp Gijon scored,Sp Gijon received,Barcelona scored,Barcelona received,Betis scored,Betis received,Valladolid scored,Valladolid received,Ath Bilbao scored,Ath Bilbao received,Mallorca scored,Mallorca received,Malaga scored,Malaga received
0,4,0,3,0,3,1,2,1,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,1,0,1,1,3,0,3,0,4
1,5,2,5,2,5,3,2,2,2,1,4,4,2,0,1,1,2,2,2,2,5,4,2,1,5,5,4,6,1,2,0,1,2,2,1,3,1,4,0,4
2,9,2,6,2,6,3,2,2,3,2,5,6,3,1,1,5,2,3,2,4,5,4,4,2,7,5,5,12,7,3,0,1,2,4,3,3,1,4,0,5
3,11,3,8,2,6,5,2,2,4,4,5,8,3,3,2,6,2,3,2,6,7,4,6,2,14,6,6,19,10,5,2,4,4,4,4,4,3,4,0,7
4,11,4,12,4,7,5,4,6,5,4,5,8,4,5,2,7,2,3,3,8,8,4,7,2,16,7,6,20,12,6,3,6,5,6,4,5,5,5,2,8
5,12,10,13,4,9,7,5,6,7,6,5,9,6,7,2,11,2,4,4,8,12,4,9,3,18,9,8,20,18,7,4,8,5,7,4,9,5,7,6,8
6,13,12,17,4,9,8,5,6,8,8,5,13,6,7,3,12,3,6,4,8,13,4,9,3,20,10,10,21,19,7,7,8,6,8,4,10,5,10,8,9
7,17,16,18,5,9,13,5,9,9,8,7,14,6,10,4,13,3,8,5,10,13,5,13,7,23,12,13,21,24,7,9,8,6,9,6,13,8,10,9,9
8,19,16,20,9,10,14,8,9,10,9,8,17,7,10,5,14,3,9,9,12,15,8,17,8,24,13,16,22,28,8,9,11,9,11,7,17,8,12,10,13
9,19,16,23,9,11,16,9,9,10,12,10,21,7,11,5,15,3,9,10,12,16,8,19,9,28,16,16,23,34,8,13,13,9,17,10,20,11,15,13,17
10,23,17,25,12,13,17,10,13,10,14,14,24,10,15,5,17,3,11,11,15,18,8,21,11,28,17,19,25,36,8,16,14,10,17,12,20,12,17,15,19
11,24,18,25,12,14,20,13,14,11,15,15,25,10,18,5,18,6,12,14,15,18,8,21,14,29,17,20,27,37,9,18,15,13,17,13,23,14,19,17,21
12,28,19,28,14,14,21,14,14,14,16,15,27,10,19,6,20,8,16,15,19,18,11,23,15,30,20,21,27,40,9,20,18,16,17,15,23,14,22,21,23
13,33,21,28,18,15,23,16,14,17,19,17,28,11,20,9,22,11,19,16,20,22,14,26,18,33,24,23,32,44,9,21,19,19,20,16,24,16,25,21,25
14,35,21,30,19,16,24,16,17,21,20,17,30,12,22,10,22,11,20,17,21,23,14,26,19,33,26,23,35,46,9,21,21,22,20,19,24,17,29,23,25
15,38,23,30,20,16,25,20,18,23,25,21,33,14,25,11,26,16,22,18,22,23,14,27,21,34,26,24,35,48,10,21,22,25,24,20,24,17,29,24,26
16,39,26,33,21,17,25,22,19,24,27,22,36,15,26,14,27,17,23,19,22,24,15,27,22,35,26,24,36,51,11,21,23,25,25,21,25,18,32,25,26
17,41,29,36,24,19,27,23,22,24,29,24,36,17,28,15,28,19,26,20,23,27,16,30,25,38,26,26,37,54,13,22,25,26,27,24,27,18,35,27,27
18,42,30,38,27,20,28,23,27,24,30,24,37,17,32,17,28,20,29,21,23,28,16,32,25,41,27,26,39,59,13,25,26,27,30,27,29,18,37,31,27
19,43,31,39,30,22,29,23,28,29,31,25,41,18,33,18,28,21,30,23,23,28,18,33,26,42,27,27,44,63,14,25,27,28,31,28,31,21,38,32,28
20,44,33,42,32,24,32,26,28,31,33,25,43,19,34,19,29,22,30,24,25,28,19,33,29,44,27,28,44,65,15,27,29,30,32,31,33,21,39,34,31
21,47,33,42,33,26,35,27,29,32,34,26,45,20,35,19,32,23,30,24,26,29,21,35,30,45,27,29,47,68,16,29,30,32,33,32,35,22,40,37,33
22,48,34,43,34,29,37,27,29,33,35,26,46,20,37,20,33,23,30,25,27,31,21,36,31,49,27,29,51,70,18,31,32,34,36,33,36,23,40,38,34
23,48,35,44,35,30,38,28,30,34,36,26,48,22,38,21,34,25,30,25,28,32,21,38,32,55,28,30,53,71,20,32,38,35,39,34,37,24,40,41,35
24,52,38,45,37,32,39,29,30,35,38,26,49,22,40,23,34,26,31,26,29,34,22,40,34,57,28,30,54,74,24,34,40,37,40,35,39,25,40,41,37
