,Rennes scored,Rennes received,Montpellier scored,Montpellier received,Lyon scored,Lyon received,Toulouse scored,Toulouse received,St Etienne scored,St Etienne received,Lorient scored,Lorient received,Caen scored,Caen received,Evian Thonon Gaillard scored,Evian Thonon Gaillard received,Sochaux scored,Sochaux received,Marseille scored,Marseille received,Brest scored,Brest received,Nancy scored,Nancy received,Lille scored,Lille received,Bordeaux scored,Bordeaux received,Paris SG scored,Paris SG received,Valenciennes scored,Valenciennes received,Auxerre scored,Auxerre received,Nice scored,Nice received,Ajaccio scored,Ajaccio received,Dijon scored,Dijon received
0,5,1,3,1,3,1,2,0,2,1,1,0,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,2,0,1,0,1,1,3,1,3,0,2,1,5
1,1,1,1,0,1,1,2,0,1,0,1,1,2,1,1,0,1,2,2,2,0,0,0,1,0,1,1,1,1,1,0,0,2,2,0,1,1,1,0,2
2,0,4,4,0,1,1,1,1,0,0,0,2,1,2,1,1,2,1,0,0,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,0
3,3,2,1,2,2,1,1,3,1,2,2,1,2,3,0,1,2,1,2,3,0,0,1,2,3,2,2,1,3,1,1,2,4,1,0,0,1,4,1,0
4,1,0,1,0,2,1,1,0,1,3,1,1,0,1,0,0,1,1,0,1,0,1,0,0,3,1,0,0,1,0,1,3,0,0,0,1,3,1,1,2
5,1,1,2,2,2,0,3,2,0,3,3,0,1,1,2,2,2,2,0,2,2,2,1,1,2,2,2,3,2,2,4,0,1,1,3,0,0,3,0,4
6,6,2,3,1,0,1,1,1,1,1,1,1,1,0,0,2,2,6,2,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,0
7,1,1,0,3,3,1,1,0,1,1,1,1,4,2,2,4,1,4,1,1,1,1,0,1,1,1,1,3,3,0,1,1,4,1,1,1,1,1,1,1
8,0,2,2,2,0,2,0,3,1,1,2,0,1,1,1,1,3,0,1,1,1,1,1,1,2,0,2,2,2,0,0,2,1,1,1,1,1,1,1,1
9,2,0,5,3,3,1,0,0,2,1,0,2,1,1,1,2,0,3,0,0,1,1,1,3,3,1,0,3,3,1,3,0,1,3,3,0,1,3,3,5
10,1,0,3,1,1,3,0,0,1,0,0,0,1,3,1,1,1,1,2,0,1,1,1,0,3,1,1,1,2,0,0,1,0,1,0,1,0,2,0,2
11,0,1,2,0,2,0,1,0,0,2,1,3,2,4,3,1,1,1,3,2,3,1,0,2,0,0,2,0,4,2,0,0,1,3,1,1,0,2,2,3
12,1,1,1,1,1,2,0,2,1,1,2,0,3,0,1,1,2,1,2,0,1,2,2,1,1,1,1,1,1,1,1,1,2,0,0,2,0,2,0,3
13,2,1,1,0,1,2,0,0,2,0,1,2,2,2,2,1,0,2,0,1,2,0,1,0,0,0,0,2,0,1,2,1,1,2,0,2,2,2,2,0
