,Bordeaux scored,Bordeaux received,Bastia scored,Bastia received,Lille scored,Lille received,Nancy scored,Nancy received,Lyon scored,Lyon received,Marseille scored,Marseille received,Valenciennes scored,Valenciennes received,Ajaccio scored,Ajaccio received,Lorient scored,Lorient received,Paris SG scored,Paris SG received,Montpellier scored,Montpellier received,Toulouse scored,Toulouse received,Evian Thonon Gaillard scored,Evian Thonon Gaillard received,Sochaux scored,Sochaux received,St Etienne scored,St Etienne received,Troyes scored,Troyes received,Nice scored,Nice received,Brest scored,Brest received,Reims scored,Reims received,Rennes scored,Rennes received
0,3,2,3,2,2,1,1,0,1,0,1,0,1,0,1,0,2,2,2,2,1,1,1,1,2,3,2,3,1,2,0,1,0,1,0,1,0,1,0,1
1,4,2,5,3,3,2,2,1,5,1,3,0,1,0,1,0,4,3,2,2,2,3,3,2,2,4,2,5,2,4,1,5,0,1,1,1,1,3,0,2
2,4,2,7,6,5,4,2,2,6,2,4,0,4,0,1,3,6,5,2,2,2,4,4,2,3,5,2,6,6,4,3,7,2,3,1,5,2,3,3,4
3,5,3,7,9,6,6,2,5,9,4,7,1,6,3,3,3,9,5,4,3,5,5,5,3,3,7,3,9,9,4,4,9,3,4,3,6,3,4,4,7
4,5,3,7,12,7,7,2,6,11,4,8,1,6,3,3,5,11,6,6,3,6,8,5,5,6,7,4,9,9,5,5,10,7,6,5,10,6,5,5,9
5,7,5,7,16,8,8,2,8,12,5,9,1,7,5,5,7,12,7,10,3,7,9,7,7,6,8,7,10,10,6,6,13,8,7,7,11,8,5,7,11
6,9,5,9,18,8,10,2,10,12,7,10,5,11,6,6,7,13,8,12,3,9,9,9,7,7,9,7,12,10,6,6,15,10,9,7,12,8,5,9,11
7,10,6,12,20,10,10,2,14,13,8,12,7,13,8,6,9,14,9,14,5,11,12,11,9,10,11,7,13,14,6,8,18,11,12,8,13,11,6,10,11
8,11,7,12,20,11,11,3,15,14,8,12,8,19,9,6,9,15,15,15,5,12,14,15,9,10,15,8,14,15,7,9,18,12,13,8,14,11,7,12,12
9,12,10,15,21,13,12,3,16,18,9,13,12,20,11,10,13,19,19,16,5,15,15,18,10,11,17,10,15,17,7,10,19,13,16,9,17,12,8,12,14
10,13,10,17,26,15,12,4,18,23,11,15,12,23,12,10,15,19,21,17,7,16,16,18,11,11,19,11,18,19,8,11,20,15,17,11,17,12,9,13,14
11,17,10,19,29,16,12,5,21,24,12,17,14,26,14,14,17,19,25,18,8,17,17,20,15,13,20,12,19,21,8,11,22,17,19,11,18,13,11,16,15
12,18,10,19,32,16,14,8,24,27,12,17,15,27,15,14,18,21,25,19,10,18,18,20,16,15,22,13,19,23,10,14,25,18,19,14,18,13,14,18,16
13,18,11,21,33,16,15,9,25,27,15,18,15,27,16,15,19,22,27,23,10,19,18,23,16,16,22,13,20,24,10,14,29,19,19,14,18,13,14,18,17
14,20,13,21,33,16,15,10,26,28,15,20,16,28,16,15,19,23,27,24,12,19,19,23,17,17,23,15,22,24,10,16,32,21,20,15,20,13,15,21,19
15,20,13,21,33,17,16,11,27,29,15,20,19,29,17,15,22,26,27,28,12,22,19,23,17,17,27,16,23,24,11,17,33,22,21,17,22,13,15,23,21
16,20,13,22,35,19,16,12,28,30,16,22,20,29,21,17,22,28,27,32,12,24,20,23,19,19,27,16,25,24,11,17,35,23,21,18,24,13,17,23,22
17,21,14,22,39,20,17,13,29,30,17,23,20,29,23,19,25,30,27,33,12,28,20,23,20,21,30,17,27,24,13,20,37,26,23,20,25,14,18,25,22
18,21,14,26,41,24,18,15,33,33,17,24,20,31,24,21,29,32,29,36,12,29,24,25,20,22,32,17,29,24,14,20,37,26,26,20,28,16,20,29,24
19,23,14,28,42,26,20,17,35,35,18,25,23,31,29,21,29,32,31,36,12,31,24,27,22,22,34,20,30,26,16,21,39,31,26,22,28,17,22,29,26
20,23,15,28,44,26,22,18,37,35,18,28,25,32,30,22,30,35,33,37,12,33,27,29,23,22,34,21,30,27,16,23,42,33,26,22,29,17,23,31,26
21,24,15,28,47,26,23,20,38,37,18,30,27,32,32,23,31,36,35,38,12,35,27,30,24,23,35,21,32,30,16,25,43,33,27,23,31,18,24,33,28
22,26,15,28,47,27,24,21,38,38,21,30,28,32,34,26,32,38,37,42,12,38,28,30,28,23,35,22,34,32,17,26,44,35,27,23,33,19,27,35,30
23,26,16,29,50,30,25,22,40,39,24,31,29,34,35,27,32,39,38,45,13,39,32,30,30,24,36,22,34,36,18,26,44,36,28,24,35,21,28,37,30
24,26,20,29,51,32,25,22,41,43,24,32,29,34,36,28,33,41,39,47,16,40,32,32,32,25,38,25,36,37,19,28,46,37,28,25,36,22,29,37,32
25,26,22,29,51,35,26,22,44,46,25,32,31,34,36,29,36,42,42,49,16,41,32,32,32,25,39,27,38,40,19,28,46,39,28,27,36,22,31,39,34
26,27,24,30,51,37,27,24,45,47,26,34,32,35,37,29,37,43,43,49,17,43,32,32,32,25,39,28,40,44,19,29,48,39,32,28,37,23,31,39,36
27,28,24,30,52,40,28,25,47,47,26,34,32,36,40,30,37,43,44,51,18,43,34,33,32,30,40,29,45,46,21,33,50,41,32,28,38,25,35,41,38
28,28,24,34,53,41,30,26,47,48,30,34,32,37,41,30,37,47,44,53,20,44,35,33,32,32,41,30,46,48,23,34,51,41,33,28,42,26,35,41,39
29,29,25,38,56,43,31,28,47,49,32,35,32,40,45,32,40,48,45,54,20,44,36,36,34,34,43,32,47,50,25,36,53,41,34,29,44,28,37,41,41
30,29,26,42,56,48,31,29,47,49,33,36,32,41,48,32,40,48,50,56,20,47,37,39,38,34,44,32,47,51,25,36,54,45,37,29,48,29,37,41,43
