,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal
0,09/08/13,Montpellier,Paris SG,72,83,73,80,71,80,0.1994857683137051,0.26433725176270345,0.5361769799235915,X,4.735,3.5733333333333337,1.7616666666666667
1,10/08/13,Bordeaux,Monaco,73,80,73,75,71,79,0.3091296014006068,0.3039829753837331,0.3868874232156602,2,3.0516666666666663,3.103333333333333,2.4383333333333335
2,10/08/13,Evian Thonon Gaillard,Sochaux,73,71,66,68,71,68,0.4293168531514507,0.3015956605427967,0.2690874863057526,X,2.1999999999999997,3.1316666666666664,3.51
3,10/08/13,Lille,Lorient,82,76,74,71,74,71,0.56357447682319,0.2673195940466096,0.1691059291302003,1,1.678333333333333,3.5383333333333336,5.593333333333334
4,10/08/13,Lyon,Nice,74,73,74,70,75,71,0.5336401535476947,0.26910059025054694,0.19725925620175838,1,1.7700000000000002,3.51,4.788333333333333
5,10/08/13,Nantes,Bastia,71,72,73,71,70,71,0.4083679365510063,0.3000607178045509,0.2915713456444427,1,2.313333333333333,3.1483333333333334,3.24
6,10/08/13,Rennes,Reims,75,70,74,70,72,73,0.5331790022516499,0.2751141654060113,0.19170683234233873,1,1.7750000000000001,3.44,4.9366666666666665
7,10/08/13,Valenciennes,Toulouse,72,74,69,71,68,72,0.37034447045101054,0.3012003698508485,0.32845515969814104,1,2.548333333333334,3.1333333333333333,2.8733333333333335
8,11/08/13,Ajaccio,St Etienne,67,75,66,76,68,75,0.2938740225444295,0.29867133412888297,0.40745464332668746,2,3.2166666666666663,3.1650000000000005,2.32
9,11/08/13,Guingamp,Marseille,70,76,67,73,67,76,0.2707067945618051,0.2975643190616377,0.4317288863765573,2,3.49,3.1750000000000003,2.1883333333333335
10,16/08/13,Sochaux,Lyon,71,74,68,74,68,75,0.2692173913043478,0.29231304347826087,0.43846956521739133,2,3.501666666666667,3.225,2.15
11,17/08/13,Bastia,Valenciennes,72,72,71,69,71,68,0.4298596920896708,0.2930962618593824,0.27704404605094685,1,2.1966666666666668,3.2216666666666662,3.4083333333333328
12,17/08/13,Marseille,Evian Thonon Gaillard,76,73,73,66,76,71,0.665548934085616,0.22046794196452288,0.11398312394986099,1,1.4183333333333332,4.281666666666666,8.281666666666666
13,17/08/13,Nice,Rennes,73,75,70,74,71,72,0.41018329613857196,0.2992001574681672,0.2906165463932608,1,2.305,3.16,3.2533333333333334
