,Lyon scored,Lyon received,Valenciennes scored,Valenciennes received,Marseille scored,Marseille received,Monaco scored,Monaco received,Rennes scored,Rennes received,St Etienne scored,St Etienne received,Lille scored,Lille received,Bastia scored,Bastia received,Evian Thonon Gaillard scored,Evian Thonon Gaillard received,Sochaux scored,Sochaux received,Montpellier scored,Montpellier received,Paris SG scored,Paris SG received,Reims scored,Reims received,Ajaccio scored,Ajaccio received,Lorient scored,Lorient received,Guingamp scored,Guingamp received,Bordeaux scored,Bordeaux received,Nantes scored,Nantes received,Toulouse scored,Toulouse received,Nice scored,Nice received
0,4,0,3,0,3,1,2,0,2,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,3,0,2,0,0,0,3,0,4
1,3,1,0,2,2,0,4,1,1,2,1,0,1,2,2,0,0,2,1,3,1,4,1,1,2,1,1,1,2,1,0,1,1,1,0,2,1,1,2,1
2,0,1,0,1,1,0,0,0,2,1,0,1,1,0,0,1,1,2,1,2,2,1,2,1,1,0,0,0,0,2,2,0,1,0,0,2,0,0,0,0
3,1,2,0,1,1,2,2,1,0,0,2,1,0,0,2,1,2,1,0,0,2,2,2,0,0,0,0,0,1,0,0,2,1,2,0,0,1,2,2,2
4,0,0,1,3,1,1,1,0,0,0,3,1,0,2,1,1,3,2,0,1,0,0,2,0,0,0,2,3,0,1,1,1,0,2,1,0,1,1,2,0
5,3,1,0,4,0,0,1,1,2,0,1,2,2,0,0,0,2,2,0,2,2,2,1,1,1,1,0,2,3,3,1,1,3,3,1,3,2,1,4,0
6,1,2,0,1,2,1,3,0,0,0,1,2,3,0,0,3,0,3,1,5,0,0,1,0,0,0,2,1,0,1,5,1,0,0,2,0,1,0,0,2
7,0,0,0,2,2,0,1,1,1,3,2,2,0,0,2,2,1,1,2,0,1,1,2,0,1,1,1,1,0,2,0,1,1,1,3,1,0,2,1,0
8,1,5,1,1,1,2,2,1,0,2,1,2,3,0,4,1,0,3,1,4,5,1,2,1,1,1,0,3,1,4,2,0,4,1,3,0,1,0,0,1
9,1,1,2,2,0,1,2,2,2,2,3,2,1,0,0,4,1,2,2,2,0,1,4,0,1,2,0,1,2,3,2,1,1,1,1,0,2,1,1,0
10,1,2,0,1,2,3,2,1,5,0,2,2,1,0,1,0,1,0,1,2,0,2,2,2,3,2,1,2,2,1,2,1,2,0,0,1,0,5,0,1
11,2,0,3,1,1,1,0,2,1,1,0,0,2,0,2,4,2,1,0,0,1,1,4,0,4,2,1,3,0,4,0,2,2,1,1,1,1,2,1,2
12,2,1,1,1,2,1,1,1,0,1,1,2,0,0,1,0,1,1,1,2,1,1,3,1,0,0,1,1,0,0,0,0,0,3,3,0,1,1,1,3
13,1,1,1,1,3,1,1,0,1,1,1,0,1,0,1,1,0,4,1,1,1,1,3,0,0,3,1,3,4,0,1,1,1,1,0,1,0,1,0,1
14,0,4,0,1,2,0,2,0,0,2,4,0,1,0,2,0,0,2,1,5,0,2,4,0,0,4,0,4,3,0,1,0,4,0,0,1,5,1,0,3
15,1,1,1,2,0,1,3,0,3,1,1,3,1,0,1,1,2,0,0,2,0,2,0,2,2,0,1,1,2,0,0,1,1,0,2,1,1,1,0,3
16,3,1,1,1,0,1,1,0,0,2,1,0,0,1,1,3,0,1,0,5,1,1,5,0,1,0,0,1,2,0,1,1,1,0,1,0,1,1,0,1
17,2,2,1,2,2,2,2,0,1,3,1,0,2,1,1,2,1,1,0,1,0,1,3,1,1,1,1,2,2,1,0,2,2,1,1,2,2,1,1,0
