,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Lyon,Metz,Bordeaux,Caen,Nantes,Montpellier,Nice,Paris SG,Monaco,Guingamp,Marseille,Toulouse,St Etienne,Lorient,Lille,Angers,Dijon,Rennes,Nancy,Bastia
1,Lyon,Paris SG,Nice,Toulouse,Guingamp,Monaco,St Etienne,Rennes,Lille,Nantes,Caen,Montpellier,Bordeaux,Metz,Bastia,Marseille,Angers,Dijon,Lorient,Nancy
2,Lyon,Monaco,Guingamp,Nice,Paris SG,Caen,Metz,Bordeaux,Toulouse,St Etienne,Marseille,Rennes,Lille,Montpellier,Dijon,Nantes,Bastia,Angers,Lorient,Nancy
3,Monaco,Nice,Metz,Bordeaux,Guingamp,Lyon,Rennes,Paris SG,Caen,Toulouse,St Etienne,Bastia,Montpellier,Marseille,Lille,Dijon,Angers,Nantes,Nancy,Lorient
4,Monaco,Nice,Paris SG,Metz,Lyon,Bordeaux,Toulouse,Guingamp,St Etienne,Rennes,Montpellier,Angers,Caen,Marseille,Bastia,Dijon,Lille,Nantes,Nancy,Lorient
5,Nice,Paris SG,Monaco,Lyon,Bordeaux,Toulouse,Guingamp,Rennes,Metz,St Etienne,Angers,Bastia,Montpellier,Caen,Marseille,Nantes,Nancy,Lille,Dijon,Lorient
6,Nice,Monaco,Toulouse,Paris SG,Bordeaux,Metz,Lyon,St Etienne,Guingamp,Rennes,Bastia,Angers,Marseille,Dijon,Caen,Montpellier,Lorient,Nantes,Nancy,Lille
7,Nice,Monaco,Paris SG,Lyon,Toulouse,Bordeaux,Rennes,Metz,St Etienne,Guingamp,Angers,Caen,Marseille,Bastia,Dijon,Nantes,Montpellier,Lille,Lorient,Nancy
8,Nice,Paris SG,Monaco,Toulouse,Lyon,Guingamp,Bordeaux,Rennes,St Etienne,Angers,Metz,Marseille,Nantes,Montpellier,Caen,Bastia,Dijon,Lille,Lorient,Nancy
9,Nice,Monaco,Paris SG,Toulouse,Guingamp,Rennes,St Etienne,Lyon,Bordeaux,Angers,Marseille,Metz,Dijon,Nantes,Lille,Montpellier,Caen,Bastia,Nancy,Lorient
10,Nice,Monaco,Paris SG,Guingamp,Rennes,Toulouse,Lyon,St Etienne,Bordeaux,Marseille,Angers,Dijon,Metz,Nantes,Montpellier,Bastia,Lille,Caen,Nancy,Lorient
11,Nice,Monaco,Paris SG,Guingamp,Lyon,Rennes,Toulouse,Bordeaux,St Etienne,Angers,Dijon,Marseille,Montpellier,Metz,Caen,Nantes,Bastia,Lille,Nancy,Lorient
12,Nice,Monaco,Paris SG,Lyon,Guingamp,Rennes,Bordeaux,Toulouse,St Etienne,Angers,Marseille,Metz,Montpellier,Dijon,Caen,Nantes,Nancy,Bastia,Lille,Lorient
13,Nice,Monaco,Paris SG,Lyon,Rennes,Guingamp,Bordeaux,St Etienne,Toulouse,Angers,Metz,Marseille,Montpellier,Dijon,Caen,Nantes,Nancy,Bastia,Lille,Lorient
14,Nice,Paris SG,Monaco,Lyon,Bordeaux,Rennes,Guingamp,Toulouse,St Etienne,Angers,Marseille,Metz,Nancy,Montpellier,Dijon,Lille,Caen,Bastia,Nantes,Lorient
