,Lyon scored,Lyon received,Lille scored,Lille received,Marseille scored,Marseille received,Guingamp scored,Guingamp received,Paris SG scored,Paris SG received,Monaco scored,Monaco received,St Etienne scored,St Etienne received,Montpellier scored,Montpellier received,Angers scored,Angers received,Bordeaux scored,Bordeaux received,Troyes scored,Troyes received,Rennes scored,Rennes received,Toulouse scored,Toulouse received,Nice scored,Nice received,Caen scored,Caen received,Metz scored,Metz received,Amiens scored,Amiens received,Dijon scored,Dijon received,Nantes scored,Nantes received,Strasbourg scored,Strasbourg received
0,4,0,3,0,3,0,3,1,2,0,3,2,1,0,1,0,2,2,2,2,1,1,1,1,2,3,0,1,0,1,1,3,0,2,0,3,0,3,0,4
1,2,1,0,3,1,0,0,3,3,0,4,1,1,0,0,1,2,0,2,0,2,1,1,2,1,0,1,2,0,1,0,2,0,2,1,4,0,1,3,0
2,3,3,0,2,1,1,0,2,6,2,1,0,3,0,1,1,1,1,3,3,0,1,2,2,2,6,2,0,2,0,0,1,0,3,2,2,1,0,1,1
3,0,0,1,1,1,6,2,0,3,0,6,1,0,3,1,2,1,1,2,1,1,2,2,3,3,2,0,3,1,0,0,1,3,0,2,1,0,0,0,2
4,2,1,0,0,1,3,1,2,5,1,0,4,1,1,0,1,1,1,0,0,0,0,3,1,0,0,4,0,2,1,1,5,1,0,1,2,1,0,0,1
5,0,2,0,1,2,0,1,0,2,0,3,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,2,0,1,1,0,0,3
6,3,3,0,4,2,0,1,3,0,0,4,0,2,2,0,0,2,2,3,1,1,0,2,2,0,2,2,2,1,0,0,1,0,1,3,3,2,1,1,2
7,3,3,0,3,4,2,1,1,6,2,1,1,1,2,1,1,3,3,2,6,2,1,0,1,1,1,2,4,1,0,0,1,3,0,1,1,1,0,1,1
8,3,2,2,2,3,3,2,0,2,1,2,3,3,1,2,0,2,0,1,1,2,2,0,2,1,0,0,2,0,2,1,3,0,1,1,2,1,1,3,3
9,5,0,0,1,2,2,1,2,2,2,2,0,0,1,1,0,0,1,0,1,0,5,1,0,1,0,1,2,0,2,1,2,1,0,2,1,2,1,2,1
10,2,0,0,1,1,0,1,1,3,0,2,0,0,0,0,1,2,2,0,2,0,1,1,0,0,0,0,3,1,0,0,2,1,1,1,0,0,1,2,2
11,5,0,3,0,5,0,0,6,5,0,6,0,0,5,1,1,0,5,0,1,3,0,1,0,1,2,1,0,0,5,0,3,1,1,0,1,2,1,0,3
12,0,0,3,1,1,1,1,1,4,1,1,1,1,3,0,0,1,1,1,1,1,3,1,2,0,0,1,1,1,1,0,0,1,1,3,1,1,4,2,1
13,5,0,0,3,1,0,0,1,2,1,1,2,2,2,3,0,0,3,0,1,3,0,2,1,1,3,0,5,1,0,0,2,2,0,3,1,1,2,2,2
14,1,2,2,1,3,0,0,0,2,0,0,1,0,3,0,0,1,2,3,0,0,2,2,1,1,2,2,1,0,0,0,3,2,1,1,2,1,0,0,0
15,2,1,1,0,1,1,1,0,1,2,1,0,1,1,1,1,0,1,2,3,0,1,2,0,0,1,3,1,1,2,1,3,0,2,3,2,1,1,2,1
16,2,1,1,3,3,0,4,0,3,1,3,2,0,3,1,1,1,1,0,3,2,3,1,1,2,0,2,1,0,2,1,1,1,2,0,4,1,2,3,0
17,2,0,0,3,0,2,0,0,4,1,4,0,0,4,1,3,0,1,0,1,1,0,1,4,1,2,1,0,0,0,3,1,0,1,3,0,1,0,2,1
18,2,1,1,1,3,1,2,1,3,1,2,1,1,2,2,0,2,1,0,2,1,3,1,2,1,2,1,1,1,3,3,0,0,1,1,2,1,0,0,3
19,1,1,1,0,3,0,2,0,1,0,0,0,2,0,0,0,1,1,1,0,0,1,0,3,0,2,1,0,0,1,1,1,0,1,1,1,0,1,0,2
20,2,0,1,2,2,0,0,2,8,0,2,2,0,3,1,1,3,1,0,2,1,3,2,1,1,1,2,2,2,0,3,0,1,1,0,8,1,1,0,2
21,2,1,0,1,2,0,1,3,1,2,3,1,0,1,2,1,0,1,1,0,1,0,1,0,1,2,1,0,0,2,1,3,3,1,2,3,0,1,3,2
22,1,3,2,1,2,2,0,3,4,0,2,2,2,1,0,4,1,0,3,1,0,1,1,2,1,0,1,2,1,2,2,1,0,1,2,1,3,0,1,2
23,2,3,0,3,6,3,1,0,3,0,3,2,2,0,2,1,1,2,2,0,0,0,0,1,1,0,0,1,3,2,3,6,0,2,0,0,2,3,0,2
24,0,2,2,2,2,2,0,0,1,0,4,0,2,2,1,0,0,4,3,2,1,2,2,0,0,1,2,3,0,0,0,1,2,3,3,2,2,2,2,1
25,2,2,2,2,1,0,1,1,5,2,4,0,1,0,1,1,0,1,0,1,1,0,2,2,0,0,1,1,2,2,0,1,0,0,0,4,1,1,2,5
26,1,1,1,2,0,3,2,2,3,0,3,3,1,1,0,0,2,1,0,0,0,2,2,0,3,3,0,0,0,2,2,2,1,0,2,0,0,1,0,0
27,1,1,1,2,1,1,0,3,2,0,2,1,2,2,1,1,3,0,1,2,0,2,2,0,1,1,2,1,2,0,1,1,0,2,2,2,1,1,0,2
28,1,0,1,1,2,1,2,5,5,0,3,1,1,1,1,1,0,0,0,0,0,1,1,1,1,2,5,2,0,1,0,5,1,1,1,1,1,0,1,3
29,3,2,1,2,2,3,0,2,2,1,2,1,2,0,2,2,3,0,0,2,1,1,2,0,2,2,1,2,0,3,1,1,1,1,2,2,1,1,2,2
30,2,0,0,1,3,1,2,1,2,1,1,1,3,0,3,1,1,2,1,2,0,2,1,1,0,2,2,0,1,3,2,2,1,0,1,3,0,3,2,2
31,5,0,1,2,0,0,4,0,1,1,2,1,1,1,0,0,1,1,2,1,0,4,1,1,0,1,1,1,0,3,0,5,3,0,1,0,1,2,1,1
32,3,0,2,2,3,2,2,2,7,1,1,7,1,0,1,3,1,1,3,1,2,3,1,2,0,0,1,1,0,0,2,1,0,3,1,1,1,1,0,1
33,5,2,1,5,5,1,3,1,1,0,1,3,2,1,0,1,0,2,0,1,1,2,1,1,2,0,1,0,1,1,1,1,3,1,2,5,1,1,1,3
34,2,0,3,1,1,1,2,2,2,2,0,0,1,0,0,1,1,1,3,1,3,1,2,1,1,2,1,1,1,3,1,3,0,0,1,3,0,2,1,1
35,3,0,3,2,2,1,1,3,2,2,2,1,1,3,2,0,2,1,3,1,0,3,2,1,2,3,1,2,1,2,1,2,2,2,3,1,0,2,1,2
36,2,3,2,1,3,3,3,3,0,2,1,0,0,1,1,1,0,2,4,2,1,1,2,0,2,4,4,1,1,4,0,2,2,0,1,2,2,0,3,2
37,3,2,0,5,2,1,1,2,0,0,3,0,5,0,1,1,1,2,4,0,0,3,1,1,2,1,2,3,0,0,0,4,1,2,2,1,1,0,0,1
