,Lyon scored,Lyon received,Lille scored,Lille received,Marseille scored,Marseille received,Guingamp scored,Guingamp received,Paris SG scored,Paris SG received,Monaco scored,Monaco received,St Etienne scored,St Etienne received,Montpellier scored,Montpellier received,Angers scored,Angers received,Bordeaux scored,Bordeaux received,Troyes scored,Troyes received,Rennes scored,Rennes received,Toulouse scored,Toulouse received,Nice scored,Nice received,Caen scored,Caen received,Metz scored,Metz received,Amiens scored,Amiens received,Dijon scored,Dijon received,Nantes scored,Nantes received,Strasbourg scored,Strasbourg received
0,4,0,3,0,3,0,3,1,2,0,3,2,1,0,1,0,2,2,2,2,1,1,1,1,2,3,0,1,0,1,1,3,0,2,0,3,0,3,0,4
1,6,1,3,3,4,0,3,4,5,0,7,3,2,0,1,1,4,2,4,2,3,2,2,3,3,3,1,3,0,2,1,5,0,4,1,7,0,4,3,4
2,9,4,3,5,5,1,3,6,11,2,8,3,5,0,2,2,5,3,7,5,3,3,4,5,5,9,3,3,2,2,1,6,0,7,3,9,1,4,4,5
3,9,4,4,6,6,7,5,6,14,2,14,4,5,3,3,4,6,4,9,6,4,5,6,8,8,11,3,6,3,2,1,7,3,7,5,10,1,4,4,7
4,11,5,4,6,7,10,6,8,19,3,14,8,6,4,3,5,7,5,9,6,4,5,9,9,8,11,7,6,5,3,2,12,4,7,6,12,2,4,4,8
5,11,7,4,7,9,10,7,8,21,3,17,8,7,4,4,5,7,6,10,6,4,6,9,10,8,12,8,6,5,4,3,12,4,9,6,13,3,4,4,11
6,14,10,4,11,11,10,8,11,21,3,21,8,9,6,4,5,9,8,13,7,5,6,11,12,8,14,10,8,6,4,3,13,4,10,9,16,5,5,5,13
7,17,13,4,14,15,12,9,12,27,5,22,9,10,8,5,6,12,11,15,13,7,7,11,13,9,15,12,12,7,4,3,14,7,10,10,17,6,5,6,14
8,20,15,6,16,18,15,11,12,29,6,24,12,13,9,7,6,14,11,16,14,9,9,11,15,10,15,12,14,7,6,4,17,7,11,11,19,7,6,9,17
9,25,15,6,17,20,17,12,14,31,8,26,12,13,10,8,6,14,12,16,15,9,14,12,15,11,15,13,16,7,8,5,19,8,11,13,20,9,7,11,18
10,27,15,6,18,21,17,13,15,34,8,28,12,13,10,8,7,16,14,16,17,9,15,13,15,11,15,13,19,8,8,5,21,9,12,14,20,9,8,13,20
11,32,15,9,18,26,17,13,21,39,8,34,12,13,15,9,8,16,19,16,18,12,15,14,15,12,17,14,19,8,13,5,24,10,13,14,21,11,9,13,23
12,32,15,12,19,27,18,14,22,43,9,35,13,14,18,9,8,17,20,17,19,13,18,15,17,12,17,15,20,9,14,5,24,11,14,17,22,12,13,15,24
13,37,15,12,22,28,18,14,23,45,10,36,15,16,20,12,8,17,23,17,20,16,18,17,18,13,20,15,25,10,14,5,26,13,14,20,23,13,15,17,26
14,38,17,14,23,31,18,14,23,47,10,36,16,16,23,12,8,18,25,20,20,16,20,19,19,14,22,17,26,10,14,5,29,15,15,21,25,14,15,17,26
15,40,18,15,23,32,19,15,23,48,12,37,16,17,24,13,9,18,26,22,23,16,21,21,19,14,23,20,27,11,16,6,32,15,17,24,27,15,16,19,27
16,42,19,16,26,35,19,19,23,51,13,40,18,17,27,14,10,19,27,22,26,18,24,22,20,16,23,22,28,11,18,7,33,16,19,24,31,16,18,22,27
17,44,19,16,29,35,21,19,23,55,14,44,18,17,31,15,13,19,28,22,27,19,24,23,24,17,25,23,28,11,18,10,34,16,20,27,31,17,18,24,28
18,46,20,17,30,38,22,21,24,58,15,46,19,18,33,17,13,21,29,22,29,20,27,24,26,18,27,24,29,12,21,13,34,16,21,28,33,18,18,24,31
19,47,21,18,30,41,22,23,24,59,15,46,19,20,33,17,13,22,30,23,29,20,28,24,29,18,29,25,29,12,22,14,35,16,22,29,34,18,19,24,33
20,49,21,19,32,43,22,23,26,67,15,48,21,20,36,18,14,25,31,23,31,21,31,26,30,19,30,27,31,14,22,17,35,17,23,29,42,19,20,24,35
21,51,22,19,33,45,22,24,29,68,17,51,22,20,37,20,15,25,32,24,31,22,31,27,30,20,32,28,31,14,24,18,38,20,24,31,45,19,21,27,37
22,52,25,21,34,47,24,24,32,72,17,53,24,22,38,20,19,26,32,27,32,22,32,28,32,21,32,29,33,15,26,20,39,20,25,33,46,22,21,28,39
23,54,28,21,37,53,27,25,32,75,17,56,26,24,38,22,20,27,34,29,32,22,32,28,33,22,32,29,34,18,28,23,45,20,27,33,46,24,24,28,41
24,54,30,23,39,55,29,25,32,76,17,60,26,26,40,23,20,27,38,32,34,23,34,30,33,22,33,31,37,18,28,23,46,22,30,36,48,26,26,30,42
