,Marseille scored,Marseille received,Paris SG scored,Paris SG received,Monaco scored,Monaco received,Lille scored,Lille received,Lyon scored,Lyon received,Strasbourg scored,Strasbourg received,Nimes scored,Nimes received,St Etienne scored,St Etienne received,Dijon scored,Dijon received,Reims scored,Reims received,Angers scored,Angers received,Guingamp scored,Guingamp received,Montpellier scored,Montpellier received,Nice scored,Nice received,Nantes scored,Nantes received,Rennes scored,Rennes received,Amiens scored,Amiens received,Bordeaux scored,Bordeaux received,Caen scored,Caen received,Toulouse scored,Toulouse received
0,4,0,3,0,3,1,3,1,2,0,2,0,4,3,2,1,2,1,1,0,3,4,1,2,1,2,0,1,1,3,1,3,0,2,0,2,0,3,0,4
1,1,3,3,1,0,0,0,0,0,1,1,1,3,1,1,1,2,0,1,0,0,1,1,3,2,1,1,1,0,2,1,0,1,2,1,2,1,1,2,1
2,2,2,3,1,1,2,3,0,2,0,0,2,0,1,0,0,4,0,1,4,1,3,0,3,0,0,0,4,1,1,2,2,4,1,2,1,1,1,1,0
3,3,2,4,2,2,3,0,1,0,1,2,3,2,4,0,0,0,2,0,1,1,0,1,2,1,0,1,0,3,2,2,0,0,0,0,2,2,0,2,1
4,4,0,4,0,1,1,3,2,2,2,1,1,3,3,0,4,1,3,0,0,3,1,0,4,1,1,2,1,0,0,1,2,2,3,3,3,2,2,1,1
5,2,4,3,1,1,1,2,1,4,2,3,1,1,1,2,1,0,0,0,0,0,0,1,3,1,0,0,1,1,2,1,3,1,3,3,1,1,2,0,0
6,3,2,4,1,0,1,0,1,3,0,2,3,0,0,3,2,0,3,1,4,1,0,0,0,2,2,2,1,1,2,1,2,2,1,1,0,2,2,2,3
7,0,3,3,0,0,2,3,0,1,1,3,0,0,3,2,0,0,3,0,0,0,1,1,0,3,0,0,3,1,1,1,1,0,1,0,0,1,0,1,1
8,2,0,5,0,1,2,3,1,0,5,2,2,0,0,1,3,0,1,0,0,2,2,1,1,1,1,1,1,0,3,2,1,1,0,3,0,0,2,1,1
9,1,0,5,0,1,2,2,1,2,0,2,1,0,2,1,1,1,2,1,1,1,1,0,0,2,0,0,1,4,0,1,1,0,5,0,2,0,0,0,4
10,0,2,2,0,2,2,1,0,2,1,1,1,1,1,1,1,2,2,2,0,1,2,1,1,3,0,1,0,2,1,0,2,1,2,0,1,0,1,0,3
11,0,3,2,1,0,1,1,2,1,1,1,1,4,0,4,3,0,4,1,0,3,4,0,5,3,0,1,0,5,0,2,1,0,1,1,1,1,2,1,1
12,2,0,4,0,0,4,0,0,4,2,0,0,0,1,2,0,0,2,0,2,1,0,2,4,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1
13,3,1,1,0,1,0,0,2,1,0,0,1,1,0,0,1,0,0,2,1,1,1,1,2,2,2,2,0,1,1,2,2,1,3,0,0,0,1,0,1
14,0,0,2,2,1,2,2,2,2,2,4,1,3,0,3,0,2,2,0,0,1,1,0,0,2,1,0,0,0,3,1,4,0,3,2,2,1,1,2,2
15,2,3,1,1,2,0,1,0,0,2,1,1,2,1,2,3,2,1,0,1,0,0,1,2,0,1,0,0,3,2,2,0,0,2,3,2,1,2,1,0
16,1,2,5,1,1,1,1,1,2,2,2,2,1,0,2,1,0,2,1,1,1,2,1,2,1,5,1,1,0,1,2,0,2,1,2,1,2,2,2,2
17,1,0,4,0,0,3,3,2,3,0,1,2,2,3,1,1,0,4,2,1,0,0,2,1,0,2,1,1,2,0,1,2,0,0,0,1,2,1,1,2
18,1,1,1,0,0,2,1,2,1,1,2,0,0,4,3,0,0,3,2,2,1,1,2,0,1,1,0,2,0,1,4,0,1,1,1,1,2,2,2,1
19,1,1,3,0,1,1,3,1,1,1,2,1,3,1,1,0,1,1,1,1,1,3,0,1,1,1,1,0,0,1,1,0,0,3,0,1,1,3,1,2
20,1,0,9,0,1,5,2,1,2,1,5,1,0,1,1,2,0,1,1,1,1,0,0,9,0,0,1,1,0,1,0,0,1,2,1,0,0,1,1,0
21,1,2,4,1,0,2,2,1,1,0,1,0,0,2,1,1,2,0,1,0,0,0,0,1,2,0,2,0,1,1,1,4,0,1,0,1,0,2,0,0
22,1,2,1,2,2,1,4,0,2,1,1,2,1,1,2,1,0,1,2,1,1,0,0,0,1,1,0,4,1,0,1,0,0,1,0,0,0,1,1,2
23,2,1,1,0,2,2,2,0,0,1,1,2,4,2,0,3,1,2,1,1,2,1,0,2,2,2,1,0,2,4,3,0,1,0,0,1,0,1,1,1
24,2,0,1,0,1,0,0,0,2,1,0,0,2,0,0,1,0,2,2,0,3,0,1,2,0,0,0,3,0,1,0,2,0,2,2,1,0,0,1,2
25,1,1,3,0,2,0,1,1,0,2,1,1,0,3,1,0,0,1,4,2,0,1,1,0,2,4,0,1,1,0,1,1,1,0,0,1,1,1,1,1
26,2,0,2,1,2,2,1,0,5,1,0,1,3,1,0,2,0,1,2,2,2,2,0,0,2,1,1,0,0,0,1,3,2,2,1,2,1,2,1,5
27,1,0,2,3,1,1,1,0,2,2,2,2,1,2,0,1,1,1,1,1,2,2,0,1,2,2,0,1,3,2,3,1,2,1,1,1,1,3,1,0
28,1,3,3,1,1,0,0,1,3,2,2,2,2,2,5,0,0,1,1,0,0,0,1,0,2,3,1,1,0,1,1,1,0,0,1,1,0,5,1,1
29,2,2,1,0,0,1,3,2,1,0,4,0,1,2,2,1,0,1,0,4,2,2,0,2,2,0,1,0,2,3,0,1,0,0,0,0,1,0,0,1
30,0,2,2,2,1,1,1,1,1,3,2,2,2,0,2,2,3,1,1,1,3,3,1,1,0,1,1,0,0,1,3,3,2,2,2,0,0,2,1,0
31,2,1,1,5,0,0,5,1,1,2,3,3,1,2,3,0,0,0,0,0,1,0,3,3,2,1,0,0,2,1,0,0,0,0,0,3,0,1,1,2
32,3,1,3,1,1,3,0,0,2,1,1,3,2,1,2,0,3,2,0,2,1,2,1,3,3,1,0,1,3,2,2,3,2,3,1,2,1,0,0,0
33,1,2,2,3,2,2,5,0,3,2,0,0,0,5,2,0,0,1,1,1,1,1,0,3,3,2,3,0,2,1,2,2,0,0,2,3,1,0,0,2
34,1,1,1,1,2,3,2,2,2,2,1,1,3,0,3,2,0,3,0,3,1,0,0,0,1,1,1,1,3,0,2,2,1,1,0,1,0,0,2,2
35,0,3,2,1,0,1,1,0,3,0,1,2,1,0,0,1,2,1,2,3,1,2,1,1,1,0,1,1,1,1,1,1,0,0,0,1,3,2,0,0
36,5,2,4,0,2,0,5,0,4,0,0,2,2,2,3,0,0,4,1,0,0,5,2,2,1,1,0,3,1,1,2,0,0,2,0,1,0,4,2,5
37,1,0,1,3,0,2,1,3,3,2,1,0,2,3,1,1,2,1,3,1,1,1,1,2,0,1,2,0,0,1,3,1,2,1,1,0,0,1,1,2
