,Lyon scored,Lyon received,Paris SG scored,Paris SG received,Angers scored,Angers received,St Etienne scored,St Etienne received,Lille scored,Lille received,Rennes scored,Rennes received,Nice scored,Nice received,Reims scored,Reims received,Metz scored,Metz received,Strasbourg scored,Strasbourg received,Brest scored,Brest received,Toulouse scored,Toulouse received,Amiens scored,Amiens received,Dijon scored,Dijon received,Nantes scored,Nantes received,Montpellier scored,Montpellier received,Bordeaux scored,Bordeaux received,Marseille scored,Marseille received,Monaco scored,Monaco received,Nimes scored,Nimes received
0,3,0,3,0,3,1,2,1,2,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,0,1,1,3,0,2,0,3,0,3
1,6,0,1,2,0,6,1,1,0,1,2,1,2,1,0,0,3,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,3,1,2
2,0,1,4,0,3,0,0,3,3,0,2,0,1,2,0,1,0,3,0,2,1,0,0,4,1,2,0,2,2,1,1,0,2,0,2,1,2,2,2,2
3,1,1,2,0,2,0,0,1,0,2,1,2,2,1,2,0,0,2,2,2,0,3,2,0,0,2,0,2,1,0,0,1,1,1,1,0,2,2,3,0
4,2,2,1,0,1,2,2,2,2,1,0,0,1,2,0,1,0,2,0,1,0,0,2,2,2,2,0,0,1,0,2,1,2,0,4,3,3,4,0,0
5,0,1,1,0,4,1,1,4,1,1,1,1,2,1,0,0,1,2,2,1,2,2,0,1,2,1,1,2,1,2,1,1,2,2,1,1,0,0,1,0
6,2,2,0,2,2,0,0,1,2,0,0,1,1,3,2,0,1,0,0,2,2,2,0,2,1,3,0,0,1,0,1,0,3,1,0,0,3,1,0,1
7,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,0,1,4,2,2,1,1,2,1,1,0,0,1,0,1,1,1,4,1,0,1
8,0,1,4,0,0,4,1,0,2,2,0,1,0,1,1,0,0,2,0,1,2,0,1,3,3,1,1,0,1,0,3,1,3,1,1,3,1,3,2,2
9,0,0,4,1,0,1,1,0,1,2,2,3,1,4,1,0,1,0,0,2,1,0,2,1,1,1,0,0,0,1,0,1,0,1,2,0,3,2,1,1
10,2,0,4,0,0,0,2,2,3,0,3,2,0,1,0,0,0,2,1,0,2,0,2,3,2,2,0,2,0,1,0,0,0,3,0,4,1,0,0,0
11,3,2,1,2,1,0,1,0,1,2,1,0,2,0,0,2,2,2,0,1,0,1,2,3,1,0,2,1,0,2,2,2,2,0,2,1,0,1,0,1
12,1,2,2,1,0,0,3,2,0,0,3,1,1,1,0,0,0,0,4,1,1,2,0,3,1,3,0,1,2,3,3,0,1,1,2,1,1,0,1,4
13,2,1,2,0,1,0,0,0,0,2,1,2,1,2,1,1,1,1,4,0,1,1,0,2,0,4,2,1,1,1,0,0,2,1,2,0,1,2,0,1
14,2,1,4,1,1,3,1,2,1,0,2,1,3,1,1,1,1,1,1,2,1,2,1,2,2,4,0,1,2,1,4,2,1,1,2,1,1,4,1,1
15,0,1,2,0,0,2,4,1,1,0,1,0,1,4,1,1,0,1,0,5,5,0,1,2,1,1,2,2,0,2,2,2,6,0,2,0,2,1,0,6
16,4,0,3,1,1,2,1,3,1,0,2,1,4,1,3,1,1,4,4,2,0,1,2,4,0,3,0,1,1,0,1,3,1,3,3,1,3,0,0,4
17,0,1,4,0,0,0,0,4,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,2,0,1,1,1,0,0,0,1
18,1,1,4,1,2,1,1,2,1,5,1,0,3,0,1,1,2,2,2,1,0,4,0,3,1,4,2,2,1,2,4,0,0,1,3,1,5,1,1,3
19,2,1,3,3,1,1,0,2,0,1,0,1,1,1,0,2,1,0,0,1,5,2,2,5,1,2,1,0,2,0,2,1,1,2,1,0,3,3,2,0
20,3,0,2,0,0,0,2,1,0,2,1,1,1,1,0,1,1,0,3,1,2,1,0,3,1,2,1,2,0,1,2,1,1,0,0,0,1,3,1,2
21,1,2,5,0,1,4,1,3,2,1,3,2,2,1,4,1,3,1,1,2,0,3,0,0,0,0,3,0,2,3,0,5,0,0,0,0,1,3,3,1
22,0,0,2,1,0,1,0,2,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,2,1,2,1,1,1,1,2,0,1,0,2,0
23,2,4,4,2,0,2,0,1,2,0,0,0,1,3,0,3,1,2,3,0,0,0,0,1,1,2,3,3,3,3,1,0,2,1,1,0,2,1,3,1
24,1,1,4,4,0,1,2,3,1,2,0,1,2,0,1,0,0,0,1,1,3,2,0,2,4,4,2,2,0,0,0,1,2,2,2,1,1,0,1,0
25,2,0,4,3,1,0,1,1,3,0,2,1,2,2,1,1,0,2,0,0,2,2,0,3,0,0,1,1,3,1,0,1,3,4,1,3,1,1,1,2
26,2,0,4,0,1,0,0,2,1,0,2,0,1,1,1,1,1,0,0,3,0,1,0,2,0,1,0,4,0,1,3,0,1,1,3,2,1,1,2,3
27,0,1,0,0,2,0,1,1,1,0,5,0,2,1,1,0,2,1,0,0,0,1,1,2,2,2,2,1,0,2,0,5,1,1,2,2,1,2,1,2
