,Lyon scored,Lyon received,Paris SG scored,Paris SG received,Angers scored,Angers received,St Etienne scored,St Etienne received,Lille scored,Lille received,Rennes scored,Rennes received,Nice scored,Nice received,Reims scored,Reims received,Metz scored,Metz received,Strasbourg scored,Strasbourg received,Brest scored,Brest received,Toulouse scored,Toulouse received,Amiens scored,Amiens received,Dijon scored,Dijon received,Nantes scored,Nantes received,Montpellier scored,Montpellier received,Bordeaux scored,Bordeaux received,Marseille scored,Marseille received,Monaco scored,Monaco received,Nimes scored,Nimes received
0,3,0,3,0,3,1,2,1,2,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,0,1,1,3,0,2,0,3,0,3
1,9,0,4,2,3,7,3,2,2,2,3,1,4,2,2,0,4,1,1,1,2,2,2,1,2,2,1,3,1,2,1,2,2,4,0,2,0,6,1,5
2,9,1,8,2,6,7,3,5,5,2,5,1,5,4,2,1,4,4,1,3,3,2,2,5,3,4,1,5,3,3,2,2,4,4,2,3,2,8,3,7
3,10,2,10,2,8,7,3,6,5,4,6,3,7,5,4,1,4,6,3,5,3,5,4,5,3,6,1,7,4,3,2,3,5,5,3,3,4,10,6,7
4,12,4,11,2,9,9,5,8,7,5,6,3,8,7,4,2,4,8,3,6,3,5,6,7,5,8,1,7,5,3,4,4,7,5,7,6,7,14,6,7
5,12,5,12,2,13,10,6,12,8,6,7,4,10,8,4,2,5,10,5,7,5,7,6,8,7,9,2,9,6,5,5,5,9,7,8,7,7,14,7,7
6,14,7,12,4,15,10,6,13,10,6,7,5,11,11,6,2,6,10,5,9,7,9,6,10,8,12,2,9,7,5,6,5,12,8,8,7,10,15,7,8
7,14,8,13,4,16,11,7,13,11,7,8,6,12,12,7,4,8,12,6,9,8,13,8,12,9,13,4,10,8,5,6,6,12,9,9,8,14,16,7,9
8,14,9,17,4,16,15,8,13,13,9,8,7,12,13,8,4,8,14,6,10,10,13,9,15,12,14,5,10,9,5,9,7,15,10,10,11,15,19,9,11
9,14,9,21,5,16,16,9,13,14,11,10,10,13,17,9,4,9,14,6,12,11,13,11,16,13,15,5,10,9,6,9,8,15,11,12,11,18,21,10,12
10,16,9,25,5,16,16,11,15,17,11,13,12,13,18,9,4,9,16,7,12,13,13,13,19,15,17,5,12,9,7,9,8,15,14,12,15,19,21,10,12
11,19,11,26,7,17,16,12,15,18,13,14,12,15,18,9,6,11,18,7,13,13,14,15,22,16,17,7,13,9,9,11,10,17,14,14,16,19,22,10,13
12,20,13,28,8,17,16,15,17,18,13,17,13,16,19,9,6,11,18,11,14,14,16,15,25,17,20,7,14,11,12,14,10,18,15,16,17,20,22,11,17
13,22,14,30,8,18,16,15,17,18,15,18,15,17,21,10,7,12,19,15,14,15,17,15,27,17,24,9,15,12,13,14,10,20,16,18,17,21,24,11,18
14,24,15,34,9,19,19,16,19,19,15,20,16,20,22,11,8,13,20,16,16,16,19,16,29,19,28,9,16,14,14,18,12,21,17,20,18,22,28,12,19
15,24,16,36,9,19,21,20,20,20,15,21,16,21,26,12,9,13,21,16,21,21,19,17,31,20,29,11,18,14,16,20,14,27,17,22,18,24,29,12,25
16,28,16,39,10,20,23,21,23,21,15,23,17,25,27,15,10,14,25,20,23,21,20,19,35,20,32,11,19,15,16,21,17,28,20,25,19,27,29,12,29
17,28,17,43,10,20,23,21,27,23,16,24,17,25,27,16,10,15,26,21,23,21,20,19,36,21,33,12,20,16,16,22,19,28,21,26,20,27,29,12,30
18,29,18,47,11,22,24,22,29,24,21,25,17,28,27,17,11,17,28,23,24,21,24,19,39,22,37,14,22,17,18,26,19,28,22,29,21,32,30,13,33
