,Nimes scored,Nimes received,Lorient scored,Lorient received,Nice scored,Nice received,Angers scored,Angers received,Monaco scored,Monaco received,Reims scored,Reims received,Lille scored,Lille received,Rennes scored,Rennes received,Nantes scored,Nantes received,Bordeaux scored,Bordeaux received,St Etienne scored,St Etienne received,Metz scored,Metz received,Montpellier scored,Montpellier received,Lyon scored,Lyon received,Marseille scored,Marseille received,Paris SG scored,Paris SG received,Lens scored,Lens received,Dijon scored,Dijon received,Strasbourg scored,Strasbourg received,Brest scored,Brest received
0,4,0,3,1,2,1,1,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,4
1,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
2,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
3,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
4,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
5,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
6,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
7,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
8,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
9,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
10,5,2,3,3,4,1,1,2,3,2,2,3,2,1,3,2,2,1,2,0,2,0,0,1,1,2,4,1,3,2,0,0,1,2,1,5,1,5,2,7
