,Paris SG scored,Paris SG received,Nantes scored,Nantes received,Bordeaux scored,Bordeaux received,Lyon scored,Lyon received,Monaco scored,Monaco received,Lille scored,Lille received,Toulouse scored,Toulouse received,Troyes scored,Troyes received,Nice scored,Nice received,Ajaccio scored,Ajaccio received,Auxerre scored,Auxerre received,St Etienne scored,St Etienne received,Strasbourg scored,Strasbourg received,Le Mans scored,Le Mans received,Nancy scored,Nancy received,Sochaux scored,Sochaux received,Rennes scored,Rennes received,Marseille scored,Marseille received,Lens scored,Lens received,Metz scored,Metz received
0,4,1,2,0,2,0,2,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,2,0,2,1,4
1,1,0,3,0,1,0,1,0,0,2,3,3,0,2,0,0,2,0,3,3,2,0,0,0,0,1,0,0,0,1,0,1,0,3,0,2,2,0,0,0
2,2,0,0,2,0,1,1,1,2,1,1,2,0,2,2,1,1,2,2,0,1,0,2,0,1,2,4,0,1,2,2,1,0,4,1,1,2,1,0,2
3,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,7,1,1,0,0,0,0,0,1,0,0,3,2,2,3,7,0,0,0
4,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,0,0,0,0,1,0,6,0,0,0,0,6,1,1,0,0,0,0
5,1,0,0,1,1,1,2,1,1,2,2,0,0,2,1,0,0,1,1,0,1,3,1,0,0,1,2,0,0,1,0,1,3,1,1,0,1,1,0,2
6,0,3,2,0,1,1,1,1,0,2,4,0,0,2,1,2,0,4,0,2,2,0,3,0,1,1,2,1,1,1,1,2,2,0,2,1,1,1,1,1
7,2,1,0,1,2,2,1,1,2,1,1,2,1,0,1,2,1,0,0,0,2,1,0,2,0,0,0,1,2,0,1,0,2,2,0,1,1,1,1,2
8,0,0,0,1,1,0,1,0,0,0,2,0,4,2,1,2,0,0,0,1,3,0,0,2,2,4,0,0,2,1,0,3,0,0,3,1,0,0,1,3
9,2,0,0,2,1,0,3,1,1,0,0,1,2,0,1,1,0,1,0,0,0,2,3,0,1,1,0,3,2,0,0,2,1,3,1,0,0,0,0,1
10,0,1,1,1,1,1,3,2,3,0,1,1,0,2,0,3,2,2,2,3,3,0,1,1,0,1,1,1,2,0,1,1,1,0,1,0,2,2,0,3
