,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Nantes,Lyon,20,1,0.6666666666666666,1.6666666666666667,4.0,1.6666666666666667
1,Auxerre,Valenciennes,10,11,2.6666666666666665,1.0,,
2,Bordeaux,Toulouse,2,9,1.3333333333333333,1.0,1.6666666666666667,2.6666666666666665
3,Le Mans,Nice,7,19,1.0,3.333333333333333,2.333333333333333,0.6666666666666666
4,Lens,Troyes,8,18,2.333333333333333,1.0,1.6666666666666667,1.3333333333333333
5,Nancy,Monaco,6,17,2.0,2.0,2.0,2.0
6,Paris SG,Lorient,14,3,1.0,2.0,,
7,Rennes,Lille,16,5,1.0,1.0,2.6666666666666665,2.0
8,St Etienne,Sochaux,15,4,0.3333333333333333,2.333333333333333,1.3333333333333333,0.6666666666666666
9,Sedan,Marseille,12,13,,,1.6666666666666667,1.3333333333333333
10,Lille,Lens,5,8,2.6666666666666665,2.0,2.333333333333333,1.0
11,Lorient,Bordeaux,9,3,,,1.0,0.3333333333333333
12,Lyon,Toulouse,4,10,3.0,2.0,1.6666666666666667,2.0
13,Marseille,Rennes,5,20,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333
14,Monaco,St Etienne,19,8,2.0,2.333333333333333,1.0,1.3333333333333333
15,Nancy,Sedan,2,17,2.0,2.0,,
16,Nice,Nantes,16,18,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667
17,Sochaux,Auxerre,6,12,1.3333333333333333,1.0,2.6666666666666665,0.6666666666666666
18,Troyes,Le Mans,14,7,1.3333333333333333,1.6666666666666667,1.0,3.333333333333333
19,Valenciennes,Paris SG,13,15,,,0.6666666666666666,1.6666666666666667
20,Auxerre,Marseille,12,5,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0
21,Le Mans,Valenciennes,3,14,2.0,4.0,,
22,Lens,Lorient,12,10,1.3333333333333333,2.0,,
23,Nantes,Troyes,17,13,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667
24,Paris SG,Lille,11,4,0.3333333333333333,0.3333333333333333,2.0,1.0
