,Lyon scored,Lyon received,Bordeaux scored,Bordeaux received,Lorient scored,Lorient received,Sochaux scored,Sochaux received,Lille scored,Lille received,Nancy scored,Nancy received,Le Mans scored,Le Mans received,Lens scored,Lens received,Toulouse scored,Toulouse received,Auxerre scored,Auxerre received,Valenciennes scored,Valenciennes received,Sedan scored,Sedan received,Marseille scored,Marseille received,Paris SG scored,Paris SG received,St Etienne scored,St Etienne received,Rennes scored,Rennes received,Monaco scored,Monaco received,Troyes scored,Troyes received,Nice scored,Nice received,Nantes scored,Nantes received
0,3,1,2,0,3,2,2,1,2,1,1,0,1,0,1,0,0,2,1,1,1,1,0,0,0,0,2,3,1,2,1,2,0,1,0,1,0,1,1,3
1,4,2,3,0,3,3,3,2,6,1,4,1,3,2,1,4,1,3,2,2,1,1,1,3,2,0,2,3,3,3,1,4,1,3,2,3,1,2,2,4
2,6,3,4,2,4,4,4,3,6,2,4,2,6,4,2,5,2,3,2,5,3,4,2,4,5,0,3,3,4,3,2,5,2,4,3,4,1,3,3,5
3,10,4,4,5,7,5,7,5,9,2,5,2,6,6,4,8,4,4,2,6,6,5,3,6,7,0,5,6,7,5,3,8,4,5,4,6,2,7,4,8
4,12,4,7,7,8,6,8,7,10,3,7,4,7,7,7,8,6,6,4,7,6,8,5,8,10,1,6,9,9,7,5,9,5,7,4,8,4,10,5,9
5,15,5,8,9,9,9,8,10,11,6,7,4,9,8,10,8,9,7,7,9,7,8,6,10,12,2,8,10,11,10,5,9,6,9,6,8,4,12,5,10
6,19,6,10,10,9,9,10,12,12,10,7,4,11,10,11,8,9,7,9,11,7,10,8,12,13,4,8,10,11,10,5,9,6,10,7,10,6,12,7,11
7,20,6,10,12,9,9,10,13,13,10,9,5,12,12,12,10,9,10,10,11,9,10,9,12,16,4,8,11,12,10,5,10,8,11,7,10,6,13,7,12
8,22,7,11,12,9,12,12,13,14,11,9,5,12,12,13,11,12,10,11,14,9,13,11,16,17,5,12,13,13,12,8,11,8,12,8,11,9,13,7,14
9,26,8,12,14,9,13,14,14,15,11,10,5,12,14,15,13,15,11,11,14,12,14,13,18,18,9,12,13,15,12,9,11,9,15,9,14,9,14,7,15
10,27,8,15,15,10,13,16,15,16,12,10,6,13,15,16,13,16,13,11,15,12,15,14,21,19,11,13,13,16,15,9,12,9,16,12,15,11,15,8,15
11,27,9,16,17,11,13,17,15,19,12,12,7,16,17,19,14,16,16,13,18,12,18,15,22,19,12,14,16,19,15,10,12,9,16,12,16,11,15,9,16
