,Valenciennes scored,Valenciennes received,Nancy scored,Nancy received,Lyon scored,Lyon received,Bordeaux scored,Bordeaux received,Le Mans scored,Le Mans received,Caen scored,Caen received,Monaco scored,Monaco received,St Etienne scored,St Etienne received,Lorient scored,Lorient received,Sochaux scored,Sochaux received,Lille scored,Lille received,Marseille scored,Marseille received,Paris SG scored,Paris SG received,Strasbourg scored,Strasbourg received,Metz scored,Metz received,Nice scored,Nice received,Lens scored,Lens received,Toulouse scored,Toulouse received,Auxerre scored,Auxerre received,Rennes scored,Rennes received
0,3,1,2,0,2,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,2,0,2
1,4,4,3,0,2,1,3,0,4,1,1,1,2,3,4,2,2,1,1,3,2,1,0,0,0,0,0,1,1,3,1,1,0,1,2,3,0,4,0,2
2,6,5,5,1,5,1,4,2,6,2,3,2,4,3,4,3,5,2,2,4,3,2,1,2,1,3,3,1,1,5,2,3,0,4,3,5,0,7,1,2
3,6,5,7,3,6,3,4,2,7,3,3,3,7,3,4,3,7,3,2,7,4,3,3,4,1,3,6,2,1,5,3,4,0,4,4,8,1,7,2,3
4,9,6,11,4,7,3,6,4,8,6,4,5,10,4,4,4,9,5,3,10,5,4,5,5,2,4,8,3,1,7,4,5,1,6,5,9,2,11,4,3
5,12,7,12,5,9,4,7,4,8,8,5,6,11,4,6,4,10,8,4,12,5,5,5,7,4,4,8,5,1,8,6,5,2,7,6,10,2,13,6,3
6,12,7,14,5,12,6,9,5,10,11,7,8,12,6,6,6,10,8,6,14,7,7,6,8,5,5,8,5,1,8,7,5,2,8,8,10,2,15,8,5
7,12,9,14,6,17,7,10,6,12,11,7,11,13,8,9,6,10,9,6,14,8,8,7,10,7,6,8,5,2,13,7,7,3,8,10,11,4,15,9,5
8,13,9,16,6,18,8,12,6,13,11,8,13,13,9,9,9,10,11,8,14,9,9,7,12,7,8,8,6,4,14,10,7,4,9,11,12,6,15,9,7
9,13,12,19,7,21,9,13,9,15,11,8,13,14,12,10,9,10,11,8,15,12,9,7,13,8,11,10,7,5,16,10,9,6,9,12,12,6,17,12,8
10,13,12,20,8,24,10,14,10,15,14,9,13,15,15,12,9,13,16,9,16,12,10,8,13,8,11,11,8,6,19,13,10,6,10,12,14,11,20,15,8
11,14,14,20,8,27,12,16,11,16,15,9,13,15,15,12,9,13,16,11,17,12,13,9,15,10,14,14,8,6,19,13,10,7,12,13,15,11,20,17,9
12,14,16,21,8,29,12,16,12,18,18,12,15,16,15,14,12,13,16,11,17,13,13,9,15,12,15,15,10,6,19,13,10,10,14,13,15,11,21,17,10
13,17,16,21,8,30,14,19,12,21,20,12,18,19,15,16,15,14,16,12,18,14,14,11,16,12,15,15,13,7,21,14,11,12,15,13,16,12,22,17,13
14,17,16,23,8,32,14,19,17,21,23,17,18,19,15,17,15,15,17,12,19,14,16,14,17,13,17,15,13,8,24,16,12,13,16,13,16,15,22,17,15
15,20,16,24,10,37,14,23,20,23,24,18,18,20,16,18,16,16,18,12,21,15,17,15,18,13,18,15,18,8,25,17,13,15,16,16,20,16,22,17,18
16,20,16,24,10,37,15,24,21,26,25,19,18,20,18,20,16,18,19,13,23,15,18,17,18,14,18,18,18,8,27,18,14,16,19,17,20,16,23,17,21
17,23,16,24,10,37,15,26,23,26,25,21,19,22,18,20,19,18,19,15,24,18,18,19,20,15,20,18,18,9,29,18,14,16,21,19,21,16,26,18,23
18,23,17,25,11,38,16,27,23,26,26,23,19,22,19,20,20,20,19,15,25,20,19,20,20,16,20,18,20,9,31,19,14,17,23,19,21,17,26,18,23
19,25,17,25,11,41,18,31,24,26,28,23,19,23,19,20,22,20,20,17,25,21,20,21,23,19,20,18,21,10,32,20,14,17,26,21,24,18,30,21,24
20,26,20,25,12,41,21,33,25,27,30,24,20,27,20,22,22,21,20,18,26,22,21,24,24,19,21,19,22,11,36,21,14,20,26,22,25,19,31,21,26
21,27,22,26,13,43,21,34,25,28,33,24,20,28,20,22,23,21,22,18,27,25,22,25,25,22,21,21,22,11,39,22,15,22,27,22,27,19,31,22,27
22,27,23,26,13,44,22,34,26,29,33,25,26,28,21,23,24,22,22,19,27,25,22,31,26,22,21,23,24,12,40,23,16,24,29,23,28,19,31,23,28
23,30,23,27,13,48,23,37,26,29,33,26,30,28,21,23,27,22,25,20,31,25,22,33,26,22,21,26,24,12,43,23,18,28,30,23,29,21,32,24,30
24,31,25,27,17,48,24,43,26,30,33,27,31,28,27,27,27,23,25,21,32,28,23,35,27,23,23,26,25,14,44,23,18,28,30,23,30,22,32,25,33
25,32,27,29,18,50,24,43,26,32,34,28,34,29,28,30,28,23,27,23,32,28,23,35,27,24,24,26,27,14,46,24,20,29,32,23,30,24,33,27,33
26,32,27,29,18,51,24,46,26,32,35,29,36,29,28,30,28,23,27,23,32,28,24,37,28,24,27,27,27,16,47,24,20,30,33,24,31,25,35,27,33
27,32,27,31,18,55,26,48,30,32,35,29,36,29,30,30,30,23,27,25,33,28,24,39,28,24,29,29,30,19,49,24,20,30,33,25,33,25,35,29,33
28,33,28,32,19,58,26,51,30,33,36,29,41,29,33,30,30,24,28,26,34,33,24,42,31,25,30,29,33,20,51,26,21,33,36,25,33,26,36,30,34
