,Lyon scored,Lyon received,Auxerre scored,Auxerre received,Bordeaux scored,Bordeaux received,Grenoble scored,Grenoble received,Monaco scored,Monaco received,Lorient scored,Lorient received,Le Havre scored,Le Havre received,Valenciennes scored,Valenciennes received,Marseille scored,Marseille received,Rennes scored,Rennes received,Nancy scored,Nancy received,Lille scored,Lille received,Nantes scored,Nantes received,Sochaux scored,Sochaux received,Caen scored,Caen received,St Etienne scored,St Etienne received,Le Mans scored,Le Mans received,Nice scored,Nice received,Paris SG scored,Paris SG received,Toulouse scored,Toulouse received
0,3,0,2,1,2,1,2,1,1,0,1,0,1,0,1,0,4,4,4,4,0,0,0,0,1,2,1,2,1,2,0,1,0,1,0,1,0,1,0,3
1,0,0,0,4,0,1,1,0,1,1,0,0,1,2,1,3,4,0,0,1,1,2,1,3,1,1,1,2,3,1,2,1,3,1,2,1,1,0,2,1
2,2,0,0,1,2,0,0,2,1,1,1,3,0,1,3,1,1,0,2,1,0,0,1,2,0,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0
3,1,0,2,0,1,2,1,0,0,1,0,2,1,2,0,2,2,1,0,0,2,1,2,1,1,4,1,2,0,1,0,1,4,1,2,0,1,0,0,0
4,3,2,1,1,1,1,1,1,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,2,1,2,2,3,1,0,2,1
5,1,0,2,3,1,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,3,2,2,0,1,2,1,1,1,0,2,2,2,2,0,1,2,1
6,2,1,3,0,1,1,1,0,0,2,1,1,0,3,0,1,1,1,1,0,1,2,2,0,0,3,1,1,3,0,1,1,1,1,0,1,0,1,1,0
7,0,3,0,1,2,1,0,1,0,2,1,2,1,2,0,1,2,1,3,0,1,1,1,0,1,0,1,1,1,2,2,0,2,1,1,1,1,1,1,0
8,2,2,0,0,2,1,2,2,1,2,2,3,1,1,1,3,3,1,0,0,0,2,2,2,1,0,1,1,2,2,0,1,2,0,2,1,3,2,1,2
9,0,0,0,0,2,2,2,0,0,0,3,0,2,1,1,2,2,4,2,2,1,1,2,2,0,3,1,1,2,2,0,2,2,2,2,2,4,2,0,0
10,2,0,2,0,4,0,0,0,3,1,4,1,0,4,0,0,1,1,0,0,1,3,0,0,1,1,0,2,1,1,1,4,0,2,1,1,0,1,1,0
11,2,0,0,0,0,1,1,1,3,2,1,1,2,3,0,0,3,1,1,0,1,0,2,0,0,2,0,1,1,0,1,3,0,2,1,0,0,1,0,1
12,1,0,0,2,2,0,0,3,0,1,0,1,1,0,0,1,3,0,3,0,1,0,0,1,1,1,2,1,0,1,0,3,1,2,1,0,1,0,1,1
13,2,1,1,0,1,2,0,2,1,2,3,2,1,3,0,1,2,3,2,1,1,1,3,0,1,2,0,1,1,1,0,3,1,0,2,1,3,1,2,0
14,0,1,0,1,1,1,0,0,3,0,1,0,0,0,2,2,2,2,1,1,1,0,2,2,0,1,2,2,1,0,0,1,0,3,1,0,1,0,0,1
