,Bordeaux scored,Bordeaux received,Rennes scored,Rennes received,Nancy scored,Nancy received,Nice scored,Nice received,Marseille scored,Marseille received,Lorient scored,Lorient received,Monaco scored,Monaco received,Sochaux scored,Sochaux received,Le Mans scored,Le Mans received,Lyon scored,Lyon received,Montpellier scored,Montpellier received,Paris SG scored,Paris SG received,Lille scored,Lille received,Auxerre scored,Auxerre received,Toulouse scored,Toulouse received,Valenciennes scored,Valenciennes received,St Etienne scored,St Etienne received,Grenoble scored,Grenoble received,Lens scored,Lens received,Boulogne scored,Boulogne received
0,4,1,3,0,3,1,2,0,2,0,2,1,1,0,1,0,2,2,2,2,1,1,1,1,1,2,0,1,0,1,1,3,0,2,0,2,1,4,0,3
1,7,3,4,1,7,1,3,1,3,0,4,3,1,4,3,3,3,5,3,2,3,3,4,2,1,3,0,3,3,2,1,4,1,5,1,4,3,4,2,4
2,11,3,5,2,8,3,3,5,4,1,4,5,3,4,3,5,5,6,6,2,5,3,7,4,2,4,0,6,4,3,3,7,1,6,2,6,5,5,3,4
3,11,3,7,4,9,6,3,8,4,1,5,5,3,5,4,5,5,7,9,3,8,3,10,4,2,7,0,6,4,4,4,7,2,6,2,7,7,7,3,4
4,12,3,8,4,9,6,3,10,6,2,5,6,5,5,4,6,6,9,10,3,9,3,10,6,3,7,2,6,4,4,5,8,2,7,2,8,7,8,4,5
5,14,3,12,4,10,9,4,13,10,4,8,7,8,6,6,11,6,11,11,4,11,7,11,7,4,8,3,7,6,4,10,10,3,8,2,12,8,9,4,7
6,15,3,12,5,12,10,5,14,12,7,9,8,9,8,7,13,9,11,13,5,12,7,12,8,5,9,5,7,7,6,13,12,5,9,2,14,8,12,4,8
7,16,6,12,6,13,11,8,16,13,9,10,8,11,9,8,13,9,12,15,5,15,9,13,9,8,11,6,7,7,7,15,15,8,10,4,17,8,14,6,11
8,16,7,12,6,13,14,9,20,16,9,14,9,13,9,10,13,10,13,15,7,17,10,13,10,8,11,7,7,8,7,17,15,9,12,4,19,8,16,7,12
9,19,7,15,6,15,15,13,21,17,9,14,10,16,10,11,13,10,16,16,11,17,13,13,11,10,14,10,9,10,7,19,15,9,14,5,21,8,18,8,15
10,20,7,15,7,17,15,13,23,19,10,15,12,17,10,11,15,11,16,18,11,17,14,14,12,14,14,10,9,12,7,19,15,9,18,5,22,9,19,8,17
11,21,7,15,10,19,16,14,23,20,11,16,13,17,11,12,19,11,17,19,11,18,16,18,13,16,14,12,10,13,8,22,15,9,19,5,24,10,20,9,19
12,21,9,17,13,19,17,15,23,25,16,21,13,17,11,13,21,11,18,24,16,19,17,18,14,18,14,13,10,16,10,23,16,10,19,5,24,12,21,9,24
13,21,10,19,14,20,19,16,23,28,16,23,13,17,13,13,24,12,20,25,17,21,17,23,16,18,16,15,10,16,11,24,16,10,21,6,25,14,22,11,29
14,24,10,20,15,20,22,16,24,28,17,25,15,21,13,14,24,13,21,26,18,21,21,24,16,22,16,15,11,17,11,24,20,11,22,8,27,15,22,11,30
15,25,10,21,15,23,23,17,27,31,18,25,16,22,16,14,24,14,23,29,22,23,22,24,17,26,19,16,14,17,12,27,21,11,22,9,27,16,24,13,31
16,26,10,23,16,24,25,17,29,33,18,25,16,22,20,15,24,16,24,29,23,24,22,27,17,30,19,16,14,17,13,28,23,11,25,9,28,18,24,13,33
17,30,11,24,16,26,25,18,30,33,18,26,20,23,21,15,24,16,27,30,24,24,24,27,18,33,19,17,15,18,14,28,23,11,25,10,29,18,24,13,33
18,32,12,24,18,26,29,20,32,33,20,29,22,24,22,17,24,17,28,31,26,26,25,31,18,37,19,19,15,19,16,30,26,11,26,10,33,19,24,15,35
19,33,13,25,19,26,31,20,33,34,21,32,22,26,22,17,26,17,31,33,26,27,25,32,21,40,20,19,15,22,17,31,29,13,27,11,35,20,25,15,35
20,36,14,25,19,26,31,20,34,36,22,33,25,27,22,19,27,18,33,36,27,28,25,32,22,41,22,20,15,22,17,33,29,13,27,12,38,20,26,15,37
21,36,14,29,19,27,31,22,37,36,24,33,26,30,24,20,28,19,36,38,28,30,25,33,24,42,22,21,15,25,18,34,30,13,28,12,42,20,27,15,37
22,38,18,33,21,28,32,23,38,41,25,36,26,30,27,21,29,20,38,38,28,32,25,33,27,43,23,21,20,25,18,35,35,16,28,17,42,22,28,15,39
23,41,19,33,22,28,32,24,40,43,26,37,27,31,29,21,29,20,38,39,28,33,25,33,27,46,24,22,20,26,19,37,36,17,31,17,43,22,29,16,42
24,42,21,34,24,29,35,25,40,46,27,37,28,31,32,21,33,23,39,43,28,33,26,34,27,48,25,24,21,26,20,38,36,18,31,17,44,25,29,17,45
25,43,23,35,27,29,37,25,42,49,27,38,28,32,32,21,34,25,40,45,28,36,27,34,30,49,27,26,22,27,20,39,36,18,32,19,44,25,30,17,46
26,44,24,36,27,32,39,27,45,50,28,39,29,32,33,22,34,26,41,45,28,37,28,35,31,50,28,27,22,27,21,39,37,19,33,20,45,26,31,17,46
27,44,24,38,27,33,42,28,45,51,29,40,29,32,33,23,38,26,42,46,29,38,29,39,32,51,28,28,23,28,22,39,39,20,34,20,46,26,32,20,47
28,47,25,42,28,33,42,29,45,53,30,40,31,32,33,23,38,27,44,47,31,40,30,39,33,52,31,30,24,29,26,40,41,20,34,20,46,26,32,22,47
29,47,27,45,29,38,43,31,45,54,30,44,31,32,33,23,39,28,47,49,31,41,34,42,33,56,32,30,24,29,28,42,41,20,38,20,48,27,37,22,50
30,48,29,46,31,40,44,31,45,55,30,46,32,32,33,23,39,28,49,51,32,41,34,43,34,56,33,31,25,30,29,43,41,22,38,21,50,27,38,23,51
31,49,32,47,32,40,45,32,49,59,31,47,33,34,34,23,41,30,51,52,33,43,36,46,35,57,34,32,25,34,29,44,43,24,38,21,54,30,38,23,54
32,51,34,47,32,40,45,32,49,61,32,48,37,34,38,25,43,31,51,54,35,44,37,46,35,61,34,36,26,35,30,44,44,24,38,23,56,30,38,24,56
33,51,35,48,33,40,45,34,50,62,32,49,37,34,41,25,46,32,53,57,35,44,37,47,36,63,35,39,26,35,33,45,45,24,39,24,58,31,39,27,56
34,52,35,49,35,41,48,37,53,62,32,49,37,35,42,27,47,33,54,58,35,44,38,47,40,66,36,39,26,35,34,45,45,25,43,28,58,35,40,30,59
35,53,36,50,38,44,50,38,54,65,33,51,39,37,44,27,48,35,57,60,36,45,38,49,42,68,36,40,28,35,36,47,47,26,43,29,59,36,41,30,60
36,55,36,52,40,45,52,40,56,67,36,52,41,39,45,27,50,36,57,62,38,47,39,49,43,71,38,40,28,36,36,49,49,26,44,31,59,36,41,30,62
37,58,40,52,41,46,53,41,57,69,36,54,42,39,45,28,52,36,59,64,38,50,40,50,46,72,40,42,29,36,36,50,50,27,45,31,61,40,44,31,62
