,Sp Braga scored,Sp Braga received,Academica scored,Academica received,Nacional scored,Nacional received,Porto scored,Porto received,Pacos Ferreira scored,Pacos Ferreira received,Setubal scored,Setubal received,Beira Mar scored,Beira Mar received,Olhanense scored,Olhanense received,Leiria scored,Leiria received,Guimaraes scored,Guimaraes received,Benfica scored,Benfica received,Maritimo scored,Maritimo received,Naval scored,Naval received,Rio Ave scored,Rio Ave received,Sp Lisbon scored,Sp Lisbon received,Portimonense scored,Portimonense received
0,3,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,1,1,3
1,3,1,3,2,3,1,4,0,1,0,1,0,0,3,1,1,0,0,0,0,2,4,0,2,1,1,0,1,1,1,1,4
2,4,1,4,4,4,4,6,0,3,2,1,3,2,4,2,1,0,1,3,1,5,4,0,3,2,4,0,3,4,2,3,6
3,6,4,7,4,5,6,9,2,4,3,1,3,2,4,2,1,2,2,5,2,6,6,1,4,2,7,1,6,4,2,6,7
4,8,6,9,6,5,8,11,2,6,5,1,3,3,5,4,1,2,3,6,2,8,6,2,5,2,7,3,8,4,4,6,9
5,11,7,12,7,6,9,13,2,6,6,2,3,3,6,4,3,3,3,7,5,9,6,2,6,3,10,3,9,5,5,7,9
6,11,8,13,9,9,10,14,3,8,7,3,6,4,7,7,4,5,4,8,6,10,6,2,6,4,12,3,9,6,6,8,12
7,14,9,15,10,10,12,19,4,9,8,5,7,5,8,8,7,6,9,9,8,11,6,3,6,4,13,3,10,7,6,8,13
8,14,11,15,11,11,12,20,4,9,10,5,8,8,9,9,8,7,11,11,8,13,6,4,7,5,16,5,10,9,7,8,15
9,16,14,17,13,12,12,25,4,9,11,8,11,11,11,10,9,8,12,14,10,13,11,5,8,6,17,8,13,11,10,10,17
10,17,16,18,15,12,12,27,4,10,14,8,12,12,12,11,10,9,12,16,11,17,11,5,8,6,21,11,14,13,11,10,19
11,19,16,19,15,12,14,28,5,11,14,8,13,13,15,11,11,11,13,16,13,20,12,7,8,6,22,12,14,14,12,11,21
12,20,19,20,20,14,15,29,5,12,15,8,14,14,16,11,13,14,14,17,14,22,12,12,9,7,24,13,15,17,13,12,24
13,25,19,20,25,14,15,32,5,12,18,8,17,17,18,11,13,17,14,19,17,27,14,13,10,7,27,15,20,20,13,13,25
14,26,21,20,25,14,15,36,6,12,18,12,20,17,18,12,13,17,17,20,19,30,14,14,14,9,28,15,21,22,14,16,29
15,29,21,20,26,15,15,39,7,15,20,14,24,20,18,12,14,17,20,21,19,31,14,18,16,10,31,15,22,24,17,16,32
16,31,23,21,28,17,19,40,7,16,21,16,26,20,19,14,15,18,21,24,21,35,16,18,19,11,32,17,25,27,17,17,33
17,33,24,24,31,17,19,41,7,17,21,16,28,23,22,16,15,18,23,24,21,37,16,19,21,14,35,17,26,30,20,17,34
18,33,26,25,34,17,20,43,7,18,21,16,28,23,22,18,17,19,23,24,24,40,16,19,22,17,36,19,26,32,22,17,36
19,34,28,25,35,17,23,46,7,20,22,17,29,23,23,19,18,19,24,25,24,42,16,20,22,18,37,20,26,32,24,18,37
20,34,28,27,35,18,23,49,7,22,22,17,31,23,24,19,21,19,25,25,26,44,17,21,24,18,37,21,26,32,25,19,37
21,36,29,27,35,19,24,51,7,22,22,17,31,23,25,19,21,19,25,25,28,45,19,21,25,18,37,22,26,33,25,20,38
22,38,29,28,36,20,25,53,7,23,25,18,32,26,26,19,23,19,27,26,29,46,20,24,25,18,40,22,26,33,25,21,39
23,39,29,29,39,21,27,56,8,24,30,20,33,28,28,19,27,19,27,27,31,51,21,28,25,20,42,22,27,33,25,23,40
24,41,30,30,39,22,27,58,9,24,31,20,35,29,30,20,30,20,30,28,32,52,23,31,26,23,43,24,27,34,26,23,41
25,44,31,30,41,23,28,61,11,25,37,24,36,30,30,20,31,21,34,29,35,53,25,32,27,25,44,30,28,36,26,25,44
26,45,32,31,42,24,29,64,13,25,37,25,37,31,32,20,31,21,35,31,35,55,26,32,29,25,45,31,28,38,29,26,44
27,45,32,31,43,26,30,68,13,27,38,25,41,32,33,21,32,21,35,32,37,56,27,33,29,26,47,32,29,40,30,27,46
28,45,32,31,43,26,31,71,16,30,41,26,41,32,34,22,32,22,35,33,37,58,28,33,30,26,48,33,31,40,31,28,46
29,45,33,32,48,28,31,73,16,35,42,29,42,32,36,24,34,25,38,36,37,61,31,33,32,26,51,35,33,41,31,29,49
