,Setubal scored,Setubal received,Porto scored,Porto received,Academica scored,Academica received,Gil Vicente scored,Gil Vicente received,Benfica scored,Benfica received,Olhanense scored,Olhanense received,Sp Lisbon scored,Sp Lisbon received,Feirense scored,Feirense received,Nacional scored,Nacional received,Maritimo scored,Maritimo received,Rio Ave scored,Rio Ave received,Sp Braga scored,Sp Braga received,Beira Mar scored,Beira Mar received,Pacos Ferreira scored,Pacos Ferreira received,Leiria scored,Leiria received,Guimaraes scored,Guimaraes received
0,2,1,1,0,2,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1
1,2,2,3,1,1,0,1,3,3,1,2,2,0,0,1,3,1,4,0,2,0,1,2,0,0,0,2,1,1,2,4,1
2,0,1,5,2,0,2,2,0,2,0,1,0,2,3,0,0,0,2,3,2,0,1,1,0,3,0,0,0,2,5,0,3
3,0,3,3,0,4,0,1,3,2,1,1,2,3,2,2,1,0,4,2,1,1,2,3,1,0,1,2,3,1,0,1,2
4,1,0,0,0,1,4,1,1,4,1,1,1,3,2,0,0,1,0,3,1,2,3,1,1,0,1,0,1,1,3,1,1
5,0,3,2,2,4,0,2,1,2,2,2,1,3,0,0,4,0,2,2,1,0,0,2,0,0,0,1,2,1,2,1,2
6,2,1,3,0,0,3,0,0,4,1,0,1,1,0,2,2,1,0,2,2,1,2,0,1,0,0,1,4,1,0,0,1
7,0,1,5,0,0,2,1,6,1,0,1,0,6,1,0,3,0,5,1,0,2,0,3,0,0,1,2,0,0,2,0,1
8,0,2,3,0,0,0,0,0,2,1,1,2,2,0,0,2,2,1,0,0,1,2,0,0,1,2,0,3,2,0,2,1
9,0,0,0,0,2,3,0,0,1,1,0,0,3,1,1,2,1,2,3,2,2,1,1,1,2,1,1,5,1,3,5,1
10,0,3,3,2,0,1,2,1,1,0,1,1,0,1,2,0,2,2,2,2,0,2,2,3,1,0,1,1,1,2,3,0
11,1,1,2,1,2,0,0,2,1,0,0,2,1,0,1,1,0,1,0,1,2,0,5,2,1,2,2,5,1,0,0,1
12,1,1,2,0,1,1,1,1,5,1,3,4,1,1,2,1,1,1,0,2,1,5,4,3,3,0,0,3,1,2,1,1
13,1,1,0,0,1,1,0,3,4,0,1,2,0,0,0,1,3,0,2,1,1,0,2,1,1,2,0,1,0,4,1,0
14,1,4,2,0,0,2,0,0,4,1,2,1,1,2,0,0,2,2,1,1,0,2,2,1,1,2,1,1,2,2,2,0
15,1,2,3,1,0,0,1,3,3,1,0,0,0,0,0,2,2,0,2,1,1,2,2,1,1,2,2,1,0,0,1,3
16,2,3,1,3,0,0,3,1,2,1,3,2,2,0,1,2,0,1,1,2,0,0,2,1,0,2,4,2,2,4,1,0
17,0,3,4,0,0,2,2,0,4,1,0,2,0,2,1,3,1,4,2,0,2,0,3,0,0,1,3,1,0,4,1,0
18,1,3,3,1,1,4,0,3,0,1,1,1,1,0,1,1,4,1,3,1,1,3,3,0,0,0,0,1,0,0,1,0
19,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,1,4,0,2,3,0,2,0,1,0,4
20,1,0,3,2,1,1,1,2,2,3,3,1,0,1,1,1,1,3,0,1,4,0,3,1,0,4,2,1,1,3,1,0
21,0,3,1,1,1,1,0,1,2,1,4,4,5,0,1,2,4,4,2,1,3,0,2,1,1,0,1,2,1,2,0,5
22,1,1,2,0,0,1,2,0,3,1,2,2,0,2,1,4,0,2,1,1,0,1,4,1,1,3,1,0,1,0,2,2
23,1,0,1,1,1,2,2,3,0,0,0,0,1,0,0,1,3,0,3,2,0,1,2,1,0,3,1,1,0,1,1,0
24,1,0,2,0,0,1,0,1,2,1,0,2,1,0,1,3,2,1,1,0,1,2,1,2,3,1,1,3,0,1,3,1
25,1,0,1,0,1,2,0,0,0,1,1,2,1,0,2,2,4,2,2,4,2,2,0,1,2,1,2,1,0,0,0,1
26,0,1,3,0,0,1,0,0,4,1,1,0,3,2,1,0,2,3,1,4,0,0,1,1,0,3,1,1,2,3,3,2
27,0,3,2,0,1,2,3,1,2,2,2,1,2,1,4,0,3,0,0,2,2,2,1,2,2,0,0,2,0,4,1,3
28,0,1,2,0,1,0,1,3,1,0,0,0,0,2,1,3,3,1,0,0,2,2,1,0,0,1,2,2,0,1,3,1
29,1,3,5,2,2,1,3,1,3,1,2,1,3,2,1,3,3,2,1,1,2,5,2,3,1,2,1,1,2,3,1,2
