,Setubal scored,Setubal received,Porto scored,Porto received,Academica scored,Academica received,Gil Vicente scored,Gil Vicente received,Benfica scored,Benfica received,Olhanense scored,Olhanense received,Sp Lisbon scored,Sp Lisbon received,Feirense scored,Feirense received,Nacional scored,Nacional received,Maritimo scored,Maritimo received,Rio Ave scored,Rio Ave received,Sp Braga scored,Sp Braga received,Beira Mar scored,Beira Mar received,Pacos Ferreira scored,Pacos Ferreira received,Leiria scored,Leiria received,Guimaraes scored,Guimaraes received
0,2,1,1,0,2,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1
1,4,3,4,1,3,1,3,5,5,3,3,3,1,1,1,3,1,4,0,2,0,1,2,0,0,0,3,3,2,4,4,2
2,4,4,9,3,3,3,5,5,7,3,4,3,3,4,1,3,1,6,3,4,0,2,3,0,3,0,3,3,4,9,4,5
3,4,7,12,3,7,3,6,8,9,4,5,5,6,6,3,4,1,10,5,5,1,4,6,1,3,1,5,6,5,9,5,7
4,5,7,12,3,8,7,7,9,13,5,6,6,9,8,3,4,2,10,8,6,3,7,7,2,3,2,5,7,6,12,6,8
5,5,10,14,5,12,7,9,10,15,7,8,7,12,8,3,8,2,12,10,7,3,7,9,2,3,2,6,9,7,14,7,10
6,7,11,17,5,12,10,9,10,19,8,8,8,13,8,5,10,3,12,12,9,4,9,9,3,3,2,7,13,8,14,7,11
7,7,12,22,5,12,12,10,16,20,8,9,8,19,9,5,13,3,17,13,9,6,9,12,3,3,3,9,13,8,16,7,12
8,7,14,25,5,12,12,10,16,22,9,10,10,21,9,5,15,5,18,13,9,7,11,12,3,4,5,9,16,10,16,9,13
9,7,14,25,5,14,15,10,16,23,10,10,10,24,10,6,17,6,20,16,11,9,12,13,4,6,6,10,21,11,19,14,14
10,7,17,28,7,14,16,12,17,24,10,11,11,24,11,8,17,8,22,18,13,9,14,15,7,7,6,11,22,12,21,17,14
11,8,18,30,8,16,16,12,19,25,10,11,13,25,11,9,18,8,23,18,14,11,14,20,9,8,8,13,27,13,21,17,15
12,9,19,32,8,17,17,13,20,30,11,14,17,26,12,11,19,9,24,18,16,12,19,24,12,11,8,13,30,14,23,18,16
13,10,20,32,8,18,18,13,23,34,11,15,19,26,12,11,20,12,24,20,17,13,19,26,13,12,10,13,31,14,27,19,16
14,11,24,34,8,18,20,13,23,38,12,17,20,27,14,11,20,14,26,21,18,13,21,28,14,13,12,14,32,16,29,21,16
15,12,26,37,9,18,20,14,26,41,13,17,20,27,14,11,22,16,26,23,19,14,23,30,15,14,14,16,33,16,29,22,19
16,14,29,38,12,18,20,17,27,43,14,20,22,29,14,12,24,16,27,24,21,14,23,32,16,14,16,20,35,18,33,23,19
17,14,32,42,12,18,22,19,27,47,15,20,24,29,16,13,27,17,31,26,21,16,23,35,16,14,17,23,36,18,37,24,19
18,15,35,45,13,19,26,19,30,47,16,21,25,30,16,14,28,21,32,29,22,17,26,38,16,14,17,23,37,18,37,25,19
19,18,37,47,13,19,26,19,30,47,16,21,25,31,16,14,30,23,32,30,22,17,27,42,16,16,20,23,39,18,38,25,23
20,19,37,50,15,20,27,20,32,49,19,24,26,31,17,15,31,24,35,30,23,21,27,45,17,16,24,25,40,19,41,26,23
21,19,40,51,16,21,28,20,33,51,20,28,30,36,17,16,33,28,39,32,24,24,27,47,18,17,24,26,42,20,43,26,28
22,20,41,53,16,21,29,22,33,54,21,30,32,36,19,17,37,28,41,33,25,24,28,51,19,18,27,27,42,21,43,28,30
23,21,41,54,17,22,31,24,36,54,21,30,32,37,19,17,38,31,41,36,27,24,29,53,20,18,30,28,43,21,44,29,30
24,22,41,56,17,22,32,24,37,56,22,30,34,38,19,18,41,33,42,37,27,25,31,54,22,21,31,29,46,21,45,32,31
25,23,41,57,17,23,34,24,37,56,23,31,36,39,19,20,43,37,44,39,31,27,33,54,23,23,32,31,47,21,45,32,32
26,23,42,60,17,23,35,24,37,60,24,32,36,42,21,21,43,39,47,40,35,27,33,55,24,23,35,32,48,23,48,35,34
27,23,45,62,17,24,37,27,38,62,26,34,37,44,22,25,43,42,47,40,37,29,35,56,26,25,35,32,50,23,52,36,37
28,23,46,64,17,25,37,28,41,63,26,34,37,44,24,26,46,45,48,40,37,31,37,57,26,25,36,34,52,23,53,39,38
29,24,49,69,19,27,38,31,42,66,27,36,38,47,26,27,49,48,50,41,38,33,42,59,29,26,38,35,53,25,56,40,40
