,Maritimo scored,Maritimo received,Olhanense scored,Olhanense received,Academica scored,Academica received,Beira Mar scored,Beira Mar received,Nacional scored,Nacional received,Benfica scored,Benfica received,Sp Braga scored,Sp Braga received,Setubal scored,Setubal received,Moreirense scored,Moreirense received,Pacos Ferreira scored,Pacos Ferreira received,Porto scored,Porto received,Gil Vicente scored,Gil Vicente received,Guimaraes scored,Guimaraes received,Sp Lisbon scored,Sp Lisbon received,Estoril scored,Estoril received,Rio Ave scored,Rio Ave received
0,1,0,2,1,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1
1,0,0,1,1,1,1,1,3,1,3,5,0,3,1,0,5,3,1,1,1,4,0,0,0,0,4,0,1,1,1,1,0
2,1,1,2,3,0,0,1,1,0,3,3,0,0,2,0,0,1,1,2,0,3,2,0,0,2,2,1,1,2,2,0,0
3,1,3,0,1,2,2,0,4,3,3,2,2,4,1,1,0,0,1,3,3,4,0,1,2,1,0,2,1,3,1,1,4
4,0,2,1,2,2,0,1,1,2,1,2,1,2,0,1,1,3,4,1,2,2,2,4,3,0,2,2,2,2,2,2,2
5,1,0,4,4,1,2,1,2,0,1,2,1,4,4,0,0,0,1,0,0,2,0,1,0,2,1,0,2,1,3,3,1
6,0,2,2,2,0,0,0,2,1,2,3,0,2,0,1,2,2,2,2,0,2,1,0,3,2,1,0,0,1,2,2,1
7,0,5,0,0,0,2,4,2,2,4,3,0,3,1,2,1,0,1,0,0,5,0,1,3,0,3,1,2,2,0,1,0
8,1,1,1,0,1,2,0,1,3,1,1,0,0,1,1,1,0,2,1,0,2,1,0,1,1,3,1,0,2,0,0,1
9,2,2,0,2,2,2,2,2,1,0,2,0,0,2,3,5,2,2,2,2,2,0,2,2,2,2,2,2,0,1,5,3
10,2,0,0,2,1,4,2,1,0,2,3,1,4,1,0,3,0,1,0,0,1,0,1,2,2,0,1,3,3,0,0,0
11,1,4,2,2,2,2,3,1,1,1,4,1,3,0,0,3,2,2,2,1,3,0,2,2,1,2,1,1,0,3,1,3
12,1,1,1,0,4,2,1,1,0,1,3,1,1,0,2,4,0,1,1,0,1,0,0,0,0,0,0,1,1,3,0,1
13,1,1,0,2,0,1,0,1,3,2,2,2,2,3,5,0,0,5,1,0,2,2,0,1,1,1,2,0,1,0,1,0
14,1,0,0,1,2,1,0,1,1,2,2,0,4,1,1,4,0,2,0,2,2,0,2,1,3,1,1,0,1,2,1,3
15,1,1,3,3,3,1,1,3,2,0,2,1,1,2,0,2,0,5,5,0,5,0,0,5,1,1,1,1,3,3,1,1
16,2,4,0,0,0,0,3,3,1,2,3,0,3,3,0,3,2,1,1,0,4,0,4,2,0,4,1,2,0,1,2,1
17,1,0,1,1,1,2,0,3,2,2,2,2,2,3,1,0,3,0,3,2,1,1,0,1,0,2,0,1,2,0,2,1
18,2,1,0,1,0,1,0,2,1,1,1,0,1,1,1,0,0,1,1,1,2,0,2,3,1,0,3,2,1,2,1,1
19,3,2,1,3,2,3,0,1,3,1,3,0,3,2,1,0,0,0,0,3,2,1,0,0,2,3,1,3,3,1,1,2
20,1,1,0,1,0,2,0,1,2,1,1,0,1,0,0,2,1,1,2,0,0,0,1,2,2,0,0,0,2,0,0,2
21,0,2,1,1,1,1,1,1,1,1,5,0,2,0,2,3,1,1,1,1,2,0,0,5,3,2,1,1,0,2,1,1
22,1,1,1,2,0,2,2,2,2,2,4,0,3,1,1,2,1,0,2,1,1,1,1,3,0,4,2,1,2,0,0,1
23,4,2,1,0,0,3,0,1,2,1,6,1,2,3,2,4,1,1,3,2,3,0,2,3,1,2,3,2,1,1,1,6
24,1,1,0,2,1,2,1,2,0,4,2,0,1,3,1,2,2,3,1,1,3,1,2,1,2,1,3,2,4,0,2,1
25,1,2,1,2,0,1,1,0,2,1,2,0,1,0,1,0,0,3,2,1,3,0,0,1,2,1,0,2,0,1,1,2
26,1,2,0,2,1,0,1,2,1,2,2,1,1,2,0,2,0,1,2,2,2,0,2,0,2,2,2,1,2,1,2,1
27,2,4,1,0,1,0,4,2,1,3,1,1,3,2,0,1,2,3,1,0,3,1,1,3,3,1,0,1,1,1,0,1
28,1,0,0,1,1,1,1,2,3,1,1,2,1,3,1,2,2,1,1,1,2,1,1,2,0,1,1,0,2,1,2,1
29,0,0,0,0,1,2,1,4,2,1,3,1,1,0,0,1,1,3,0,2,2,0,1,3,0,1,4,1,3,1,1,0
