,Sp Lisbon scored,Sp Lisbon received,Rio Ave scored,Rio Ave received,Porto scored,Porto received,Estoril scored,Estoril received,Gil Vicente scored,Gil Vicente received,Guimaraes scored,Guimaraes received,Maritimo scored,Maritimo received,Sp Braga scored,Sp Braga received,Benfica scored,Benfica received,Nacional scored,Nacional received,Setubal scored,Setubal received,Belenenses scored,Belenenses received,Arouca scored,Arouca received,Academica scored,Academica received,Pacos Ferreira scored,Pacos Ferreira received,Olhanense scored,Olhanense received
0,5,1,3,0,3,1,3,1,2,0,2,0,2,1,2,0,1,2,1,3,1,3,0,3,1,5,0,2,0,2,0,2
1,4,0,2,0,3,0,2,1,1,2,1,1,0,3,2,1,2,1,1,1,0,2,1,2,1,2,0,4,0,1,1,0
2,1,1,0,1,1,0,1,1,1,0,1,4,1,1,0,1,1,1,3,2,4,1,2,3,1,0,1,1,0,1,1,1
3,2,0,0,1,2,0,2,3,0,2,1,0,4,2,3,2,3,1,0,1,2,4,1,2,1,0,2,1,1,3,0,2
4,1,1,1,1,2,2,2,2,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1
5,2,1,0,3,1,0,2,1,2,2,0,1,3,4,1,2,1,1,3,0,2,2,1,1,0,0,0,0,4,3,1,2
6,4,0,1,0,3,1,1,2,2,1,1,0,0,1,0,3,2,1,3,0,0,4,2,0,1,3,0,1,1,2,0,2
7,1,3,0,1,3,1,3,1,1,0,3,1,1,3,0,1,2,0,0,2,0,0,0,0,0,1,1,0,1,3,1,0
8,3,2,1,0,1,1,0,2,1,0,0,1,2,3,0,1,3,0,0,0,2,0,1,1,0,0,0,3,0,0,0,0
9,1,0,0,2,1,1,2,0,2,3,0,1,3,2,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
10,4,0,1,3,0,1,0,2,0,0,2,0,2,1,4,1,3,1,2,2,2,2,0,0,1,2,1,0,0,4,1,4
11,2,0,1,0,2,0,3,0,0,2,0,0,2,2,0,2,2,2,2,2,1,0,0,0,2,2,0,1,0,3,0,1
12,3,0,1,3,3,1,2,0,0,2,2,0,1,1,2,0,3,2,2,1,0,2,0,3,0,2,1,1,1,2,2,3
13,0,0,0,0,4,0,0,0,0,3,3,0,2,2,2,2,2,0,0,0,0,2,0,0,3,0,0,3,0,0,0,4
14,0,0,1,1,0,2,0,0,0,2,0,3,1,1,3,0,2,0,2,0,1,2,0,2,2,0,4,2,2,4,2,1
15,2,1,1,0,3,0,2,2,0,1,1,0,0,2,1,1,2,0,2,2,0,3,0,1,1,2,1,0,1,1,0,1
16,0,0,0,2,0,1,1,1,1,1,1,2,1,0,1,2,1,1,2,1,2,0,2,1,1,1,0,0,3,1,1,3
17,0,2,1,1,3,0,1,0,1,4,2,3,1,1,4,1,2,0,2,0,3,2,0,2,1,1,0,1,0,3,1,1
18,1,0,0,1,2,1,2,1,1,2,1,0,1,0,1,2,2,0,1,1,0,1,0,0,1,1,0,0,0,2,0,1
19,2,1,1,2,0,1,1,0,1,2,0,1,2,0,2,2,1,0,0,0,4,0,0,2,2,2,0,0,0,4,2,1
20,2,1,1,1,2,2,4,0,1,0,2,2,1,3,1,2,1,0,1,1,0,1,0,1,0,3,3,0,3,1,0,4
21,2,2,0,0,4,1,0,2,2,0,1,2,2,1,2,1,2,0,1,2,2,2,0,0,1,4,0,0,0,2,0,0
22,1,0,2,1,0,1,1,0,1,2,1,2,0,1,1,1,4,2,2,4,3,1,1,3,2,0,1,1,2,1,0,2
23,3,1,1,1,1,0,1,1,0,0,0,0,1,3,1,1,3,0,1,1,1,1,0,1,1,3,0,3,3,1,1,1
24,1,0,1,0,1,2,0,1,1,1,0,1,1,1,0,1,1,0,2,1,0,1,1,1,1,0,2,1,1,1,1,2
25,3,1,0,4,3,1,3,1,0,1,1,3,1,0,2,0,4,0,0,3,3,0,1,0,0,1,1,3,1,3,0,2
26,2,0,1,2,3,1,1,0,0,2,1,3,0,2,1,3,2,0,2,0,1,1,3,1,0,2,1,1,0,1,2,1
27,1,0,0,3,3,0,0,0,0,0,2,3,3,1,1,1,2,0,5,0,1,1,0,1,3,2,1,3,0,5,0,2
28,1,1,0,0,1,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,1
29,0,1,0,1,2,1,1,0,1,0,1,0,1,0,0,1,1,2,0,1,3,1,1,0,0,1,4,2,2,4,1,3
