,Sp Braga scored,Sp Braga received,Belenenses scored,Belenenses received,Guimaraes scored,Guimaraes received,Porto scored,Porto received,Rio Ave scored,Rio Ave received,Benfica scored,Benfica received,Moreirense scored,Moreirense received,Academica scored,Academica received,Arouca scored,Arouca received,Estoril scored,Estoril received,Sp Lisbon scored,Sp Lisbon received,Nacional scored,Nacional received,Penafiel scored,Penafiel received,Gil Vicente scored,Gil Vicente received,Maritimo scored,Maritimo received,Pacos Ferreira scored,Pacos Ferreira received,Setubal scored,Setubal received,Boavista scored,Boavista received
0,3,0,3,1,3,1,2,0,2,0,2,0,1,0,1,1,1,1,1,1,1,1,0,1,1,3,1,3,0,2,0,2,0,2,0,3
1,0,0,3,1,3,0,1,0,5,1,1,0,0,0,1,2,0,1,1,5,1,0,1,3,0,3,0,2,2,1,0,1,2,0,0,1
2,2,1,0,3,3,0,3,0,4,0,1,1,0,3,1,1,0,2,1,2,1,1,2,0,0,1,1,2,2,1,1,0,1,1,0,4
3,0,1,1,1,1,1,1,1,1,1,5,0,1,1,0,1,1,0,2,1,1,1,1,2,0,2,1,1,2,0,1,1,0,5,1,0
4,1,1,1,0,1,1,0,0,1,2,3,1,1,3,2,2,2,1,2,2,4,0,1,1,2,0,0,4,0,1,1,1,0,2,0,0
5,3,0,0,2,0,4,1,1,0,3,3,2,0,0,1,0,0,1,2,3,1,1,0,2,0,0,2,3,4,0,2,0,2,0,3,2
6,1,2,1,1,3,0,2,1,0,0,4,0,0,0,0,0,0,4,1,1,4,0,0,0,0,4,1,1,2,3,3,2,1,1,0,3
7,2,1,2,1,1,0,5,0,3,2,1,2,2,0,0,1,0,5,1,2,4,2,1,0,2,3,0,2,2,4,2,1,0,1,1,2
8,1,1,3,1,3,0,2,0,0,1,1,0,2,1,1,1,1,1,2,1,0,3,0,2,1,2,1,1,1,2,4,1,1,4,1,3
9,2,0,1,0,2,1,2,2,3,0,2,1,0,1,0,3,1,2,2,2,1,1,1,2,0,1,0,2,0,1,1,1,1,0,1,0
10,6,1,0,0,2,1,5,0,0,5,2,0,1,2,0,2,0,0,1,1,3,0,0,0,1,6,0,0,4,0,1,1,0,3,0,4
11,0,0,0,3,0,0,3,0,0,0,3,0,2,0,0,3,0,1,1,0,3,1,3,0,1,0,0,0,0,3,0,2,0,1,1,3
12,1,0,0,1,0,0,0,2,0,0,2,0,1,1,1,1,1,2,0,0,1,1,1,2,2,1,1,1,0,0,2,1,0,1,1,0
13,3,0,0,0,0,1,4,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,3,0,4,0,1
14,1,2,0,0,4,0,5,1,2,1,3,0,1,2,0,0,1,3,0,3,3,0,0,4,0,3,1,5,2,1,1,2,2,1,3,1
15,0,1,0,3,0,3,3,0,0,0,3,0,1,1,2,2,1,0,1,1,1,0,2,1,1,2,2,1,0,0,2,2,0,1,1,2
16,3,1,2,0,4,0,3,1,2,4,4,0,1,0,0,4,0,1,2,1,4,2,3,2,1,3,0,2,0,4,2,3,1,3,1,2
17,0,1,0,0,2,2,0,1,1,4,0,1,2,3,0,1,0,1,1,0,1,0,3,2,0,0,2,2,1,0,1,0,4,1,1,0
18,1,0,1,2,1,1,5,0,2,1,3,0,0,1,1,1,1,3,1,2,3,1,2,1,1,1,1,1,1,1,0,5,1,1,0,3
19,2,0,1,0,0,1,2,0,1,1,1,1,0,2,0,0,3,3,0,2,1,1,3,3,1,2,2,1,1,2,2,1,0,0,1,1
20,2,0,1,1,0,1,1,0,1,1,3,0,1,1,0,0,0,2,0,1,1,1,1,0,3,4,1,0,4,3,0,1,0,3,0,0
21,3,1,2,1,2,2,2,0,0,1,3,1,1,3,2,1,1,0,1,2,2,0,1,3,1,0,0,2,1,2,2,2,0,1,0,2
22,2,0,0,1,1,0,3,0,0,2,6,0,2,1,1,1,1,1,0,6,0,3,3,0,1,2,1,1,0,1,1,0,0,3,1,1
23,0,1,1,1,1,3,1,0,1,1,3,1,0,2,2,0,1,3,1,1,3,2,1,1,2,3,1,1,2,1,1,2,1,1,3,1
24,0,2,2,2,0,1,1,0,2,0,2,0,1,0,2,1,0,1,2,2,1,0,1,2,0,2,0,1,0,1,1,0,1,0,0,1
25,0,0,0,1,1,4,1,1,2,1,1,2,1,1,0,0,3,1,3,3,4,1,1,1,3,3,1,3,1,1,0,0,0,0,1,0
26,2,0,2,0,1,0,5,0,0,0,3,1,0,2,0,0,0,1,0,5,1,1,1,3,2,2,0,2,1,1,1,1,1,1,2,2
27,4,0,1,0,1,2,3,1,1,3,5,1,2,1,1,5,0,1,1,0,2,1,3,2,0,4,2,3,2,0,0,1,1,2,0,2
28,0,1,0,2,1,0,1,0,0,0,2,0,0,0,0,1,2,0,2,1,2,1,1,1,0,2,0,0,1,1,0,0,1,2,1,2
29,1,1,1,1,1,1,0,0,1,1,0,0,1,4,1,2,1,3,1,1,4,1,2,0,0,2,2,1,1,1,3,1,0,0,0,0
30,2,2,1,3,2,0,2,0,3,1,5,0,1,3,0,0,1,1,0,2,2,0,0,2,0,0,0,5,1,1,2,2,0,2,3,1
31,1,3,1,1,2,2,2,0,0,0,4,0,3,1,1,1,0,0,1,1,1,1,2,2,0,4,0,2,3,1,0,0,1,3,0,0
32,1,4,1,1,0,0,1,1,0,4,0,0,1,1,2,3,1,2,1,1,4,1,1,0,2,1,1,2,4,0,3,2,2,1,0,1
33,5,0,2,0,4,2,2,0,0,1,4,1,2,1,2,4,1,2,2,0,1,0,3,0,0,2,0,2,1,4,0,3,0,5,0,2
