,Sp Braga scored,Sp Braga received,Belenenses scored,Belenenses received,Guimaraes scored,Guimaraes received,Porto scored,Porto received,Rio Ave scored,Rio Ave received,Benfica scored,Benfica received,Moreirense scored,Moreirense received,Academica scored,Academica received,Arouca scored,Arouca received,Estoril scored,Estoril received,Sp Lisbon scored,Sp Lisbon received,Nacional scored,Nacional received,Penafiel scored,Penafiel received,Gil Vicente scored,Gil Vicente received,Maritimo scored,Maritimo received,Pacos Ferreira scored,Pacos Ferreira received,Setubal scored,Setubal received,Boavista scored,Boavista received
0,3,0,3,1,3,1,2,0,2,0,2,0,1,0,1,1,1,1,1,1,1,1,0,1,1,3,1,3,0,2,0,2,0,2,0,3
1,3,0,6,2,6,1,3,0,7,1,3,0,1,0,2,3,1,2,2,6,2,1,1,4,1,6,1,5,2,3,0,3,2,2,0,4
2,5,1,6,5,9,1,6,0,11,1,4,1,1,3,3,4,1,4,3,8,3,2,3,4,1,7,2,7,4,4,1,3,3,3,0,8
3,5,2,7,6,10,2,7,1,12,2,9,1,2,4,3,5,2,4,5,9,4,3,4,6,1,9,3,8,6,4,2,4,3,8,1,8
4,6,3,8,6,11,3,7,1,13,4,12,2,3,7,5,7,4,5,7,11,8,3,5,7,3,9,3,12,6,5,3,5,3,10,1,8
5,9,3,8,8,11,7,8,2,13,7,15,4,3,7,6,7,4,6,9,14,9,4,5,9,3,9,5,15,10,5,5,5,5,10,4,10
6,10,5,9,9,14,7,10,3,13,7,19,4,3,7,6,7,4,10,10,15,13,4,5,9,3,13,6,16,12,8,8,7,6,11,4,13
7,12,6,11,10,15,7,15,3,16,9,20,6,5,7,6,8,4,15,11,17,17,6,6,9,5,16,6,18,14,12,10,8,6,12,5,15
8,13,7,14,11,18,7,17,3,16,10,21,6,7,8,7,9,5,16,13,18,17,9,6,11,6,18,7,19,15,14,14,9,7,16,6,18
9,15,7,15,11,20,8,19,5,19,10,23,7,7,9,7,12,6,18,15,20,18,10,7,13,6,19,7,21,15,15,15,10,8,16,7,18
10,21,8,15,11,22,9,24,5,19,15,25,7,8,11,7,14,6,18,16,21,21,10,7,13,7,25,7,21,19,15,16,11,8,19,7,22
11,21,8,15,14,22,9,27,5,19,15,28,7,10,11,7,17,6,19,17,21,24,11,10,13,8,25,7,21,19,18,16,13,8,20,8,25
12,22,8,15,15,22,9,27,7,19,15,30,7,11,12,8,18,7,21,17,21,25,12,11,15,10,26,8,22,19,18,18,14,8,21,9,25
13,25,8,15,15,22,10,31,7,19,15,31,7,12,12,9,19,8,21,18,21,26,12,11,16,11,27,8,23,19,19,18,17,8,25,9,26
14,26,10,15,15,26,10,36,8,21,16,34,7,13,14,9,19,9,24,18,24,29,12,11,20,11,30,9,28,21,20,19,19,10,26,12,27
15,26,11,15,18,26,13,39,8,21,16,37,7,14,15,11,21,10,24,19,25,30,12,13,21,12,32,11,29,21,20,21,21,10,27,13,29
16,29,12,17,18,30,13,42,9,23,20,41,7,15,15,11,25,10,25,21,26,34,14,16,23,13,35,11,31,21,24,23,24,11,30,14,31
17,29,13,17,18,32,15,42,10,24,24,41,8,17,18,11,26,10,26,22,26,35,14,19,25,13,35,13,33,22,24,24,24,15,31,15,31
18,30,13,18,20,33,16,47,10,26,25,44,8,17,19,12,27,11,29,23,28,38,15,21,26,14,36,14,34,23,25,24,29,16,32,15,34
19,32,13,19,20,33,17,49,10,27,26,45,9,17,21,12,27,14,32,23,30,39,16,24,29,15,38,16,35,24,27,26,30,16,32,16,35
20,34,13,20,21,33,18,50,10,28,27,48,9,18,22,12,27,14,34,23,31,40,17,25,29,18,42,17,35,28,30,26,31,16,35,16,35
21,37,14,22,22,35,20,52,10,28,28,51,10,19,25,14,28,15,34,24,33,42,17,26,32,19,42,17,37,29,32,28,33,16,36,16,37
22,39,14,22,23,36,20,55,10,28,30,57,10,21,26,15,29,16,35,24,39,42,20,29,32,20,44,18,38,29,33,29,33,16,39,17,38
23,39,15,23,24,37,23,56,10,29,31,60,11,21,28,17,29,17,38,25,40,45,22,30,33,22,47,19,39,31,34,30,35,17,40,20,39
24,39,17,25,26,37,24,57,10,31,31,62,11,22,28,19,30,17,39,27,42,46,22,31,35,22,49,19,40,31,35,31,35,18,40,20,40
25,39,17,25,27,38,28,58,11,33,32,63,13,23,29,19,30,20,40,30,45,50,23,32,36,25,52,20,43,32,36,31,35,18,40,21,40
26,41,17,27,27,39,28,63,11,33,32,66,14,23,31,19,30,20,41,30,50,51,24,33,39,27,54,20,45,33,37,32,36,19,41,23,42
27,45,17,28,27,40,30,66,12,34,35,71,15,25,32,20,35,20,42,31,50,53,25,36,41,27,58,22,48,35,37,32,37,20,43,23,44
28,45,18,28,29,41,30,67,12,34,35,73,15,25,32,20,36,22,42,33,51,55,26,37,42,27,60,22,48,36,38,32,37,21,45,24,46
29,46,19,29,30,42,31,67,12,35,36,73,15,26,36,21,38,23,45,34,52,59,27,39,42,27,62,24,49,37,39,35,38,21,45,24,46
30,48,21,30,33,44,31,69,12,38,37,78,15,27,39,21,38,24,46,34,54,61,27,39,44,27,62,24,54,38,40,37,40,21,47,27,47
31,49,24,31,34,46,33,71,12,38,37,82,15,30,40,22,39,24,46,35,55,62,28,41,46,27,66,24,56,41,41,37,40,22,50,27,47
32,50,28,32,35,46,33,72,13,38,41,82,15,31,41,24,42,25,48,36,56,66,29,42,46,29,67,25,58,45,41,40,42,24,51,27,48
33,55,28,34,35,50,35,74,13,38,42,86,16,33,42,26,46,26,50,38,56,67,29,45,46,29,69,25,60,46,45,40,45,24,56,27,50
