,Benfica scored,Benfica received,Porto scored,Porto received,Arouca scored,Arouca received,Sp Braga scored,Sp Braga received,Sp Lisbon scored,Sp Lisbon received,Uniao Madeira scored,Uniao Madeira received,Pacos Ferreira scored,Pacos Ferreira received,Belenenses scored,Belenenses received,Rio Ave scored,Rio Ave received,Boavista scored,Boavista received,Setubal scored,Setubal received,Nacional scored,Nacional received,Tondela scored,Tondela received,Maritimo scored,Maritimo received,Academica scored,Academica received,Moreirense scored,Moreirense received,Guimaraes scored,Guimaraes received,Estoril scored,Estoril received
0,4,0,3,0,2,0,2,1,2,1,2,1,1,0,3,3,3,3,2,2,2,2,1,2,1,2,1,2,0,1,0,2,0,3,0,4
1,4,1,4,1,3,0,2,2,3,2,2,2,2,1,4,4,4,3,3,2,6,2,2,2,1,3,2,3,0,5,0,4,1,4,2,4
2,7,3,6,1,4,1,6,2,6,3,2,2,3,2,5,5,6,5,3,6,8,4,2,3,2,3,3,4,1,8,2,7,1,4,2,6
3,13,3,9,2,5,4,6,3,8,4,2,2,4,2,5,11,7,7,3,7,10,9,4,3,2,4,8,6,1,10,2,7,2,4,3,6
4,13,4,10,2,5,4,11,4,9,4,2,2,4,5,7,11,10,7,5,7,12,11,4,4,2,5,9,11,1,12,2,9,4,6,4,6
5,16,4,12,4,7,6,12,4,9,4,3,4,4,8,9,13,11,7,5,7,13,12,5,5,2,6,10,11,1,13,4,11,4,7,6,7
6,16,4,16,4,7,6,12,4,14,5,3,4,7,9,9,17,12,7,5,8,14,12,6,8,3,7,10,12,2,13,5,12,5,12,6,8
7,16,7,16,4,8,7,12,4,17,5,3,5,9,9,10,17,14,9,5,8,16,12,6,8,4,8,10,14,3,14,5,14,6,13,8,10
8,20,7,20,4,8,7,16,4,18,5,3,9,9,10,10,21,15,9,5,9,16,12,6,9,4,12,11,14,4,15,6,15,7,13,8,11
9,22,7,22,4,8,8,17,4,19,5,3,10,9,12,12,22,17,12,5,11,16,14,7,9,5,14,14,16,5,16,8,15,7,14,9,12
10,24,7,23,4,9,9,17,6,20,5,5,12,11,12,12,23,17,13,6,13,18,16,10,10,5,15,15,19,6,17,9,15,9,15,9,14
11,27,7,25,5,12,11,17,6,21,5,7,12,12,14,12,26,18,16,8,16,21,16,11,11,5,17,15,20,6,20,9,15,12,16,10,15
12,31,9,27,6,13,14,18,6,24,6,7,18,18,14,15,30,21,17,9,17,23,20,12,13,5,18,19,23,10,23,10,18,15,20,11,16
13,34,10,30,7,17,15,19,7,24,7,8,18,19,15,16,30,22,20,9,18,26,21,12,15,6,21,20,27,11,26,12,18,16,20,11,17
14,35,10,30,9,19,17,20,8,26,7,9,21,21,17,18,32,24,23,9,21,27,22,14,17,9,23,21,28,14,27,15,18,16,21,12,18
15,41,10,31,10,20,17,23,8,32,7,10,21,23,17,20,34,25,24,9,22,27,28,16,19,9,25,21,34,14,30,18,22,20,24,12,19
16,45,11,36,10,22,19,25,11,35,9,10,22,25,18,20,36,26,24,9,27,28,30,17,23,10,27,26,35,16,31,19,27,22,26,14,19
17,47,12,36,11,23,21,28,13,37,11,11,22,26,19,22,37,27,26,13,27,28,34,19,26,12,29,26,36,17,32,21,28,23,26,15,21
18,50,13,37,11,24,24,33,14,40,12,14,22,27,22,25,40,28,31,15,28,30,35,19,29,13,31,26,37,18,34,22,31,26,29,18,22
19,54,14,40,12,26,26,33,14,43,14,15,25,29,24,27,41,30,32,15,28,31,37,22,30,14,34,27,39,20,37,23,35,29,30,19,25
20,59,14,41,14,28,27,35,14,43,14,15,26,29,25,27,46,30,32,16,28,32,38,24,32,15,35,28,40,22,39,24,35,30,31,19,27
21,60,16,43,15,31,27,38,15,47,14,15,29,30,26,30,48,31,33,16,28,34,40,24,36,16,37,29,43,22,39,26,38,32,33,21,28
22,63,17,46,17,33,27,41,18,49,14,16,30,31,29,30,50,33,33,16,30,35,41,25,37,19,41,33,46,22,41,28,41,35,36,22,29
23,65,17,48,18,33,27,41,18,49,14,16,32,31,32,31,52,35,34,17,32,35,44,28,37,21,42,34,46,22,42,29,43,35,36,25,29
24,66,17,49,21,34,27,44,19,49,15,16,32,33,34,31,52,36,37,17,33,35,45,29,37,21,43,36,48,24,42,30,43,35,38,28,30
25,70,18,52,23,35,27,44,22,51,16,18,35,34,34,34,52,36,38,20,33,35,46,30,37,22,47,36,51,26,44,32,45,35,39,29,32
26,71,18,53,23,36,32,46,22,56,17,18,37,34,34,36,54,37,38,20,34,35,47,33,39,24,49,36,52,26,47,32,45,37,42,32,32
27,76,19,53,24,39,34,47,27,61,19,20,39,34,35,38,59,38,38,21,35,37,49,33,41,25,49,38,52,28,50,32,46,38,43,33,32
28,78,20,53,25,39,34,48,28,64,20,20,40,35,35,39,59,40,38,21,35,37,50,37,42,26,49,39,55,29,52,33,47,38,45,34,36
29,80,21,57,25,39,34,51,28,65,20,23,44,39,38,40,60,40,38,21,36,38,52,37,46,26,52,42,55,30,53,33,48,38,48,35,36
30,81,21,59,26,41,35,51,29,67,20,23,46,40,38,40,61,40,39,22,36,38,53,37,47,27,52,43,57,31,55,34,48,39,49,36,37
31,82,21,60,29,44,35,54,31,70,21,26,47,42,38,40,63,41,40,23,37,40,56,37,50,28,53,44,59,32,58,35,49,39,50,38,38
32,84,21,63,30,45,36,54,31,75,21,26,48,43,42,42,65,42,43,24,37,40,61,39,52,32,54,44,61,32,58,36,53,43,51,39,39
33,88,22,67,30,47,38,54,35,79,21,27,50,43,42,44,66,44,44,24,41,40,61,40,56,34,54,45,63,32,60,38,54,45,53,40,41
