,Porto scored,Porto received,Benfica scored,Benfica received,Sp Lisbon scored,Sp Lisbon received,Guimaraes scored,Guimaraes received,Portimonense scored,Portimonense received,Maritimo scored,Maritimo received,Rio Ave scored,Rio Ave received,Feirense scored,Feirense received,Tondela scored,Tondela received,Setubal scored,Setubal received,Moreirense scored,Moreirense received,Chaves scored,Chaves received,Boavista scored,Boavista received,Belenenses scored,Belenenses received,Pacos Ferreira scored,Pacos Ferreira received,Sp Braga scored,Sp Braga received,Aves scored,Aves received,Estoril scored,Estoril received
0,4,0,3,1,2,0,3,2,2,1,1,0,1,0,1,1,1,1,1,1,1,1,2,3,1,2,0,1,0,1,1,3,0,2,0,4
1,5,0,4,1,3,0,3,5,3,3,1,1,3,1,1,1,1,2,1,2,1,1,2,4,2,4,1,1,2,3,3,4,2,4,3,4
2,8,0,9,1,8,0,3,10,3,5,2,1,5,1,3,2,3,5,2,3,1,4,3,5,2,5,1,6,3,5,5,4,2,6,6,6
3,9,0,10,2,10,1,3,10,4,7,4,2,6,2,5,2,6,5,3,4,1,7,3,7,3,5,2,7,3,5,5,5,2,7,7,8
4,12,0,12,3,13,3,4,10,5,9,5,2,6,3,7,5,8,7,5,4,3,7,3,10,3,6,3,9,5,7,5,7,4,8,7,10
5,14,1,13,5,15,3,5,12,7,10,7,3,7,5,8,7,8,9,5,5,3,10,6,10,5,7,5,10,6,7,7,8,5,10,8,12
6,19,3,15,5,16,4,7,13,9,15,8,5,7,5,9,11,9,11,6,6,4,11,8,10,6,8,9,11,6,9,9,9,5,10,8,14
7,19,3,16,6,16,4,7,14,11,17,9,6,9,6,9,12,10,12,7,8,6,14,9,11,7,8,10,11,9,11,15,9,7,12,8,20
8,25,4,19,7,21,5,10,17,14,20,10,9,9,7,10,12,12,12,10,9,6,15,10,16,10,8,10,13,10,17,16,9,8,15,8,23
9,28,4,20,7,22,5,13,18,19,22,12,9,9,8,10,13,12,14,12,14,6,18,10,17,10,11,13,13,11,17,17,9,9,18,8,24
10,30,4,23,8,24,7,14,21,20,23,13,9,11,8,10,14,15,16,12,15,7,19,14,19,12,14,13,15,13,21,19,11,10,18,8,26
11,31,5,29,8,26,8,15,21,22,23,13,9,11,9,11,17,15,18,12,21,7,20,15,19,13,14,13,16,14,23,22,12,11,19,8,26
12,31,5,29,8,27,8,17,22,22,23,14,10,14,10,11,18,16,21,13,23,8,21,15,19,13,14,13,17,14,26,25,12,12,19,8,26
13,36,5,32,9,30,9,18,22,22,24,15,10,16,11,11,19,17,21,13,28,9,23,16,19,14,17,14,18,15,27,25,13,12,20,9,29
14,39,6,37,10,32,9,19,24,22,26,16,13,17,12,12,19,18,26,13,29,11,24,17,20,16,18,14,22,16,29,29,13,14,23,12,31
15,41,7,38,11,33,10,19,25,22,26,17,15,21,14,13,21,19,26,15,31,13,25,19,21,17,21,14,22,18,33,32,14,15,25,14,33
16,45,9,40,11,38,10,21,29,23,27,17,20,22,16,15,21,20,27,16,32,13,27,20,22,18,22,15,23,19,34,34,15,16,26,14,35
17,48,10,43,12,41,10,24,33,23,29,17,20,24,17,16,24,23,28,18,34,15,29,24,25,20,22,16,25,19,34,35,18,16,29,15,38
18,49,10,46,12,42,11,27,34,24,31,17,20,26,17,17,24,23,29,19,35,15,30,24,28,20,24,16,25,21,34,37,19,16,31,16,41
19,49,10,47,13,43,11,27,35,28,32,18,22,27,21,18,26,23,32,21,37,15,30,26,30,22,25,17,26,23,35,39,19,16,33,19,41
20,52,11,52,14,43,13,30,37,31,32,18,25,28,26,19,28,24,34,24,37,17,31,28,31,22,28,17,29,25,38,40,22,19,33,21,41
21,56,11,55,15,45,13,30,38,32,35,18,28,31,26,19,30,26,34,25,40,18,33,28,35,23,28,19,34,25,40,43,23,24,35,23,42
22,61,11,59,15,47,14,30,43,35,36,18,28,31,31,20,33,27,36,26,40,18,34,29,35,23,32,21,34,25,41,48,23,24,35,23,44
23,66,12,62,16,48,14,32,46,36,41,21,30,31,31,20,34,27,37,26,44,18,35,31,35,27,32,22,34,26,44,49,23,24,35,23,46
24,68,13,67,16,49,16,32,46,36,44,21,35,31,32,23,34,29,37,27,44,20,35,31,37,27,35,22,34,26,46,55,23,27,35,23,52
25,68,14,69,16,51,17,33,48,38,45,25,37,33,33,24,36,29,37,29,48,20,38,32,39,28,35,22,34,27,46,58,23,27,37,23,53
26,70,14,71,16,53,17,35,49,39,46,27,38,33,35,24,38,30,39,30,49,22,39,33,43,28,37,23,36,28,47,62,24,28,39,24,54
27,70,16,73,16,53,18,35,51,43,49,31,39,35,35,25,42,31,40,34,50,25,43,33,45,29,38,25,36,30,47,63,24,29,43,24,56
28,72,16,75,17,55,18,38,51,45,51,32,40,35,38,27,44,33,42,35,52,26,43,34,46,29,39,26,37,30,49,65,26,29,45,25,57
29,73,16,75,18,59,21,39,52,45,52,33,41,36,39,27,45,34,43,36,53,27,44,37,49,32,42,29,41,31,54,70,27,30,45,26,57
30,78,17,77,19,60,21,40,54,46,54,33,43,37,41,29,46,37,43,37,58,29,45,39,50,32,43,30,42,32,55,72,27,30,48,27,59
31,79,17,79,22,62,22,41,54,47,56,33,44,39,42,31,46,40,45,37,60,29,46,40,52,33,43,30,43,32,56,73,27,31,48,27,60
32,81,18,79,22,62,22,45,55,49,59,34,48,39,42,32,48,41,49,38,62,29,49,44,53,34,44,33,45,32,56,74,28,34,48,29,61
33,82,18,80,22,63,24,45,56,52,60,36,49,40,42,32,48,41,50,39,62,29,50,47,55,35,44,33,46,33,59,74,29,36,51,29,61
