,Porto scored,Porto received,Sp Braga scored,Sp Braga received,Sp Lisbon scored,Sp Lisbon received,Boavista scored,Boavista received,Feirense scored,Feirense received,Setubal scored,Setubal received,Benfica scored,Benfica received,Maritimo scored,Maritimo received,Belenenses scored,Belenenses received,Guimaraes scored,Guimaraes received,Santa Clara scored,Santa Clara received,Tondela scored,Tondela received,Nacional scored,Nacional received,Moreirense scored,Moreirense received,Aves scored,Aves received,Portimonense scored,Portimonense received,Rio Ave scored,Rio Ave received,Chaves scored,Chaves received
0,5,0,4,2,3,1,2,0,2,0,2,0,3,2,1,0,1,0,2,3,0,1,0,1,2,4,1,3,0,2,0,2,0,2,0,5
1,3,2,3,3,2,1,0,2,1,0,1,2,2,0,1,3,2,3,0,1,3,3,2,2,1,2,2,1,2,2,0,2,3,1,2,0
2,2,3,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,2,2,1,1,2,1,1,1,1,3,2,2,1,1,1,2
3,3,0,1,0,1,0,2,4,0,1,0,0,4,0,1,0,0,0,1,0,4,2,0,1,0,4,0,3,0,1,1,2,2,1,0,1
4,2,0,1,0,0,1,1,2,0,0,0,2,2,0,0,0,0,0,2,3,1,3,2,0,0,0,0,2,0,2,3,2,3,1,2,1
5,1,0,3,0,2,0,1,2,0,1,1,1,2,2,0,2,0,3,1,1,3,0,0,1,0,3,1,0,3,0,0,3,2,1,2,2
6,0,1,1,1,2,4,1,0,0,0,3,0,1,0,1,3,0,0,3,1,1,0,1,1,1,1,0,3,0,1,4,2,1,1,0,1
7,2,0,1,1,3,0,0,3,0,2,2,1,0,2,0,1,2,0,1,1,2,1,1,2,0,1,1,0,1,2,1,0,1,0,0,1
8,2,0,2,1,2,1,0,0,2,4,1,2,1,3,0,2,1,1,0,0,1,2,4,2,3,3,3,1,2,1,1,1,3,3,1,2
9,1,0,0,1,2,1,0,0,1,2,2,1,3,1,0,1,0,0,2,0,0,2,1,3,1,0,2,0,2,1,0,2,1,2,1,2
10,1,0,2,0,3,1,0,1,0,4,1,0,4,0,0,1,3,2,1,0,2,3,2,3,3,2,0,2,2,3,3,2,1,3,0,1
11,4,1,1,0,4,1,0,0,1,1,0,1,1,0,1,1,1,0,3,2,1,0,0,1,0,0,0,1,1,4,1,4,2,3,0,1
12,2,1,4,0,5,2,2,0,0,4,1,3,1,0,0,1,2,2,1,1,1,2,0,2,2,5,2,1,1,1,3,1,2,2,1,2
13,2,1,2,6,0,1,1,2,0,1,0,2,6,2,1,2,5,2,1,0,2,0,2,1,2,0,2,1,2,5,1,0,1,2,0,2
14,1,0,2,0,2,1,1,0,0,0,0,1,0,2,0,2,1,2,0,1,1,2,2,1,1,0,2,1,0,1,2,0,1,2,0,0
15,3,1,1,0,1,2,0,1,2,2,0,0,4,2,2,1,1,0,0,1,2,2,2,1,1,3,1,0,0,1,1,2,2,4,0,0
16,0,0,1,1,0,0,0,1,1,1,1,1,2,0,1,0,1,0,1,0,0,2,1,2,0,1,0,1,1,1,1,1,1,1,2,1
17,4,1,3,0,2,1,0,2,0,0,1,2,1,0,1,0,2,2,0,1,0,1,2,2,0,3,1,2,2,1,2,0,0,0,1,4
18,3,0,1,0,1,1,1,5,1,2,1,1,5,1,0,2,0,3,2,1,0,1,0,2,1,2,2,1,2,0,0,1,2,0,1,0
19,0,0,2,0,2,4,2,0,0,2,0,0,4,2,0,1,0,1,0,0,2,1,2,2,0,0,1,0,0,2,1,2,2,2,1,0
20,1,1,2,1,3,1,1,0,1,3,0,0,10,0,0,1,0,0,0,1,0,1,1,0,0,10,1,1,1,0,0,1,1,0,1,2
21,2,0,0,3,3,0,1,1,0,4,0,2,3,0,1,0,0,1,2,0,2,1,0,2,4,0,2,0,0,3,0,2,1,2,1,1
22,3,0,0,2,0,0,1,0,1,3,1,1,4,0,0,0,2,0,1,1,2,0,0,3,0,2,3,1,1,1,1,1,0,1,0,4
23,1,2,2,1,3,1,0,2,0,4,1,1,2,1,0,1,4,0,1,0,0,0,2,3,3,2,1,1,2,0,1,3,1,2,0,0
24,2,1,1,0,2,1,1,2,1,2,0,0,2,2,3,2,2,2,0,1,0,0,0,0,1,5,2,3,0,0,5,1,1,1,1,1
25,3,0,1,0,1,0,1,3,1,1,0,1,4,0,0,3,2,2,3,1,0,1,1,1,0,1,0,4,0,1,2,2,1,0,1,0
26,3,2,2,3,3,1,2,0,0,1,1,0,1,0,3,2,0,2,0,1,1,0,0,1,2,3,2,0,2,0,0,2,0,2,1,3
27,2,0,0,1,3,0,0,2,1,4,1,0,4,1,0,1,1,1,4,0,1,1,3,2,0,0,1,0,0,0,2,3,0,3,0,4
28,3,0,3,0,3,1,1,0,0,2,2,4,4,2,2,0,2,2,1,2,1,1,0,3,0,1,1,1,1,3,0,3,2,1,2,2
29,1,0,2,0,1,0,0,1,0,2,1,1,6,0,0,6,1,3,0,2,0,1,1,0,0,1,0,1,2,0,1,1,3,1,1,0
30,2,2,1,4,2,0,3,1,0,1,0,0,4,1,2,0,0,3,0,2,0,0,0,2,1,4,1,3,3,0,1,0,2,2,4,1
31,4,0,0,1,8,1,3,0,4,4,0,3,5,1,1,0,1,8,2,2,3,1,1,3,2,2,1,2,0,4,1,5,2,1,4,4
32,4,0,2,4,1,1,4,2,4,4,2,1,3,2,2,3,1,5,5,1,4,4,1,1,0,4,1,0,0,1,3,2,2,3,1,2
33,2,1,2,0,1,2,1,0,2,1,1,3,4,1,0,1,3,0,3,1,1,4,5,2,0,3,1,3,1,2,0,2,3,1,2,5
