,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Porto,Sp Braga,Sp Lisbon,Boavista,Feirense,Setubal,Benfica,Maritimo,Belenenses,Guimaraes,Santa Clara,Tondela,Nacional,Moreirense,Aves,Portimonense,Rio Ave,Chaves
1,Porto,Benfica,Sp Lisbon,Feirense,Sp Braga,Setubal,Belenenses,Rio Ave,Boavista,Moreirense,Maritimo,Chaves,Santa Clara,Tondela,Aves,Guimaraes,Nacional,Portimonense
2,Sp Braga,Benfica,Sp Lisbon,Feirense,Porto,Maritimo,Belenenses,Rio Ave,Boavista,Moreirense,Setubal,Guimaraes,Nacional,Chaves,Santa Clara,Tondela,Aves,Portimonense
3,Benfica,Sp Braga,Sp Lisbon,Porto,Maritimo,Feirense,Rio Ave,Guimaraes,Santa Clara,Belenenses,Setubal,Boavista,Moreirense,Chaves,Nacional,Tondela,Aves,Portimonense
4,Benfica,Sp Braga,Porto,Rio Ave,Sp Lisbon,Maritimo,Feirense,Belenenses,Guimaraes,Chaves,Tondela,Santa Clara,Setubal,Boavista,Portimonense,Nacional,Moreirense,Aves
5,Sp Braga,Porto,Benfica,Sp Lisbon,Rio Ave,Maritimo,Santa Clara,Feirense,Guimaraes,Chaves,Moreirense,Belenenses,Tondela,Setubal,Boavista,Aves,Portimonense,Nacional
6,Benfica,Sp Braga,Porto,Rio Ave,Sp Lisbon,Santa Clara,Guimaraes,Maritimo,Feirense,Setubal,Boavista,Belenenses,Portimonense,Chaves,Moreirense,Tondela,Nacional,Aves
7,Porto,Sp Braga,Benfica,Rio Ave,Sp Lisbon,Santa Clara,Setubal,Guimaraes,Belenenses,Portimonense,Maritimo,Moreirense,Feirense,Boavista,Chaves,Tondela,Nacional,Aves
8,Porto,Sp Braga,Sp Lisbon,Rio Ave,Benfica,Santa Clara,Moreirense,Guimaraes,Setubal,Belenenses,Portimonense,Maritimo,Tondela,Feirense,Boavista,Aves,Chaves,Nacional
9,Porto,Sp Lisbon,Sp Braga,Benfica,Rio Ave,Moreirense,Guimaraes,Setubal,Santa Clara,Belenenses,Portimonense,Aves,Maritimo,Tondela,Feirense,Boavista,Nacional,Chaves
10,Porto,Sp Lisbon,Sp Braga,Benfica,Guimaraes,Rio Ave,Setubal,Moreirense,Belenenses,Santa Clara,Portimonense,Nacional,Aves,Maritimo,Tondela,Boavista,Feirense,Chaves
11,Porto,Sp Lisbon,Sp Braga,Benfica,Guimaraes,Rio Ave,Belenenses,Setubal,Santa Clara,Moreirense,Portimonense,Nacional,Maritimo,Boavista,Aves,Feirense,Tondela,Chaves
12,Porto,Sp Lisbon,Sp Braga,Benfica,Guimaraes,Rio Ave,Belenenses,Moreirense,Santa Clara,Setubal,Portimonense,Boavista,Nacional,Aves,Maritimo,Feirense,Tondela,Chaves
13,Porto,Benfica,Sp Lisbon,Sp Braga,Guimaraes,Belenenses,Moreirense,Santa Clara,Portimonense,Rio Ave,Setubal,Nacional,Boavista,Tondela,Maritimo,Aves,Feirense,Chaves
14,Porto,Sp Lisbon,Sp Braga,Benfica,Guimaraes,Moreirense,Portimonense,Belenenses,Santa Clara,Rio Ave,Nacional,Setubal,Boavista,Tondela,Aves,Maritimo,Feirense,Chaves
15,Porto,Sp Braga,Benfica,Sp Lisbon,Moreirense,Guimaraes,Belenenses,Portimonense,Santa Clara,Rio Ave,Nacional,Tondela,Setubal,Boavista,Maritimo,Feirense,Aves,Chaves
16,Porto,Benfica,Sp Braga,Sp Lisbon,Guimaraes,Belenenses,Moreirense,Portimonense,Santa Clara,Rio Ave,Setubal,Nacional,Tondela,Maritimo,Boavista,Feirense,Chaves,Aves
17,Porto,Benfica,Sp Braga,Sp Lisbon,Belenenses,Guimaraes,Moreirense,Portimonense,Santa Clara,Rio Ave,Maritimo,Tondela,Setubal,Nacional,Boavista,Aves,Feirense,Chaves
18,Porto,Benfica,Sp Braga,Sp Lisbon,Guimaraes,Moreirense,Belenenses,Portimonense,Rio Ave,Santa Clara,Setubal,Maritimo,Tondela,Nacional,Aves,Boavista,Chaves,Feirense
19,Porto,Benfica,Sp Braga,Sp Lisbon,Moreirense,Guimaraes,Belenenses,Portimonense,Rio Ave,Santa Clara,Setubal,Tondela,Maritimo,Nacional,Boavista,Aves,Chaves,Feirense
20,Porto,Benfica,Sp Braga,Sp Lisbon,Moreirense,Guimaraes,Belenenses,Rio Ave,Portimonense,Santa Clara,Tondela,Setubal,Boavista,Aves,Maritimo,Nacional,Chaves,Feirense
21,Porto,Benfica,Sp Braga,Sp Lisbon,Moreirense,Guimaraes,Belenenses,Rio Ave,Santa Clara,Portimonense,Tondela,Boavista,Maritimo,Nacional,Setubal,Aves,Chaves,Feirense
22,Porto,Benfica,Sp Braga,Sp Lisbon,Moreirense,Guimaraes,Belenenses,Santa Clara,Rio Ave,Portimonense,Boavista,Maritimo,Setubal,Tondela,Nacional,Aves,Chaves,Feirense
23,Benfica,Porto,Sp Braga,Sp Lisbon,Moreirense,Guimaraes,Belenenses,Santa Clara,Rio Ave,Portimonense,Boavista,Nacional,Aves,Setubal,Maritimo,Tondela,Chaves,Feirense
24,Benfica,Porto,Sp Braga,Sp Lisbon,Moreirense,Guimaraes,Belenenses,Santa Clara,Portimonense,Rio Ave,Maritimo,Aves,Boavista,Nacional,Setubal,Tondela,Chaves,Feirense
25,Benfica,Porto,Sp Braga,Sp Lisbon,Guimaraes,Moreirense,Belenenses,Santa Clara,Rio Ave,Portimonense,Maritimo,Aves,Boavista,Nacional,Setubal,Tondela,Chaves,Feirense
26,Benfica,Porto,Sp Lisbon,Sp Braga,Moreirense,Guimaraes,Belenenses,Santa Clara,Rio Ave,Portimonense,Maritimo,Aves,Boavista,Setubal,Nacional,Tondela,Chaves,Feirense
27,Benfica,Porto,Sp Lisbon,Sp Braga,Moreirense,Guimaraes,Belenenses,Santa Clara,Rio Ave,Portimonense,Setubal,Aves,Maritimo,Boavista,Tondela,Nacional,Chaves,Feirense
28,Benfica,Porto,Sp Lisbon,Sp Braga,Moreirense,Guimaraes,Belenenses,Santa Clara,Rio Ave,Maritimo,Portimonense,Boavista,Setubal,Aves,Tondela,Nacional,Chaves,Feirense
29,Benfica,Porto,Sp Lisbon,Sp Braga,Moreirense,Guimaraes,Belenenses,Rio Ave,Santa Clara,Portimonense,Aves,Maritimo,Setubal,Boavista,Tondela,Chaves,Nacional,Feirense
30,Benfica,Porto,Sp Lisbon,Sp Braga,Moreirense,Guimaraes,Belenenses,Rio Ave,Santa Clara,Aves,Portimonense,Maritimo,Boavista,Setubal,Tondela,Chaves,Nacional,Feirense
31,Benfica,Porto,Sp Lisbon,Sp Braga,Moreirense,Guimaraes,Rio Ave,Santa Clara,Belenenses,Maritimo,Boavista,Aves,Portimonense,Setubal,Chaves,Tondela,Nacional,Feirense
32,Benfica,Porto,Sp Lisbon,Sp Braga,Moreirense,Guimaraes,Santa Clara,Rio Ave,Boavista,Belenenses,Portimonense,Maritimo,Setubal,Aves,Tondela,Chaves,Nacional,Feirense
33,Benfica,Porto,Sp Lisbon,Sp Braga,Guimaraes,Moreirense,Rio Ave,Boavista,Belenenses,Santa Clara,Portimonense,Maritimo,Setubal,Aves,Tondela,Chaves,Nacional,Feirense
