,Benfica scored,Benfica received,Sp Braga scored,Sp Braga received,Famalicao scored,Famalicao received,Gil Vicente scored,Gil Vicente received,Boavista scored,Boavista received,Rio Ave scored,Rio Ave received,Sp Lisbon scored,Sp Lisbon received,Guimaraes scored,Guimaraes received,Tondela scored,Tondela received,Belenenses scored,Belenenses received,Portimonense scored,Portimonense received,Setubal scored,Setubal received,Maritimo scored,Maritimo received,Aves scored,Aves received,Porto scored,Porto received,Moreirense scored,Moreirense received,Santa Clara scored,Santa Clara received,Pacos Ferreira scored,Pacos Ferreira received
0,5,0,3,1,2,0,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,3,0,2,0,5
1,2,0,1,2,1,0,0,3,1,1,0,1,2,1,1,1,1,2,0,2,2,1,0,4,1,3,3,1,4,0,3,0,1,0,0,1
2,0,2,1,1,1,1,1,1,1,1,5,1,3,1,1,1,3,2,0,0,1,3,0,0,2,3,1,5,2,0,0,0,0,0,1,1
3,4,0,0,4,3,2,0,0,1,0,3,2,2,3,0,3,0,0,0,1,0,1,0,0,1,0,2,3,3,0,1,0,0,0,0,1
4,2,0,0,1,4,2,0,2,1,1,2,4,1,1,5,1,4,2,3,1,2,3,1,0,1,3,1,5,3,2,0,2,2,0,2,4
5,2,1,2,2,2,1,0,0,0,0,2,0,1,2,3,1,1,3,0,2,0,0,0,0,2,2,1,2,2,0,1,2,0,2,2,1
6,1,0,1,0,3,1,0,1,0,0,0,1,1,0,1,0,0,0,1,3,0,1,0,1,2,1,0,1,1,0,1,2,1,0,0,1
7,1,0,2,0,0,3,1,1,1,1,0,0,3,1,1,3,0,1,3,2,1,1,0,0,0,0,2,3,3,0,1,1,0,2,0,0
8,4,0,0,2,2,1,1,2,2,0,1,1,2,1,5,0,1,0,0,5,0,4,1,1,1,1,0,1,1,1,1,1,1,1,1,2
9,2,0,2,2,2,2,2,0,0,1,0,2,0,1,1,1,1,0,1,0,1,1,1,0,0,2,0,1,1,0,1,1,1,1,0,1
10,2,1,2,0,3,3,2,1,0,1,1,0,2,0,0,2,0,1,0,2,1,1,0,1,1,1,1,2,1,0,3,3,1,2,1,0
11,4,0,2,0,1,2,3,1,2,1,0,2,1,3,1,1,0,1,1,0,2,1,1,1,0,4,2,3,2,0,3,2,1,2,0,2
12,4,1,0,1,2,3,0,1,1,4,1,0,1,0,2,0,3,2,1,1,0,2,3,2,2,2,1,0,1,1,0,1,2,2,2,3
13,4,0,0,1,0,4,2,2,0,1,1,1,4,0,2,2,0,3,1,2,1,1,1,0,1,0,0,1,3,0,2,1,0,4,1,0
14,1,0,7,1,3,0,1,1,1,1,0,1,1,2,0,1,1,1,1,7,1,1,0,3,1,0,0,1,2,1,0,1,1,0,1,0
15,2,1,2,1,1,0,2,0,0,1,1,0,3,1,0,0,1,2,0,2,0,0,1,3,0,0,1,2,4,2,2,4,0,1,0,0
16,2,0,2,1,1,1,0,0,0,2,2,0,0,2,1,0,1,1,0,1,0,3,1,0,1,1,3,0,1,2,1,1,0,1,0,0
17,2,0,2,1,0,1,1,2,1,0,2,1,1,0,1,2,0,3,2,1,1,2,3,0,0,1,0,1,2,1,1,2,1,0,0,2
18,3,2,1,0,2,2,1,5,2,0,2,2,0,1,0,2,1,0,2,3,0,1,0,4,1,2,2,1,4,0,5,1,2,1,1,2
19,2,3,2,2,0,7,2,2,1,0,4,0,2,1,7,0,0,0,0,2,1,2,1,1,0,0,0,4,3,2,1,1,2,0,0,1
20,0,1,1,0,1,1,2,1,1,2,1,1,1,1,1,2,0,1,2,1,1,1,1,2,3,0,1,1,2,1,1,1,1,0,0,3
21,1,0,3,1,1,2,0,1,0,2,2,1,2,0,2,0,1,2,1,0,0,1,1,3,0,1,0,2,1,0,2,1,1,2,2,1
22,1,1,2,1,3,1,1,0,0,1,0,0,1,3,2,0,0,2,0,0,0,0,0,0,1,2,1,3,2,0,1,1,0,2,3,1
23,1,1,3,1,0,0,1,1,1,1,1,1,2,0,2,1,1,1,0,0,1,3,1,1,0,2,0,2,1,1,2,0,1,1,1,2
24,0,0,2,3,2,1,0,1,0,1,2,3,2,2,2,2,0,0,2,0,1,0,1,1,1,1,0,2,1,2,1,0,3,2,3,2
25,2,2,0,1,3,1,1,3,1,0,1,0,1,0,1,1,2,0,1,1,2,2,2,2,0,1,0,2,1,0,0,1,2,2,0,1
26,2,1,0,0,0,0,1,2,3,1,1,2,2,0,1,1,0,2,1,2,1,1,1,3,2,1,0,0,0,0,1,1,1,1,2,1
27,3,4,3,2,1,1,3,0,0,4,2,1,3,1,2,3,1,3,1,3,3,2,1,2,2,3,0,3,4,0,1,1,4,3,3,1
28,0,2,3,4,0,1,1,2,1,0,4,3,2,1,2,0,1,1,1,1,1,0,0,2,2,0,0,1,1,0,1,0,0,1,0,1
29,3,1,4,0,1,0,1,0,1,3,0,1,0,0,1,0,0,1,0,5,0,1,2,3,1,0,0,4,5,0,0,0,0,1,3,2
30,1,1,5,1,1,1,2,1,0,1,2,1,1,0,1,2,1,3,0,1,1,2,0,1,1,0,1,0,3,1,1,0,0,1,1,5
31,2,0,1,1,2,1,3,2,1,2,0,0,0,2,0,2,2,3,1,1,2,1,1,2,0,0,0,3,2,0,1,1,3,0,1,1
32,4,0,0,1,2,2,0,1,2,2,2,2,0,0,1,0,1,0,1,0,1,2,0,0,0,1,0,4,6,1,1,6,2,2,2,1
33,2,1,2,1,3,3,3,3,0,2,2,0,1,2,2,2,2,1,0,2,2,0,2,0,3,3,0,2,1,2,1,2,2,2,3,3
