,Rio Ave scored,Rio Ave received,Sp Lisbon scored,Sp Lisbon received,Nacional scored,Nacional received,Porto scored,Porto received,Gil Vicente scored,Gil Vicente received,Sp Braga scored,Sp Braga received,Naval scored,Naval received,Academica scored,Academica received,Boavista scored,Boavista received,Benfica scored,Benfica received,Setubal scored,Setubal received,Maritimo scored,Maritimo received,Est Amadora scored,Est Amadora received,Pacos Ferreira scored,Pacos Ferreira received,Leiria scored,Leiria received,Penafiel scored,Penafiel received,Guimaraes scored,Guimaraes received,Belenenses scored,Belenenses received
0,2,0,2,1,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,1,2
1,3,1,2,1,2,2,3,2,2,0,1,0,2,3,2,2,1,1,0,2,0,1,1,2,1,1,1,0,1,3,0,1,1,3,3,1
2,0,3,2,1,1,0,3,0,0,1,2,0,1,2,0,1,4,1,1,2,1,0,0,0,2,1,1,4,0,0,0,3,0,2,3,0
3,2,1,1,2,2,1,0,0,0,1,0,0,2,2,1,2,2,2,4,0,1,0,2,2,1,2,2,1,0,4,2,2,1,3,3,1
4,0,1,1,0,0,0,2,0,2,0,0,0,1,0,1,2,2,1,3,1,0,1,0,1,0,0,0,2,0,0,1,3,1,0,0,2
5,1,1,0,3,2,0,2,2,0,2,1,0,0,1,2,0,1,1,2,1,2,0,2,2,2,0,3,0,0,2,0,2,1,2,0,2
6,1,2,0,1,0,0,0,2,0,2,2,1,2,1,1,0,2,0,2,0,1,0,2,2,2,2,0,3,3,0,0,1,0,0,1,2
7,2,1,2,2,0,1,1,0,2,2,1,0,1,2,1,3,0,1,2,0,0,1,2,1,0,2,2,2,3,1,2,2,1,0,1,2
8,2,2,2,2,2,0,0,0,0,3,2,0,1,1,0,1,2,2,1,1,0,0,2,2,0,2,2,0,3,0,1,0,0,2,0,2
9,2,2,2,1,2,0,1,0,2,2,0,1,0,2,1,0,1,1,2,2,1,0,1,0,0,1,0,1,1,2,2,2,0,1,1,1
10,0,2,1,0,2,0,5,1,0,2,3,2,0,3,1,5,2,0,2,3,3,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1
11,0,1,2,0,1,0,1,0,0,1,0,1,1,3,1,0,1,1,0,0,1,0,1,1,0,1,3,1,1,1,1,1,0,2,0,0
12,2,2,1,1,0,1,1,1,0,1,0,1,0,1,1,0,2,1,1,0,1,0,0,1,1,0,2,2,3,0,1,2,0,3,1,0
13,2,2,0,1,2,1,3,1,2,0,0,1,0,2,2,2,0,1,1,0,1,0,1,2,1,0,1,0,1,3,0,1,1,0,0,1
14,1,0,2,0,0,1,3,1,0,1,2,0,0,2,0,2,1,1,1,0,0,1,1,0,1,2,0,2,2,1,1,3,1,1,2,0
15,0,3,3,0,3,0,2,0,2,1,1,2,1,2,0,1,0,3,1,0,0,1,2,1,1,0,1,2,2,1,0,1,0,2,1,0
16,1,2,2,3,2,2,1,0,2,0,3,2,4,1,2,2,0,1,2,0,2,2,2,2,2,0,0,2,2,1,1,4,0,2,0,2
17,2,0,1,0,2,2,1,2,1,1,1,0,0,0,0,3,2,0,3,0,0,2,1,1,2,1,2,2,0,1,0,2,0,0,0,1
18,1,1,1,1,0,0,1,0,1,3,0,0,0,1,0,0,2,1,3,1,2,1,1,1,1,2,1,2,2,2,0,0,1,1,2,2
19,0,0,3,1,2,0,0,0,0,2,1,0,2,0,1,0,1,0,1,3,0,1,3,0,0,2,0,1,0,3,0,5,0,1,5,0
20,0,0,1,0,0,1,1,1,5,0,1,1,0,3,3,0,3,0,1,3,0,5,2,3,0,0,0,3,3,1,3,2,2,2,2,2
21,0,1,2,1,1,4,2,0,0,1,1,1,1,0,0,2,2,0,4,0,1,2,0,1,1,1,1,0,4,1,0,4,1,0,0,2
22,1,2,3,0,2,1,1,0,4,3,1,0,0,1,3,4,2,1,0,2,2,0,0,1,1,2,0,3,0,2,1,2,2,0,2,1
23,0,5,3,0,1,1,0,1,0,1,5,0,3,2,0,3,1,0,1,0,2,0,1,0,0,1,1,1,1,1,0,2,1,1,2,3
24,2,1,2,0,0,3,3,0,0,2,0,0,2,0,2,0,0,0,2,1,0,4,0,2,1,2,2,2,0,2,2,2,4,0,1,2
25,0,0,1,0,1,2,2,0,1,2,0,2,0,0,1,0,0,1,0,0,0,2,0,0,2,1,1,1,2,1,0,1,1,1,2,0
26,0,1,1,0,1,3,3,0,1,1,2,0,3,1,1,1,0,2,1,0,0,1,0,2,1,0,0,3,0,1,1,1,1,1,2,0
27,1,1,2,0,1,1,1,0,1,1,0,1,1,4,0,1,0,0,1,0,4,1,1,0,1,2,2,1,0,0,0,2,1,1,0,1
28,1,0,1,0,0,1,3,0,0,3,1,0,1,0,2,3,1,1,2,1,0,1,1,1,3,2,0,1,1,1,1,1,0,1,1,2
29,1,2,0,1,4,0,1,0,1,1,0,1,2,2,2,2,0,0,2,2,1,0,2,2,1,1,2,1,1,0,0,0,0,1,0,4
30,1,4,0,0,0,2,1,0,4,1,2,3,1,4,4,1,0,2,2,0,1,3,2,0,0,0,3,2,0,1,1,3,3,1,3,1
31,0,1,0,0,1,1,1,0,1,0,3,0,0,0,0,3,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
32,1,3,3,1,1,0,3,1,1,1,1,1,0,2,0,0,0,1,1,0,0,1,1,1,1,0,1,1,2,0,0,1,1,3,0,0
33,2,5,1,0,1,1,1,1,1,0,0,1,1,0,2,2,1,1,1,3,1,1,2,2,1,0,3,1,5,2,0,1,0,1,0,1
