,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
3,Porto,Sp Braga,Nacional,Rio Ave,Sp Lisbon,Belenenses,Setubal,Boavista,Gil Vicente,Pacos Ferreira,Benfica,Est Amadora,Naval,Academica,Maritimo,Penafiel,Leiria,Guimaraes,
4,Porto,Sp Lisbon,Sp Braga,Nacional,Boavista,Gil Vicente,Rio Ave,Belenenses,Benfica,Setubal,Naval,Pacos Ferreira,Est Amadora,Guimaraes,Academica,Maritimo,Leiria,Penafiel,
5,Porto,Nacional,Sp Braga,Sp Lisbon,Boavista,Benfica,Setubal,Rio Ave,Gil Vicente,Pacos Ferreira,Belenenses,Est Amadora,Naval,Academica,Maritimo,Guimaraes,Leiria,Penafiel,
6,Sp Braga,Nacional,Porto,Boavista,Benfica,Setubal,Sp Lisbon,Rio Ave,Naval,Est Amadora,Gil Vicente,Pacos Ferreira,Belenenses,Academica,Leiria,Maritimo,Guimaraes,Penafiel,
7,Sp Braga,Porto,Benfica,Nacional,Boavista,Setubal,Rio Ave,Sp Lisbon,Gil Vicente,Pacos Ferreira,Naval,Est Amadora,Belenenses,Academica,Leiria,Maritimo,Guimaraes,Penafiel,
8,Sp Braga,Porto,Nacional,Benfica,Boavista,Setubal,Rio Ave,Sp Lisbon,Pacos Ferreira,Leiria,Naval,Gil Vicente,Est Amadora,Belenenses,Maritimo,Academica,Guimaraes,Penafiel,
9,Sp Braga,Nacional,Porto,Benfica,Setubal,Sp Lisbon,Boavista,Rio Ave,Pacos Ferreira,Maritimo,Leiria,Academica,Gil Vicente,Naval,Belenenses,Est Amadora,Guimaraes,Penafiel,
10,Sp Braga,Porto,Nacional,Setubal,Sp Lisbon,Benfica,Boavista,Rio Ave,Maritimo,Pacos Ferreira,Leiria,Academica,Gil Vicente,Naval,Est Amadora,Guimaraes,Belenenses,Penafiel,
11,Porto,Nacional,Sp Braga,Setubal,Sp Lisbon,Benfica,Boavista,Pacos Ferreira,Maritimo,Rio Ave,Academica,Leiria,Gil Vicente,Naval,Belenenses,Est Amadora,Guimaraes,Penafiel,
12,Porto,Nacional,Setubal,Sp Braga,Sp Lisbon,Boavista,Benfica,Pacos Ferreira,Academica,Rio Ave,Leiria,Maritimo,Belenenses,Est Amadora,Gil Vicente,Naval,Guimaraes,Penafiel,
13,Porto,Nacional,Setubal,Sp Braga,Benfica,Sp Lisbon,Boavista,Pacos Ferreira,Academica,Rio Ave,Est Amadora,Maritimo,Leiria,Gil Vicente,Belenenses,Guimaraes,Naval,Penafiel,
14,Porto,Nacional,Sp Braga,Setubal,Benfica,Sp Lisbon,Boavista,Pacos Ferreira,Rio Ave,Maritimo,Leiria,Academica,Belenenses,Est Amadora,Gil Vicente,Guimaraes,Naval,Penafiel,
15,Porto,Nacional,Benfica,Sp Lisbon,Sp Braga,Setubal,Boavista,Maritimo,Leiria,Pacos Ferreira,Rio Ave,Belenenses,Est Amadora,Academica,Gil Vicente,Guimaraes,Naval,Penafiel,
16,Porto,Benfica,Nacional,Sp Braga,Setubal,Sp Lisbon,Leiria,Boavista,Maritimo,Est Amadora,Pacos Ferreira,Gil Vicente,Rio Ave,Belenenses,Academica,Guimaraes,Naval,Penafiel,
17,Porto,Benfica,Nacional,Sp Braga,Sp Lisbon,Setubal,Boavista,Est Amadora,Leiria,Maritimo,Rio Ave,Pacos Ferreira,Gil Vicente,Belenenses,Academica,Guimaraes,Naval,Penafiel,
18,Porto,Benfica,Nacional,Sp Braga,Sp Lisbon,Setubal,Boavista,Leiria,Est Amadora,Maritimo,Rio Ave,Pacos Ferreira,Gil Vicente,Belenenses,Academica,Guimaraes,Naval,Penafiel,
19,Porto,Benfica,Nacional,Sp Braga,Sp Lisbon,Setubal,Boavista,Maritimo,Rio Ave,Est Amadora,Leiria,Belenenses,Academica,Pacos Ferreira,Gil Vicente,Naval,Guimaraes,Penafiel,
20,Porto,Benfica,Sp Lisbon,Sp Braga,Nacional,Boavista,Setubal,Leiria,Maritimo,Rio Ave,Est Amadora,Academica,Belenenses,Gil Vicente,Pacos Ferreira,Naval,Guimaraes,Penafiel,
21,Porto,Benfica,Sp Lisbon,Sp Braga,Nacional,Boavista,Setubal,Leiria,Maritimo,Est Amadora,Rio Ave,Academica,Pacos Ferreira,Belenenses,Gil Vicente,Naval,Guimaraes,Penafiel,
22,Porto,Sp Lisbon,Sp Braga,Benfica,Nacional,Boavista,Setubal,Leiria,Belenenses,Maritimo,Gil Vicente,Est Amadora,Rio Ave,Academica,Pacos Ferreira,Guimaraes,Naval,Penafiel,
23,Porto,Sp Lisbon,Sp Braga,Benfica,Boavista,Nacional,Setubal,Leiria,Maritimo,Belenenses,Gil Vicente,Est Amadora,Rio Ave,Academica,Pacos Ferreira,Guimaraes,Naval,Penafiel,
24,Porto,Sp Lisbon,Benfica,Sp Braga,Boavista,Nacional,Setubal,Leiria,Maritimo,Rio Ave,Academica,Belenenses,Gil Vicente,Est Amadora,Guimaraes,Pacos Ferreira,Naval,Penafiel,
25,Porto,Sp Lisbon,Benfica,Sp Braga,Boavista,Nacional,Setubal,Leiria,Academica,Maritimo,Belenenses,Est Amadora,Rio Ave,Guimaraes,Pacos Ferreira,Naval,Gil Vicente,Penafiel,
26,Porto,Sp Lisbon,Benfica,Sp Braga,Boavista,Nacional,Setubal,Leiria,Belenenses,Est Amadora,Academica,Maritimo,Naval,Rio Ave,Guimaraes,Gil Vicente,Pacos Ferreira,Penafiel,
27,Porto,Sp Lisbon,Benfica,Sp Braga,Boavista,Nacional,Setubal,Leiria,Maritimo,Belenenses,Est Amadora,Academica,Rio Ave,Pacos Ferreira,Naval,Guimaraes,Gil Vicente,Penafiel,
