,Benfica scored,Benfica received,Naval scored,Naval received,Sp Lisbon scored,Sp Lisbon received,Porto scored,Porto received,Sp Braga scored,Sp Braga received,Maritimo scored,Maritimo received,Aves scored,Aves received,Beira Mar scored,Beira Mar received,Academica scored,Academica received,Setubal scored,Setubal received,Boavista scored,Boavista received,Pacos Ferreira scored,Pacos Ferreira received,Leiria scored,Leiria received,Nacional scored,Nacional received,Est Amadora scored,Est Amadora received,Belenenses scored,Belenenses received
0,4,0,2,0,3,2,2,1,2,1,1,0,2,2,2,2,1,1,1,1,2,3,1,2,1,2,0,1,0,2,0,4
1,4,3,4,1,4,2,5,1,3,1,2,2,2,3,4,4,2,3,1,3,5,3,3,3,3,4,0,2,0,5,2,4
2,5,3,4,3,4,3,7,1,3,2,2,2,2,3,6,4,3,4,2,3,5,4,4,3,4,4,0,3,0,7,3,5
3,6,4,4,3,6,3,10,1,3,2,2,3,2,5,6,7,5,6,2,4,7,6,5,4,5,4,1,3,0,7,3,5
4,10,5,6,4,8,3,11,3,5,3,4,4,3,9,7,9,6,9,3,5,9,6,6,5,5,6,4,4,1,9,3,7
5,14,5,7,4,9,3,14,3,8,3,4,7,4,11,7,12,7,10,5,6,9,7,7,6,5,10,6,5,1,10,4,9
6,17,6,8,5,10,4,15,4,9,4,6,8,4,13,8,14,9,10,6,8,9,11,7,8,7,11,10,5,2,13,6,9
7,19,9,9,6,13,7,18,6,10,8,10,9,4,14,11,17,9,12,6,9,9,13,9,8,9,11,11,6,3,13,7,9
8,22,9,9,7,16,7,21,6,10,11,11,9,5,16,11,20,11,12,6,12,11,14,10,13,10,11,16,7,3,15,7,10
9,23,12,10,8,17,7,23,7,13,12,11,10,8,17,12,21,12,14,7,13,11,14,11,14,10,11,17,10,4,15,7,11
10,25,13,10,9,18,7,24,7,15,13,12,12,8,19,13,24,15,15,8,15,12,15,13,14,11,13,19,11,5,16,7,12
11,27,13,10,11,18,9,26,7,19,15,13,12,10,19,14,26,17,19,8,16,12,17,13,14,11,13,19,13,7,16,9,13
12,27,13,10,11,21,9,28,8,19,17,15,13,10,20,14,29,18,21,8,19,15,17,14,15,12,13,20,15,8,17,11,13
13,30,13,12,12,22,9,32,8,21,19,16,17,10,21,15,30,18,22,8,22,17,19,14,19,13,15,21,16,9,17,15,14
14,32,13,15,12,22,9,34,8,21,19,17,18,10,23,15,31,18,24,8,25,18,20,15,19,13,15,21,16,9,17,15,14
15,34,14,15,12,23,10,34,9,23,22,19,21,10,23,15,31,18,25,9,25,19,21,18,21,14,15,24,18,9,17,16,16
16,34,14,15,13,28,11,34,10,24,22,20,22,10,24,16,31,19,25,9,26,19,21,19,22,14,16,25,23,10,17,17,16
17,36,14,15,17,29,12,38,10,24,23,21,23,11,25,18,33,21,26,10,27,20,22,20,23,15,16,25,25,12,19,18,18
18,39,15,17,20,29,12,43,10,26,24,23,24,11,25,18,38,21,28,11,28,22,22,21,26,16,18,26,26,13,21,21,20
19,40,15,20,21,29,12,44,10,26,25,23,25,11,26,19,41,21,32,11,29,22,22,22,26,16,18,30,26,14,21,21,20
20,42,15,21,22,32,13,46,11,26,25,24,27,12,27,19,41,21,34,12,30,23,23,24,26,16,20,30,28,15,24,23,20
21,43,15,22,24,33,13,46,12,28,26,26,29,14,29,21,43,23,36,13,31,23,25,24,28,17,21,32,28,15,25,25,20
22,44,16,22,24,35,13,47,13,30,27,27,31,14,30,21,45,23,36,15,31,26,26,25,31,17,21,32,28,15,27,26,20
23,46,18,23,25,36,13,52,14,30,28,28,32,15,30,23,47,26,39,16,36,26,27,27,32,17,22,33,30,18,30,27,20
24,46,18,24,26,40,13,54,15,30,28,28,36,19,33,26,48,27,41,17,39,27,28,28,33,18,23,36,34,18,33,30,20
25,49,18,24,30,44,13,57,16,30,28,28,39,19,34,26,49,28,41,17,39,28,30,29,33,19,23,36,35,20,34,31,23
26,50,19,24,31,45,14,58,18,31,28,29,40,20,34,26,51,28,42,18,40,30,31,29,33,19,23,37,35,20,35,33,23
27,52,20,25,33,48,15,60,18,33,29,29,40,21,37,27,51,28,42,19,43,30,32,29,34,22,24,37,37,21,35,34,25
28,53,20,27,35,50,15,61,19,34,29,29,42,21,38,27,54,28,44,19,44,30,33,30,35,24,26,40,37,22,35,36,25
29,55,20,28,37,54,15,65,20,35,30,30,44,22,42,28,55,28,46,21,45,32,34,31,36,25,27,41,38,23,36,36,29
