,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Sp Lisbon,Academica,1,13,3.0,0.3333333333333333,0.0,1.3333333333333333
1,Leixoes,Benfica,3,5,,,1.6666666666666667,0.3333333333333333
2,Maritimo,Pacos Ferreira,2,12,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0
3,Nacional,Est Amadora,9,10,1.3333333333333333,1.0,1.0,0.3333333333333333
4,Sp Braga,Porto,11,16,1.3333333333333333,0.6666666666666666,2.333333333333333,0.6666666666666666
5,Guimaraes,Setubal,6,7,,,1.0,1.6666666666666667
6,Leiria,Boavista,15,8,2.0,1.3333333333333333,0.6666666666666666,1.0
7,Naval,Belenenses,4,14,1.3333333333333333,2.0,1.0,2.0
8,Belenenses,Sp Braga,14,11,1.0,2.0,1.3333333333333333,0.6666666666666666
9,Benfica,Guimaraes,8,9,1.0,0.0,,
10,Academica,Leiria,13,15,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333
11,Boavista,Maritimo,12,1,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333
12,Est Amadora,Naval,2,10,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.333333333333333
13,Pacos Ferreira,Leixoes,11,5,1.0,1.0,,
14,Porto,Sp Lisbon,14,3,2.0,0.6666666666666666,2.0,0.3333333333333333
15,Setubal,Nacional,6,7,1.0,1.0,1.6666666666666667,0.6666666666666666
16,Leixoes,Guimaraes,5,9,,,,
17,Pacos Ferreira,Boavista,10,12,1.0,1.0,1.0,1.3333333333333333
18,Sp Braga,Est Amadora,3,5,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333
19,Leiria,Porto,15,6,0.6666666666666666,1.6666666666666667,2.6666666666666665,0.3333333333333333
20,Maritimo,Academica,1,14,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.6666666666666667
21,Nacional,Benfica,13,4,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.0
22,Naval,Setubal,11,9,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666
23,Sp Lisbon,Belenenses,2,16,1.6666666666666667,0.3333333333333333,0.0,2.333333333333333
24,Setubal,Sp Braga,9,3,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666
25,Benfica,Naval,3,14,2.0,0.0,0.3333333333333333,2.0
26,Boavista,Leixoes,11,8,0.3333333333333333,1.0,1.0,1.0
27,Porto,Maritimo,4,1,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333
28,Academica,Pacos Ferreira,10,12,0.6666666666666666,1.0,0.6666666666666666,1.0
29,Belenenses,Leiria,15,16,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0
30,Est Amadora,Sp Lisbon,9,2,1.3333333333333333,1.6666666666666667,1.0,0.3333333333333333
31,Guimaraes,Nacional,6,13,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667
32,Naval,Guimaraes,14,6,0.3333333333333333,2.0,1.0,0.6666666666666666
33,Leiria,Est Amadora,16,9,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333
34,Leixoes,Nacional,8,12,1.0,1.0,0.3333333333333333,1.6666666666666667
35,Maritimo,Belenenses,1,15,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333
36,Pacos Ferreira,Porto,13,3,0.3333333333333333,1.3333333333333333,2.0,0.0
37,Sp Braga,Benfica,7,4,1.0,1.3333333333333333,2.0,0.0
38,Sp Lisbon,Setubal,2,6,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0
39,Boavista,Academica,11,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
40,Benfica,Sp Lisbon,4,2,2.0,0.0,1.6666666666666667,0.6666666666666666
41,Porto,Boavista,2,13,1.6666666666666667,0.0,0.0,0.6666666666666666
42,Belenenses,Pacos Ferreira,12,14,1.0,1.0,0.0,1.3333333333333333
