,Sp Lisbon scored,Sp Lisbon received,Maritimo scored,Maritimo received,Leixoes scored,Leixoes received,Naval scored,Naval received,Benfica scored,Benfica received,Guimaraes scored,Guimaraes received,Setubal scored,Setubal received,Boavista scored,Boavista received,Nacional scored,Nacional received,Est Amadora scored,Est Amadora received,Sp Braga scored,Sp Braga received,Pacos Ferreira scored,Pacos Ferreira received,Academica scored,Academica received,Belenenses scored,Belenenses received,Leiria scored,Leiria received,Porto scored,Porto received
0,4,1,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,3,1,4,1,1,0,0,2,1
1,0,1,2,0,1,1,1,3,0,0,0,0,1,1,0,2,1,1,3,1,2,0,1,1,1,1,0,2,1,1,1,0
2,1,0,2,0,2,2,0,0,3,0,2,2,0,0,1,1,0,3,1,2,2,1,1,1,0,2,0,1,0,3,3,0
3,2,0,0,1,0,0,0,3,3,0,1,0,3,1,0,0,0,1,0,2,1,3,0,1,1,0,2,1,1,2,1,0
4,2,2,2,0,1,1,1,4,0,0,4,1,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,0,2,0
5,0,0,1,1,1,1,0,2,0,0,1,0,2,0,0,2,2,0,1,1,0,1,0,1,1,1,1,0,0,2,2,0
6,3,0,0,0,0,1,1,0,2,1,0,3,0,0,2,4,0,1,1,2,1,0,2,1,0,1,4,2,1,2,1,0
7,0,0,1,2,0,3,1,1,2,1,2,1,3,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,2,3,0
8,4,1,0,1,3,0,1,4,2,1,1,0,3,3,3,3,3,1,3,3,0,3,1,2,3,3,1,1,1,3,1,1
9,0,3,2,0,1,1,1,0,6,1,0,0,3,1,1,6,0,2,2,2,3,0,0,0,1,3,1,1,0,1,2,2
10,1,1,0,1,1,1,1,0,3,1,2,3,0,2,3,2,0,1,0,0,0,0,1,0,1,3,0,0,0,0,2,0
11,1,1,1,2,0,2,2,1,0,1,2,1,1,1,0,2,2,0,2,0,2,1,1,2,1,2,1,1,1,1,1,0
12,2,1,1,2,2,1,0,2,0,1,0,2,1,0,2,0,0,1,0,1,2,0,0,2,1,0,1,0,1,2,2,0
13,2,1,2,1,1,1,0,1,3,0,1,0,1,1,0,0,1,0,0,3,0,0,1,2,1,0,0,1,1,2,0,1
14,0,2,2,1,1,2,0,1,1,1,1,4,1,1,2,0,1,1,4,1,3,3,2,1,3,3,1,1,1,2,1,0
15,1,1,1,3,0,0,3,0,0,0,1,0,0,1,3,1,1,0,0,1,0,4,3,1,1,1,0,3,1,3,4,0
16,2,0,2,0,1,0,1,1,3,1,1,3,0,0,0,2,0,0,1,1,1,1,0,1,1,3,1,1,3,1,0,2
17,0,1,0,1,1,2,2,1,0,0,2,1,1,2,4,3,0,0,1,1,1,1,3,4,1,0,1,0,0,4,4,0
18,2,0,0,3,2,2,0,2,2,0,0,1,3,2,2,2,1,0,0,2,2,3,1,1,1,1,2,1,1,2,3,0
19,0,1,3,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,4,2,1,1,0,3,1,1,1,3,2,4,3,0
20,1,1,1,1,2,2,1,1,1,1,0,0,2,0,0,0,1,1,1,1,0,0,1,2,2,2,2,1,0,2,0,0
21,0,2,0,1,1,2,2,1,2,2,2,0,1,0,3,2,0,1,1,0,1,0,0,1,0,1,2,3,2,2,1,0
22,4,1,1,1,1,2,0,3,1,1,1,0,1,2,2,1,1,4,1,2,3,0,2,1,0,0,0,0,0,1,2,1
23,4,1,0,1,0,0,1,4,4,1,1,0,3,1,1,3,2,0,3,1,0,0,1,4,1,3,1,2,0,2,2,1
24,2,0,1,0,1,2,2,0,0,0,2,2,0,0,0,0,0,1,0,6,0,2,2,2,0,0,2,1,0,2,6,0
25,2,0,3,0,0,2,0,3,0,3,1,0,1,2,0,1,1,2,0,2,0,1,2,1,3,0,2,0,1,0,2,1
26,1,4,4,1,0,0,2,2,0,2,0,0,0,5,1,0,0,1,0,0,1,4,2,2,0,0,5,0,4,1,2,0
27,2,1,1,2,3,1,1,0,2,0,0,5,0,0,0,1,0,3,0,0,2,1,1,2,3,0,0,2,1,3,5,0
28,1,0,2,0,0,2,1,1,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,0,2,0,3
29,2,1,1,0,0,1,0,2,3,0,4,0,0,3,1,2,1,2,0,4,2,1,1,1,1,2,2,1,1,1,2,0
