,Sp Braga scored,Sp Braga received,Nacional scored,Nacional received,Maritimo scored,Maritimo received,Porto scored,Porto received,Rio Ave scored,Rio Ave received,Sp Lisbon scored,Sp Lisbon received,Leixoes scored,Leixoes received,Naval scored,Naval received,Belenenses scored,Belenenses received,Olhanense scored,Olhanense received,Guimaraes scored,Guimaraes received,Setubal scored,Setubal received,Benfica scored,Benfica received,Leiria scored,Leiria received,Pacos Ferreira scored,Pacos Ferreira received,Academica scored,Academica received
0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
1,3,1,1,4,2,1,4,1,2,1,2,3,0,1,0,2,2,0,0,0,0,1,0,1,2,1,1,1,2,2,1,2
2,6,2,2,5,2,1,7,2,2,1,4,3,0,1,1,5,3,3,1,1,0,1,1,9,10,2,1,1,2,2,1,4
3,8,3,2,7,3,3,11,3,4,1,5,3,1,5,1,8,3,7,3,2,3,1,1,13,14,2,5,1,2,3,2,6
4,9,3,4,8,4,5,11,4,5,2,8,5,4,6,1,9,4,8,5,5,4,4,2,13,16,3,6,3,3,4,3,7
5,10,3,5,8,5,7,12,4,5,2,8,6,4,11,3,10,4,9,5,6,6,6,2,14,21,3,8,5,4,4,3,7
6,12,3,7,8,9,9,15,4,7,5,8,6,7,13,6,12,4,9,5,9,6,8,2,16,24,4,10,8,5,7,5,11
7,13,4,8,14,12,10,18,6,8,6,9,7,7,14,6,14,4,9,5,9,7,9,3,16,30,5,12,8,6,10,7,14
8,15,4,10,15,13,11,19,7,9,6,10,8,7,15,7,14,5,10,5,10,7,11,4,18,30,7,13,8,6,11,9,14
9,15,5,14,17,14,11,19,8,11,8,12,10,9,19,7,15,5,13,5,10,8,11,4,18,31,7,14,9,9,11,10,15
10,17,5,15,18,16,13,21,9,12,10,12,10,10,20,8,16,7,15,5,12,10,11,4,21,31,7,14,11,10,12,13,15
11,18,6,17,19,21,15,25,10,12,10,14,10,11,21,9,16,7,15,7,17,11,15,4,23,35,7,15,13,10,13,13,19
12,18,6,18,21,21,16,27,10,13,10,14,11,11,23,9,16,7,16,9,19,12,15,4,25,37,9,16,13,12,14,15,19
13,19,6,22,24,23,19,27,11,13,11,15,11,13,25,9,17,7,17,11,21,13,15,7,27,38,9,17,13,12,15,18,23
14,21,6,22,26,23,20,30,13,13,12,16,11,13,26,9,19,7,17,12,22,14,15,7,27,39,9,19,16,13,16,20,23
15,23,6,24,29,23,25,31,14,13,14,19,13,16,27,9,20,8,20,13,22,16,17,9,29,44,9,21,16,14,17,20,25
16,24,6,24,33,25,26,35,14,15,16,19,14,17,29,10,20,8,21,13,24,17,20,11,31,47,10,23,16,16,18,21,27
17,27,7,24,34,26,26,38,14,17,16,20,16,17,31,10,23,9,24,14,24,18,22,12,32,48,11,23,17,18,19,23,28
18,29,8,25,35,27,28,38,14,18,17,20,16,17,31,10,23,9,25,15,25,18,22,15,35,49,11,26,20,18,19,24,29
19,30,13,26,36,28,29,43,15,19,19,20,16,17,33,11,23,10,27,15,25,20,22,15,36,52,11,26,23,20,20,26,30
20,33,14,27,36,29,31,43,18,20,19,23,16,17,37,13,24,10,28,16,28,21,22,18,41,56,11,26,24,25,23,26,31
21,33,14,27,38,29,31,45,20,20,19,27,16,18,39,13,24,10,32,18,30,23,22,18,41,59,12,28,25,26,26,26,31
22,34,14,27,39,29,32,47,21,20,20,30,17,19,41,14,24,13,33,19,33,24,25,20,42,60,12,28,26,27,26,27,33
23,34,15,28,41,32,34,50,21,21,25,32,20,20,41,14,25,13,36,24,34,25,25,22,43,61,12,30,27,28,28,27,34
24,37,17,29,41,33,38,54,22,21,30,37,20,20,42,16,29,13,36,26,36,27,28,24,45,65,14,30,27,28,28,27,34
25,39,18,29,41,36,41,55,22,21,31,37,22,22,42,16,29,16,39,27,37,28,29,25,46,67,14,31,29,28,30,28,35
26,42,19,31,41,38,42,58,22,21,31,39,23,23,45,19,30,16,39,28,39,28,32,26,48,70,16,31,31,29,33,30,38
27,46,19,32,42,38,42,63,24,21,31,40,24,24,48,19,34,16,41,28,44,30,32,28,53,75,16,32,32,30,34,33,39
28,47,19,35,45,40,42,66,25,21,31,40,25,24,49,20,34,21,43,29,44,30,32,28,55,76,19,34,37,30,35,36,42
29,48,20,36,46,42,43,70,26,22,33,42,26,25,51,20,35,23,44,31,46,31,34,29,57,78,20,35,41,32,37,37,42
