,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,17/08/13,Arsenal,Aston Villa,79,72,80,74,81,71,0.14213010561596712,0.6654892834896302,0.1923806108944026,2,6.508333333333333,1.39,4.808333333333334,16,3,1.0,3.0,3.0,1.0
1,17/08/13,Liverpool,Stoke,76,76,78,73,79,73,0.13314155139371506,0.6633330562897339,0.20352539231655092,1,6.9833333333333325,1.4016666666666664,4.5683333333333325,7,13,1.0,0.0,0.0,1.0
2,17/08/13,Norwich,Everton,74,78,74,78,74,78,0.4526241358976277,0.28319394109599144,0.2641819230063808,X,1.9416666666666664,3.103333333333333,3.3266666666666667,11,10,2.0,2.0,2.0,2.0
3,17/08/13,Sunderland,Fulham,74,71,73,72,73,74,0.3229051393445507,0.4031494762115175,0.2739453844439317,2,2.7883333333333336,2.233333333333333,3.286666666666667,14,6,0.0,1.0,1.0,0.0
4,17/08/13,Swansea,Man United,79,85,75,80,74,79,0.5407934226122924,0.21104133565357747,0.2481652417341303,2,1.6,4.1000000000000005,3.4866666666666664,19,2,1.0,4.0,4.0,1.0
5,17/08/13,West Brom,Southampton,70,76,72,73,74,76,0.33926314666466234,0.3907562459042516,0.26998060743108604,2,2.643333333333333,2.295,3.3216666666666668,15,8,0.0,1.0,1.0,0.0
6,17/08/13,West Ham,Cardiff,76,72,72,73,74,70,0.27217568229024336,0.4674880173929416,0.26033630031681504,1,3.3350000000000004,1.9416666666666669,3.4866666666666664,5,17,2.0,0.0,0.0,2.0
7,18/08/13,Chelsea,Hull,81,72,81,71,82,71,0.0677638724231536,0.7869656950394054,0.14527043253744093,1,13.916666666666664,1.1983333333333337,6.491666666666667,4,18,2.0,0.0,0.0,2.0
8,18/08/13,Crystal Palace,Tottenham,71,77,71,78,72,80,0.5780094354425823,0.1840335982643583,0.2379569662930594,2,1.4916666666666665,4.685,3.6233333333333335,12,9,0.0,1.0,1.0,0.0
9,19/08/13,Man City,Newcastle,84,78,81,76,83,75,0.10732143486971008,0.7201941615264411,0.17248440360384867,1,8.735,1.3016666666666663,5.435,1,20,4.0,0.0,0.0,4.0
10,21/08/13,Chelsea,Aston Villa,81,72,81,74,82,71,0.1106321598094631,0.7185387698965129,0.17082907029402392,1,8.4,1.2933333333333332,5.44,4,3,2.0,0.0,3.0,1.0
