,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Arsenal,Aston Villa,16,3,1.0,3.0,3.0,1.0
1,Liverpool,Stoke,7,13,1.0,0.0,0.0,1.0
2,Norwich,Everton,11,10,2.0,2.0,2.0,2.0
3,Sunderland,Fulham,14,6,0.0,1.0,1.0,0.0
4,Swansea,Man United,19,2,1.0,4.0,4.0,1.0
5,West Brom,Southampton,15,8,0.0,1.0,1.0,0.0
6,West Ham,Cardiff,5,17,2.0,0.0,0.0,2.0
7,Chelsea,Hull,4,18,2.0,0.0,0.0,2.0
8,Crystal Palace,Tottenham,12,9,0.0,1.0,1.0,0.0
9,Man City,Newcastle,1,20,4.0,0.0,0.0,4.0
10,Chelsea,Aston Villa,4,3,2.0,0.0,3.0,1.0
11,Aston Villa,Liverpool,8,1,1.5,1.0,1.0,0.0
12,Everton,West Brom,14,17,1.0,1.0,0.0,0.5
13,Fulham,Arsenal,12,9,1.0,1.5,2.0,2.0
14,Hull,Norwich,13,15,0.5,1.0,1.0,1.5
15,Newcastle,West Ham,18,5,0.0,2.0,1.0,0.0
16,Southampton,Sunderland,6,16,1.0,0.5,0.5,1.0
17,Stoke,Crystal Palace,10,19,1.0,1.0,0.5,1.5
18,Cardiff,Man City,11,7,1.5,2.0,3.0,1.5
19,Tottenham,Swansea,2,20,1.0,0.0,0.5,2.5
20,Man United,Chelsea,3,4,2.0,0.5,1.0,0.0
21,Cardiff,Everton,11,15,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
22,Crystal Palace,Sunderland,14,19,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667
23,Man City,Hull,3,18,2.6666666666666665,1.0,0.3333333333333333,1.3333333333333333
24,Newcastle,Fulham,12,17,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333
25,Norwich,Southampton,9,10,1.0,1.0,0.6666666666666666,0.6666666666666666
26,West Ham,Stoke,8,5,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
27,Arsenal,Tottenham,4,6,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333
28,Liverpool,Man United,1,7,1.0,0.0,1.3333333333333333,0.6666666666666666
29,West Brom,Swansea,20,16,0.0,1.0,1.0,1.6666666666666667
30,Aston Villa,Newcastle,13,12,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333
31,Everton,Chelsea,9,6,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
32,Fulham,West Brom,14,19,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.0
33,Hull,Cardiff,16,12,0.6666666666666666,1.0,1.3333333333333333,1.0
34,Man United,Crystal Palace,5,18,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667
35,Stoke,Man City,7,4,1.0,0.3333333333333333,1.3333333333333333,1.0
36,Sunderland,Arsenal,20,2,1.0,2.333333333333333,2.333333333333333,0.6666666666666666
37,Tottenham,Norwich,3,15,1.0,0.3333333333333333,0.3333333333333333,1.0
38,Southampton,West Ham,11,10,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
39,Swansea,Liverpool,13,1,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666
40,Chelsea,Fulham,6,14,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667
41,Liverpool,Southampton,5,7,1.0,1.0,0.3333333333333333,0.3333333333333333
42,Newcastle,Hull,12,11,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667
43,Norwich,Aston Villa,17,13,0.3333333333333333,1.0,1.0,1.3333333333333333
44,West Brom,Sunderland,14,20,1.3333333333333333,1.0,0.6666666666666666,3.0
45,West Ham,Everton,15,6,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666
46,Arsenal,Stoke,1,10,2.333333333333333,0.6666666666666666,0.6666666666666666,1.0
47,Cardiff,Tottenham,16,2,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333
48,Crystal Palace,Swansea,19,9,1.0,1.6666666666666667,2.0,0.6666666666666666
49,Man City,Man United,3,8,2.0,0.3333333333333333,1.0,1.6666666666666667
50,Aston Villa,Man City,13,3,1.0,1.3333333333333333,2.0,0.3333333333333333
51,Fulham,Cardiff,18,11,0.6666666666666666,1.6666666666666667,1.0,1.0
52,Hull,West Ham,8,17,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333
53,Man United,West Brom,12,10,1.3333333333333333,2.0,2.0,0.6666666666666666
54,Southampton,Crystal Palace,6,19,1.0,0.0,0.0,2.0
55,Swansea,Arsenal,13,1,1.6666666666666667,1.3333333333333333,2.6666666666666665,1.0
56,Tottenham,Chelsea,3,5,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666
57,Stoke,Norwich,15,14,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0
58,Sunderland,Liverpool,20,2,0.6666666666666666,3.0,1.6666666666666667,1.3333333333333333
59,Everton,Newcastle,4,16,2.333333333333333,1.3333333333333333,2.0,2.333333333333333
60,Cardiff,Newcastle,11,16,1.0,1.0,2.0,2.333333333333333
61,Fulham,Stoke,17,16,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667
62,Hull,Aston Villa,8,10,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666
63,Liverpool,Crystal Palace,2,19,2.0,1.0,0.3333333333333333,2.333333333333333
64,Man City,Everton,5,7,3.0,1.6666666666666667,2.333333333333333,2.333333333333333
65,Sunderland,Man United,20,9,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.333333333333333
66,Norwich,Chelsea,18,3,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666
67,Southampton,Swansea,4,15,1.6666666666666667,0.0,1.0,1.3333333333333333
68,Tottenham,West Ham,6,13,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333
69,West Brom,Arsenal,12,1,2.0,0.6666666666666666,2.0,1.0
70,Arsenal,Norwich,1,18,2.0,1.0,0.6666666666666666,1.3333333333333333
71,Chelsea,Cardiff,2,17,2.6666666666666665,1.0,1.3333333333333333,2.333333333333333
72,Everton,Hull,7,9,2.0,2.0,0.6666666666666666,0.6666666666666666
73,Man United,Southampton,8,6,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333
74,Newcastle,Liverpool,10,3,2.0,2.0,2.6666666666666665,1.3333333333333333
75,Stoke,West Brom,16,12,0.0,0.6666666666666666,1.0,0.6666666666666666
76,Swansea,Sunderland,11,20,1.6666666666666667,1.3333333333333333,0.6666666666666666,3.0
77,West Ham,Man City,15,4,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.6666666666666667
78,Aston Villa,Tottenham,13,5,1.0,1.3333333333333333,1.0,1.3333333333333333
79,Crystal Palace,Fulham,19,14,0.6666666666666666,3.0,2.0,1.0
80,Aston Villa,Everton,13,7,1.0,1.3333333333333333,2.0,2.0
81,Crystal Palace,Arsenal,20,1,0.6666666666666666,3.0,2.333333333333333,0.6666666666666666
82,Liverpool,West Brom,3,12,3.0,1.3333333333333333,0.6666666666666666,1.6666666666666667
83,Man United,Stoke,8,17,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
84,Norwich,Cardiff,18,16,0.6666666666666666,2.333333333333333,0.6666666666666666,2.0
85,Southampton,Fulham,5,14,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.0
86,Chelsea,Man City,2,7,3.0,1.0,2.333333333333333,1.3333333333333333
87,Sunderland,Newcastle,19,11,1.0,2.333333333333333,1.6666666666666667,1.6666666666666667
88,Swansea,West Ham,9,15,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0
89,Tottenham,Hull,4,10,1.0,1.0,0.3333333333333333,1.0
90,Arsenal,Liverpool,1,3,2.333333333333333,0.6666666666666666,3.0,1.3333333333333333
91,Fulham,Man United,16,8,1.6666666666666667,2.0,2.333333333333333,1.3333333333333333
92,Hull,Sunderland,10,19,0.6666666666666666,1.0,0.6666666666666666,2.0
93,Man City,Norwich,5,18,3.6666666666666665,1.0,0.3333333333333333,3.6666666666666665
94,Newcastle,Chelsea,9,2,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333
95,Stoke,Southampton,17,6,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666
96,West Brom,Crystal Palace,11,20,1.0,1.3333333333333333,0.3333333333333333,2.6666666666666665
97,West Ham,Aston Villa,15,14,0.3333333333333333,1.0,0.0,1.3333333333333333
98,Cardiff,Swansea,12,13,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333
99,Everton,Tottenham,7,4,1.3333333333333333,0.3333333333333333,1.0,0.0
100,Aston Villa,Cardiff,14,12,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
101,Chelsea,West Brom,4,10,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0
102,Crystal Palace,Everton,20,6,0.0,1.3333333333333333,0.6666666666666666,0.0
103,Liverpool,Fulham,2,18,2.6666666666666665,1.0,0.3333333333333333,3.0
104,Norwich,West Ham,15,16,1.0,2.6666666666666665,0.3333333333333333,1.0
105,Southampton,Hull,3,12,2.333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667
106,Man United,Arsenal,5,1,2.333333333333333,1.0,1.3333333333333333,0.3333333333333333
107,Sunderland,Man City,19,8,1.0,0.6666666666666666,2.6666666666666665,1.0
108,Swansea,Stoke,13,17,1.0,1.3333333333333333,2.0,2.333333333333333
109,Tottenham,Newcastle,7,9,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666
110,Arsenal,Southampton,1,3,1.3333333333333333,0.3333333333333333,2.333333333333333,0.6666666666666666
111,Everton,Liverpool,7,2,1.0,1.0,2.333333333333333,1.6666666666666667
112,Fulham,Swansea,18,10,0.6666666666666666,3.0,1.6666666666666667,1.6666666666666667
113,Hull,Crystal Palace,13,19,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666
114,Newcastle,Norwich,8,16,1.6666666666666667,0.3333333333333333,1.3333333333333333,3.333333333333333
115,Stoke,Sunderland,14,20,2.0,1.3333333333333333,0.3333333333333333,1.0
116,West Ham,Chelsea,17,3,0.3333333333333333,2.0,1.6666666666666667,1.3333333333333333
117,Cardiff,Man United,15,6,1.0,1.3333333333333333,2.0,1.0
118,Man City,Tottenham,4,9,4.333333333333333,0.3333333333333333,0.0,2.333333333333333
119,West Brom,Aston Villa,11,12,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666
120,Aston Villa,Sunderland,12,20,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
121,Cardiff,Arsenal,17,1,0.6666666666666666,2.333333333333333,1.6666666666666667,0.3333333333333333
122,Everton,Stoke,5,16,2.333333333333333,1.0,1.6666666666666667,2.333333333333333
123,Newcastle,West Brom,6,12,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.0
124,Norwich,Crystal Palace,14,20,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333
125,West Ham,Fulham,15,18,1.3333333333333333,2.0,0.3333333333333333,3.0
126,Chelsea,Southampton,2,7,2.6666666666666665,1.0,1.6666666666666667,2.0
127,Hull,Liverpool,10,4,1.3333333333333333,2.0,2.6666666666666665,2.0
128,Man City,Swansea,3,13,3.0,0.3333333333333333,1.6666666666666667,2.333333333333333
129,Tottenham,Man United,9,8,0.6666666666666666,3.0,1.6666666666666667,1.3333333333333333
