,Man City scored,Man City received,Man United scored,Man United received,Aston Villa scored,Aston Villa received,Chelsea scored,Chelsea received,West Ham scored,West Ham received,Fulham scored,Fulham received,Liverpool scored,Liverpool received,Southampton scored,Southampton received,Tottenham scored,Tottenham received,Everton scored,Everton received,Norwich scored,Norwich received,Crystal Palace scored,Crystal Palace received,Stoke scored,Stoke received,Sunderland scored,Sunderland received,West Brom scored,West Brom received,Arsenal scored,Arsenal received,Cardiff scored,Cardiff received,Hull scored,Hull received,Swansea scored,Swansea received,Newcastle scored,Newcastle received
0,4,0,4,1,3,1,2,0,2,0,1,0,1,0,1,0,1,0,2,2,2,2,0,1,0,1,0,1,0,1,1,3,0,2,0,2,1,4,0,4
1,2,3,0,0,0,1,0,0,0,0,1,3,1,0,1,1,1,0,0,0,0,1,1,2,2,1,1,1,0,0,3,1,3,2,1,0,0,1,0,0
2,2,0,0,1,1,2,2,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,3,1,1,0,1,3,0,2,1,0,0,0,0,2,2,0,1,0
3,0,0,2,0,1,2,0,1,0,0,1,1,2,2,0,0,2,0,1,0,0,2,0,2,0,0,1,3,1,1,3,1,1,1,1,1,2,2,2,1
4,4,1,1,4,1,0,2,0,2,3,0,2,0,1,1,0,1,0,3,2,0,1,0,2,1,3,0,3,3,0,3,1,0,1,3,2,2,0,2,3
5,2,3,1,2,3,2,1,1,0,1,1,2,3,1,2,0,1,1,3,2,1,0,0,2,0,1,1,3,2,1,2,1,2,1,1,0,1,2,2,3
6,3,1,2,1,0,0,3,1,3,0,1,0,3,1,2,0,0,3,1,3,1,3,1,3,0,1,1,2,1,1,1,1,1,2,0,0,0,2,2,1
7,3,1,1,1,0,2,4,1,1,3,4,1,2,2,1,1,2,0,2,1,1,4,1,4,0,0,0,4,0,0,4,1,1,4,1,2,4,0,2,2
8,1,2,3,2,0,2,2,1,0,0,0,2,4,1,2,0,1,0,2,0,0,0,0,2,2,3,2,1,1,4,2,0,0,0,0,1,0,0,1,2
9,7,0,3,1,0,0,0,2,0,0,1,3,0,2,1,1,0,0,0,0,0,7,0,2,1,1,0,1,2,0,2,0,1,0,1,0,0,1,2,0
10,0,1,1,0,2,0,2,2,1,3,0,4,4,0,4,1,0,1,0,0,3,1,0,0,3,3,1,0,2,2,0,1,0,2,1,4,3,3,1,0
11,6,0,2,2,2,2,3,0,0,3,1,2,3,3,0,2,0,6,3,3,1,2,1,0,2,0,0,2,2,2,2,0,2,2,0,1,2,1,2,1
12,3,0,2,2,0,0,3,1,3,0,0,3,1,3,1,3,2,2,4,0,1,0,0,1,0,4,0,0,1,2,3,0,0,3,3,1,0,3,2,1
13,3,2,0,1,3,2,4,3,0,1,1,2,5,1,2,3,2,1,1,0,1,5,1,0,0,0,3,4,2,3,2,0,0,0,0,2,3,0,0,3
14,1,1,0,1,0,2,2,3,1,4,2,0,4,1,1,1,2,1,1,1,2,0,2,0,3,2,1,2,0,2,1,1,0,2,1,1,1,1,1,0
15,6,3,3,0,0,3,2,1,0,0,1,4,5,0,1,1,0,5,4,1,1,1,1,2,0,0,0,0,0,1,3,6,1,0,0,0,1,1,1,1
16,4,2,3,1,1,2,0,0,1,3,2,4,3,1,2,3,3,2,2,1,0,0,0,3,2,1,0,0,1,1,0,0,1,3,1,1,1,2,3,0
17,2,1,3,2,0,1,1,0,1,3,2,1,1,2,3,0,1,1,0,1,1,2,1,0,1,5,1,0,1,1,3,1,0,3,2,3,0,1,5,1
18,1,0,1,0,1,1,2,1,3,3,0,6,1,2,1,2,3,0,2,1,0,1,0,1,0,3,2,2,3,3,1,0,2,2,6,0,1,1,0,1
19,3,2,1,2,1,0,3,0,1,2,2,1,2,0,0,3,2,1,1,1,1,1,1,1,1,1,0,1,1,0,2,0,0,2,0,2,2,3,0,1
20,2,0,2,0,1,2,2,0,2,0,1,4,5,3,1,0,2,0,2,0,0,2,0,2,3,5,4,1,0,1,2,1,0,2,0,2,0,2,0,2
21,4,2,1,3,2,2,3,1,1,3,0,2,2,2,2,2,3,1,1,1,1,0,1,0,0,1,2,2,1,1,2,0,2,4,0,1,1,3,3,1
22,5,1,2,0,4,3,0,0,0,0,0,2,4,0,2,2,1,5,0,4,0,0,1,0,0,1,1,0,3,4,2,2,0,2,0,1,2,0,0,0
23,0,1,1,2,1,2,1,0,2,0,0,3,1,1,3,0,1,1,2,1,1,2,0,2,2,1,3,0,1,1,2,0,2,1,1,1,0,2,0,3
24,0,0,2,2,0,2,3,0,2,0,2,2,5,1,2,2,1,0,0,1,0,0,3,1,2,2,0,2,1,3,1,5,0,3,2,0,3,0,0,3
25,2,2,0,0,0,0,1,1,2,0,2,3,3,2,1,0,4,0,2,3,0,2,3,2,1,1,2,2,1,1,0,0,0,0,0,1,1,1,0,4
26,1,0,2,0,0,1,1,0,3,1,1,1,4,3,1,3,0,1,0,1,1,0,0,2,0,1,1,4,1,1,4,1,0,4,4,0,3,4,1,0
27,3,0,0,3,4,1,3,1,0,1,1,3,3,0,0,3,1,0,1,0,1,4,1,1,1,0,2,0,0,2,0,1,0,1,1,4,1,1,4,1
28,4,0,3,0,0,4,4,0,2,1,1,3,2,1,1,0,0,4,3,0,1,1,0,1,1,1,1,2,0,3,2,2,3,1,1,2,2,2,0,3
29,2,0,0,3,1,0,0,1,1,3,1,0,3,0,4,2,0,1,2,1,2,4,0,0,3,1,0,0,2,1,1,0,1,2,0,2,1,2,0,1
30,5,0,2,0,1,4,6,0,0,2,0,5,6,3,2,3,3,2,3,2,2,0,0,1,4,1,0,2,0,2,0,6,3,6,2,0,2,3,1,0
31,1,1,4,1,1,4,0,1,2,1,1,3,4,0,4,0,0,4,3,1,0,3,1,0,1,0,1,2,3,3,1,1,3,3,0,1,3,0,0,4
32,4,1,4,0,1,2,3,0,1,2,2,1,2,1,1,4,5,1,3,0,0,1,3,0,0,3,1,5,1,0,0,3,0,3,1,0,0,1,0,4
33,2,3,3,1,0,1,1,0,1,3,1,0,3,2,0,1,3,3,1,0,0,1,1,0,1,0,0,1,3,3,3,1,1,0,1,3,0,1,0,1
