,Man City scored,Man City received,Man United scored,Man United received,Aston Villa scored,Aston Villa received,Chelsea scored,Chelsea received,West Ham scored,West Ham received,Fulham scored,Fulham received,Liverpool scored,Liverpool received,Southampton scored,Southampton received,Tottenham scored,Tottenham received,Everton scored,Everton received,Norwich scored,Norwich received,Crystal Palace scored,Crystal Palace received,Stoke scored,Stoke received,Sunderland scored,Sunderland received,West Brom scored,West Brom received,Arsenal scored,Arsenal received,Cardiff scored,Cardiff received,Hull scored,Hull received,Swansea scored,Swansea received,Newcastle scored,Newcastle received
0,4,0,4,1,3,1,2,0,2,0,1,0,1,0,1,0,1,0,2,2,2,2,0,1,0,1,0,1,0,1,1,3,0,2,0,2,1,4,0,4
1,6,3,4,1,3,2,2,0,2,0,2,3,2,0,2,1,2,0,2,2,2,3,1,3,2,2,1,2,0,1,4,4,3,4,1,2,1,5,0,4
2,8,3,4,2,4,4,4,1,2,1,2,4,3,0,2,2,2,1,2,2,3,3,4,4,3,2,2,5,0,3,5,4,3,4,1,4,3,5,1,4
3,8,3,6,2,5,6,4,2,2,1,3,5,5,2,2,2,4,1,3,2,3,5,4,6,3,2,3,8,1,4,8,5,4,5,2,5,5,7,3,5
4,12,4,7,6,6,6,6,2,4,4,3,7,5,3,3,2,5,1,6,4,3,6,4,8,4,5,3,11,4,4,11,6,4,6,5,7,7,7,5,8
5,14,7,8,8,9,8,7,3,4,5,4,9,8,4,5,2,6,2,9,6,4,6,4,10,4,6,4,14,6,5,13,7,6,7,6,7,8,9,7,11
6,17,8,10,9,9,8,10,4,7,5,5,9,11,5,7,2,6,5,10,9,5,9,5,13,4,7,5,16,7,6,14,8,7,9,6,7,8,11,9,12
7,20,9,11,10,9,10,14,5,8,8,9,10,13,7,8,3,8,5,12,10,6,13,6,17,4,7,5,20,7,6,18,9,8,13,7,9,12,11,11,14
8,21,11,14,12,9,12,16,6,8,8,9,12,17,8,10,3,9,5,14,10,6,13,6,19,6,10,7,21,8,10,20,9,8,13,7,10,12,11,12,16
9,28,11,17,13,9,12,16,8,8,8,10,15,17,10,11,4,9,5,14,10,6,20,6,21,7,11,7,22,10,10,22,9,9,13,8,10,12,12,14,16
10,28,12,18,13,11,12,18,10,9,11,10,19,21,10,15,5,9,6,14,10,9,21,6,21,10,14,8,22,12,12,22,10,9,15,9,14,15,15,15,16
11,34,12,20,15,13,14,21,10,9,14,11,21,24,13,15,7,9,12,17,13,10,23,7,21,12,14,8,24,14,14,24,10,11,17,9,15,17,16,17,17
12,37,12,22,17,13,14,24,11,12,14,11,24,25,16,16,10,11,14,21,13,11,23,7,22,12,18,8,24,15,16,27,10,11,20,12,16,17,19,19,18
13,40,14,22,18,16,16,28,14,12,15,12,26,30,17,18,13,13,15,22,13,12,28,8,22,12,18,11,28,17,19,29,10,11,20,12,18,20,19,19,21
14,41,15,22,19,16,18,30,17,13,19,14,26,34,18,19,14,15,16,23,14,14,28,10,22,15,20,12,30,17,21,30,11,11,22,13,19,21,20,20,21
15,47,18,25,19,16,21,32,18,13,19,15,30,39,18,20,15,15,21,27,15,15,29,11,24,15,20,12,30,17,22,33,17,12,22,13,19,22,21,21,22
16,51,20,28,20,17,23,32,18,14,22,17,34,42,19,22,18,18,23,29,16,15,29,11,27,17,21,12,30,18,23,33,17,13,25,14,20,23,23,24,22
17,53,21,31,22,17,24,33,18,15,25,19,35,43,21,25,18,19,24,29,17,16,31,12,27,18,26,13,30,19,24,36,18,13,28,16,23,23,24,29,23
18,54,21,32,22,18,25,35,19,18,28,19,41,44,23,26,20,22,24,31,18,16,32,12,28,18,29,15,32,22,27,37,18,15,30,22,23,24,25,29,24
19,57,23,33,24,19,25,38,19,19,30,21,42,46,23,26,23,24,25,32,19,17,33,13,29,19,30,15,33,23,27,39,18,15,32,22,25,26,28,29,25
20,59,23,35,24,20,27,40,19,21,30,22,46,51,26,27,23,26,25,34,19,17,35,13,31,22,35,19,34,23,28,41,19,15,34,22,27,26,30,29,27
21,63,25,36,27,22,29,43,20,22,33,22,48,53,28,29,25,29,26,35,20,18,35,14,31,22,36,21,36,24,29,43,19,17,38,22,28,27,33,32,28
22,68,26,38,27,26,32,43,20,22,33,22,50,57,28,31,27,30,31,35,24,18,35,15,31,22,37,22,36,27,33,45,21,17,40,22,29,29,33,32,28
23,68,27,39,29,27,34,44,20,24,33,22,53,58,29,34,27,31,32,37,25,19,37,15,33,24,38,25,36,28,34,47,21,19,41,23,30,29,35,32,31
24,68,27,41,31,27,36,47,20,26,33,24,55,63,30,36,29,32,32,37,26,19,37,18,34,26,40,25,38,29,37,48,26,19,44,25,30,32,35,32,34
25,70,29,41,31,27,36,48,21,28,33,26,58,66,32,37,29,36,32,39,29,19,39,21,36,27,41,27,40,30,38,48,26,19,44,25,31,33,36,32,38
26,71,29,43,31,27,37,49,21,31,34,27,59,70,35,38,32,36,33,39,30,20,39,21,38,27,42,28,44,31,39,52,27,19,48,29,31,36,40,33,38
27,74,29,43,34,31,38,52,22,31,35,28,62,73,35,38,35,37,33,40,30,21,43,22,39,28,42,30,44,31,41,52,28,19,49,30,35,37,41,37,39
28,78,29,46,34,31,42,56,22,33,36,29,65,75,36,39,35,37,37,43,30,22,44,22,40,29,43,31,46,31,44,54,30,22,50,31,37,39,43,37,42
29,80,29,46,37,32,42,56,23,34,39,30,65,78,36,43,37,37,38,45,31,24,48,22,40,32,44,31,46,33,45,55,30,23,52,31,39,40,45,37,43
30,85,29,48,37,33,46,62,23,34,41,30,70,84,39,45,40,40,40,48,33,26,48,22,41,36,45,31,48,33,47,55,36,26,58,33,39,42,48,38,43
31,86,30,52,38,34,50,62,24,36,42,31,73,88,39,49,40,40,44,51,34,26,51,23,41,37,45,32,50,36,50,56,37,29,61,33,40,45,48,38,47
32,90,31,56,38,35,52,65,24,37,44,33,74,90,40,50,44,45,45,54,34,26,52,26,41,37,48,33,55,37,50,56,40,29,64,34,40,45,49,38,51
33,92,34,59,39,35,53,66,24,38,47,34,74,93,42,50,45,48,48,55,34,26,53,27,41,38,48,33,56,40,53,59,41,30,64,35,43,45,50,38,52
