,Chelsea scored,Chelsea received,Man City scored,Man City received,Arsenal scored,Arsenal received,Liverpool scored,Liverpool received,Swansea scored,Swansea received,Aston Villa scored,Aston Villa received,Hull scored,Hull received,Tottenham scored,Tottenham received,Everton scored,Everton received,Leicester scored,Leicester received,Sunderland scored,Sunderland received,West Brom scored,West Brom received,Crystal Palace scored,Crystal Palace received,Man United scored,Man United received,Southampton scored,Southampton received,QPR scored,QPR received,Stoke scored,Stoke received,West Ham scored,West Ham received,Burnley scored,Burnley received,Newcastle scored,Newcastle received
0,3,1,2,0,2,1,2,1,2,1,1,0,1,0,1,0,2,2,2,2,2,2,2,2,1,2,1,2,1,2,0,1,0,1,0,1,1,3,0,2
1,5,1,5,1,4,3,3,4,3,1,1,0,2,1,5,0,4,4,2,4,3,3,2,2,2,5,2,3,1,2,0,5,1,2,3,2,1,4,0,2
2,11,4,5,2,5,4,6,4,6,1,3,1,3,3,5,3,7,10,3,5,3,4,2,5,5,8,2,3,4,3,1,5,2,2,4,5,1,4,3,5
3,15,6,7,4,7,6,6,5,8,5,4,1,5,5,7,5,9,10,4,5,5,6,2,7,5,8,6,3,8,3,1,9,2,3,6,7,1,4,3,9
4,16,7,8,5,10,6,7,8,8,6,4,4,7,7,7,6,11,13,9,8,5,6,3,7,8,10,9,8,9,3,3,11,4,5,9,8,1,4,5,11
5,19,7,12,7,11,7,8,9,8,6,4,7,9,11,8,7,12,14,9,10,5,6,7,7,10,10,11,9,11,4,4,13,5,5,10,10,1,8,5,12
6,21,7,14,7,11,9,10,10,10,8,4,9,11,11,9,7,13,16,11,12,8,7,8,9,10,12,13,10,11,5,4,15,6,8,12,10,3,10,7,14
7,23,8,18,8,13,11,13,12,11,10,4,12,13,13,10,11,16,16,11,13,8,15,10,11,11,14,15,12,19,5,6,18,8,9,15,11,4,13,8,14
8,24,9,19,10,15,11,13,12,13,10,4,14,13,13,11,13,19,17,11,15,8,17,12,13,13,16,16,13,20,5,8,18,8,10,17,12,5,16,10,15
9,26,10,20,10,18,11,13,13,13,10,5,16,13,14,13,14,19,17,11,16,11,18,13,13,14,19,16,14,21,5,9,20,10,12,19,14,5,19,11,15
10,28,11,22,12,19,13,14,15,15,11,5,16,13,15,14,16,20,18,11,18,12,19,13,15,14,20,17,14,23,5,11,22,12,13,19,14,6,19,13,15
11,30,11,24,13,20,15,15,18,16,13,6,17,14,17,16,17,22,19,11,18,12,19,13,17,17,21,19,15,24,6,11,23,13,15,20,16,8,20,14,15
12,30,11,27,13,21,15,16,18,17,14,7,18,14,20,18,18,23,21,13,21,12,19,13,18,18,22,22,15,24,9,14,25,13,16,21,16,9,21,14,16
13,33,11,31,14,22,15,19,19,19,14,8,18,15,21,18,21,24,22,14,24,13,23,14,20,18,23,24,16,24,10,14,27,14,18,23,17,10,22,15,17
14,34,13,32,14,24,18,19,19,20,17,10,19,15,21,18,21,24,23,15,26,13,23,14,20,18,23,26,17,25,12,16,27,17,20,26,18,10,24,17,18
15,36,13,33,14,28,19,19,22,21,19,10,20,15,23,20,22,27,24,15,27,14,24,15,20,19,24,29,17,25,13,17,30,18,21,27,19,11,24,18,22
16,38,13,36,14,30,21,21,24,22,19,11,21,15,24,22,23,27,27,15,29,15,24,17,23,19,27,30,18,28,13,20,32,18,23,29,19,12,26,18,23
17,40,13,39,15,32,22,22,24,23,19,11,22,18,25,24,24,27,28,16,31,16,27,18,26,20,30,33,19,31,14,21,34,19,23,29,21,12,27,19,26
18,41,14,41,17,34,23,26,25,24,23,11,22,18,26,24,24,29,31,17,31,16,27,18,28,20,30,33,19,32,15,21,34,21,23,30,23,14,29,22,28
19,44,19,44,19,34,25,28,27,25,24,11,22,20,26,29,27,29,33,19,33,18,30,19,29,20,30,34,20,34,15,22,35,22,24,31,24,17,32,25,31
20,46,19,45,20,37,25,29,27,26,25,11,23,20,27,30,29,30,34,20,33,18,31,20,29,22,31,34,21,35,15,23,37,22,27,32,25,19,33,25,33
21,51,19,45,22,39,25,31,27,26,30,11,25,20,30,32,30,30,34,20,34,19,33,20,29,25,33,36,21,37,16,23,39,23,27,35,25,21,36,26,35
