,Man City scored,Man City received,Leicester scored,Leicester received,Crystal Palace scored,Crystal Palace received,West Ham scored,West Ham received,Aston Villa scored,Aston Villa received,Liverpool scored,Liverpool received,Man United scored,Man United received,Chelsea scored,Chelsea received,Everton scored,Everton received,Newcastle scored,Newcastle received,Southampton scored,Southampton received,Swansea scored,Swansea received,Watford scored,Watford received,Bournemouth scored,Bournemouth received,Stoke scored,Stoke received,Tottenham scored,Tottenham received,Sunderland scored,Sunderland received,Norwich scored,Norwich received,Arsenal scored,Arsenal received,West Brom scored,West Brom received
0,3,0,4,2,3,1,2,0,1,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,2,4,1,3,0,2,0,3
1,3,0,2,1,1,2,1,2,0,1,1,0,1,0,0,3,3,0,0,2,0,3,2,0,0,0,0,1,2,2,2,2,1,3,3,1,2,1,0,0
2,2,0,1,1,2,1,3,4,1,2,0,0,0,0,3,2,0,2,0,0,0,0,1,1,0,0,4,3,1,1,1,1,1,1,1,1,0,0,2,3
3,2,0,1,1,2,1,3,0,2,2,0,3,1,2,1,2,0,0,0,1,3,0,2,1,0,2,1,1,0,1,0,0,2,2,0,3,1,0,1,0
4,1,0,3,2,0,1,2,0,2,3,1,3,3,1,1,3,3,1,0,2,0,0,0,1,1,0,1,3,0,2,1,0,0,1,3,1,2,0,0,0
5,1,2,2,2,0,1,2,1,0,1,1,1,3,2,2,0,0,0,1,2,2,3,0,0,2,1,2,0,2,2,1,0,0,2,1,1,0,2,1,0
6,1,4,2,5,1,0,2,2,2,3,3,2,3,0,2,2,3,2,2,2,3,1,1,3,0,1,1,2,2,1,4,1,0,3,2,2,5,2,2,3
7,6,1,2,1,2,0,2,2,0,1,1,1,0,3,1,3,1,1,1,6,3,1,2,2,1,1,1,1,1,0,2,2,2,2,1,2,3,0,0,2
8,5,1,2,2,1,3,3,1,0,2,0,0,3,0,2,0,0,3,6,2,2,2,0,1,0,3,1,5,1,0,0,0,0,1,2,6,3,0,1,0
9,0,0,1,0,0,1,2,1,1,2,1,1,0,0,1,2,1,2,0,3,1,1,2,1,2,0,1,5,0,2,5,1,3,0,0,1,2,1,1,0
10,2,1,3,2,0,0,0,2,1,3,3,1,0,0,1,3,6,2,0,0,2,0,0,3,2,0,0,2,0,0,3,1,2,6,1,2,3,0,2,3
11,0,0,2,1,2,1,1,1,0,0,1,2,2,0,0,1,1,1,1,0,1,0,0,1,1,2,0,1,1,0,1,1,0,1,1,0,1,1,0,2
12,1,4,3,0,0,1,1,4,0,4,4,1,2,1,1,0,4,0,0,3,0,1,2,2,1,2,2,2,1,0,4,1,1,0,0,1,1,2,2,1
13,3,1,1,1,5,1,1,1,2,3,1,0,1,1,0,0,3,3,1,5,1,3,0,1,3,2,3,3,0,2,0,0,2,0,1,1,1,1,1,1
14,0,2,3,0,1,1,0,0,1,1,0,2,0,0,0,1,1,1,2,0,1,1,0,3,2,0,1,0,2,0,1,1,1,3,0,2,3,1,1,1
15,2,1,2,1,1,0,0,0,0,2,2,2,1,2,1,2,1,1,2,1,0,1,1,2,1,0,2,1,0,0,1,2,0,1,1,1,2,0,2,2
16,1,2,3,2,2,1,0,0,1,1,0,3,1,2,3,1,2,3,1,1,0,2,0,0,3,0,2,1,1,2,2,0,1,3,2,1,2,1,1,2
17,4,1,0,1,0,0,1,1,1,1,1,0,0,2,2,2,1,0,0,1,4,0,1,0,2,2,0,0,2,0,3,0,1,4,0,3,0,4,0,1
18,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,3,4,0,1,1,2,0,0,1,2,0,2,4,3,2,1,0,1,2,0,2,0,1,0
19,2,1,0,0,0,3,2,0,1,3,0,2,2,1,3,0,1,1,0,1,0,1,1,2,1,2,0,0,1,2,1,1,3,1,1,0,1,0,2,1
20,0,0,1,0,0,1,3,1,1,0,3,3,3,3,2,2,0,0,3,3,2,0,2,4,0,2,1,3,3,1,0,1,4,2,1,3,3,3,2,2
21,4,0,1,1,0,4,1,2,1,1,0,1,1,0,3,3,3,3,2,1,3,0,1,0,0,1,3,0,0,0,4,1,1,4,0,3,0,0,0,3
22,2,2,3,0,1,3,2,2,0,0,5,4,0,1,1,0,1,2,1,2,1,0,2,1,2,1,1,1,0,3,3,1,1,1,4,5,0,1,0,0
23,1,0,2,0,1,2,2,0,0,2,0,2,3,0,0,0,3,0,0,3,0,0,1,1,0,0,2,1,0,3,3,0,0,1,0,3,0,0,1,1
24,1,3,3,1,1,1,0,1,2,0,2,2,1,1,1,1,3,0,1,0,1,0,1,1,0,1,0,2,0,3,1,0,2,2,0,2,2,0,0,1
25,1,2,1,2,1,2,2,2,0,6,6,0,1,2,5,1,0,1,1,5,1,0,0,1,2,1,1,3,3,1,2,1,2,1,2,2,2,1,1,0
26,1,1,1,0,2,3,1,0,1,2,4,0,3,2,2,1,0,4,1,1,1,2,1,2,0,0,0,0,2,1,2,1,0,1,0,1,2,3,3,2
27,0,3,2,2,2,2,1,0,1,3,3,0,1,0,2,1,3,1,0,1,0,2,2,1,0,1,2,0,1,0,0,1,2,2,1,2,1,2,2,2
28,4,0,1,0,1,2,3,2,0,4,2,1,0,1,1,1,2,3,1,3,1,1,1,0,0,1,3,1,1,1,2,2,1,1,0,1,2,2,1,0
29,0,0,1,0,0,2,3,1,0,2,1,1,2,0,1,1,0,3,0,1,2,1,2,3,1,3,3,2,1,2,2,0,3,0,0,0,2,0,0,2
30,0,1,1,0,0,1,2,2,0,1,2,3,1,0,2,2,0,2,1,1,3,2,1,0,1,2,0,3,2,1,3,0,1,1,1,0,2,0,0,1
31,4,0,1,0,2,2,2,2,0,4,1,1,1,0,4,0,0,1,2,3,0,1,2,2,0,4,0,4,2,2,1,1,0,0,3,2,4,0,0,0
32,2,1,2,0,1,0,3,3,1,2,4,1,0,3,0,1,1,1,1,3,3,1,1,0,1,1,2,1,1,4,3,0,0,2,0,1,3,3,1,2
33,3,0,2,2,1,1,2,2,0,1,2,1,1,0,0,3,1,1,3,0,1,1,0,3,1,0,1,2,0,4,4,0,3,0,0,3,1,1,0,1
