,Man United scored,Man United received,Liverpool scored,Liverpool received,Chelsea scored,Chelsea received,Hull scored,Hull received,Man City scored,Man City received,Swansea scored,Swansea received,West Brom scored,West Brom received,Everton scored,Everton received,Middlesbrough scored,Middlesbrough received,Southampton scored,Southampton received,Stoke scored,Stoke received,Tottenham scored,Tottenham received,Watford scored,Watford received,Arsenal scored,Arsenal received,Leicester scored,Leicester received,Sunderland scored,Sunderland received,West Ham scored,West Ham received,Burnley scored,Burnley received,Crystal Palace scored,Crystal Palace received,Bournemouth scored,Bournemouth received
0,3,1,4,3,2,1,2,1,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,2,1,2,1,2,0,1,0,1,1,3
1,5,1,4,5,4,2,4,1,6,2,1,2,2,2,3,2,3,2,1,3,2,5,2,1,2,3,3,4,1,2,2,4,2,2,2,1,0,2,1,4
2,6,1,5,6,7,2,4,2,9,3,2,4,2,2,4,2,3,2,2,4,2,6,3,2,3,6,6,5,3,3,3,5,3,5,2,4,1,3,2,5
3,7,3,9,7,9,4,5,3,11,4,4,6,2,3,7,2,4,4,3,6,2,10,7,2,7,8,8,6,4,7,3,8,5,9,3,5,3,4,3,5
4,8,6,11,8,10,6,6,7,15,4,4,7,6,5,10,3,5,7,4,6,3,14,8,2,10,9,12,7,7,7,3,9,7,13,3,8,7,5,3,9
5,12,7,16,9,10,9,7,12,18,5,5,10,7,6,10,4,6,9,7,6,4,15,10,3,10,11,15,7,8,11,5,12,7,16,5,8,10,7,4,9
6,13,8,18,10,12,9,7,14,18,7,6,12,8,7,11,5,7,10,7,6,5,16,12,3,12,13,16,7,8,11,6,13,8,17,5,9,11,8,6,11
7,13,8,18,10,15,9,8,20,19,8,8,15,9,8,12,6,7,11,10,7,7,16,13,4,13,13,19,9,8,14,6,15,9,17,6,12,11,9,12,12
8,13,12,20,11,19,9,8,22,20,9,8,15,10,10,13,8,7,11,11,8,9,16,13,4,13,13,19,9,11,15,6,16,10,17,8,13,12,12,12,12
9,13,12,24,13,21,9,8,23,24,9,9,18,10,14,15,8,9,11,11,10,12,17,14,5,14,13,23,10,12,16,7,20,10,19,8,13,14,16,12,14
10,16,13,30,14,26,9,10,24,25,10,10,21,12,15,15,13,10,12,12,12,13,18,15,6,15,19,24,11,13,18,9,21,11,20,11,15,16,19,13,16
11,17,14,30,14,27,9,10,27,27,11,11,22,16,15,16,14,10,13,12,12,13,19,18,8,17,20,25,12,14,20,12,21,13,23,11,19,17,21,14,16
12,18,15,32,14,29,10,11,28,29,12,16,26,17,16,16,15,12,15,13,12,14,19,19,10,17,21,28,13,16,22,12,23,14,24,12,21,21,26,15,19
13,19,16,35,18,32,11,11,29,30,15,16,31,20,17,17,16,13,15,13,15,16,19,24,10,18,24,33,14,17,24,14,24,15,29,12,23,24,26,19,22
14,20,16,37,20,33,11,14,32,32,19,19,31,20,18,19,19,13,16,14,15,17,22,24,11,21,26,36,15,21,26,14,27,17,31,15,25,27,29,21,25
15,22,17,40,20,34,11,14,35,34,19,20,34,23,19,21,20,13,19,14,15,17,22,27,11,21,28,37,17,21,27,14,28,18,31,15,26,28,31,22,25
16,24,17,41,20,35,11,14,36,36,20,20,37,23,21,21,21,16,19,17,16,19,24,29,12,21,29,38,19,23,29,15,28,19,31,16,28,28,32,23,28
17,27,18,45,21,38,11,14,39,39,20,21,41,23,22,23,21,16,20,18,20,20,28,33,13,22,30,39,19,23,31,16,31,23,32,17,28,29,33,23,31
18,29,19,46,21,42,13,16,41,39,21,21,44,25,23,25,23,17,22,19,22,22,32,37,14,23,34,41,19,24,31,17,35,23,33,21,29,29,35,26,31
19,31,19,48,23,42,15,17,44,41,22,23,45,28,24,28,23,17,22,19,25,24,32,39,14,23,36,44,22,24,31,19,37,23,35,22,31,30,37,29,34
20,32,20,49,24,45,15,20,45,41,26,23,49,28,28,32,23,17,22,19,26,27,33,43,14,23,36,48,22,24,34,20,40,26,35,23,31,30,40,30,37
21,33,21,51,27,47,15,20,47,43,28,26,51,30,28,33,23,18,25,22,26,28,34,45,16,25,38,50,23,24,37,20,42,29,36,24,33,30,41,32,39
22,33,21,52,28,48,16,20,47,47,28,28,52,31,29,34,24,19,26,23,28,29,35,45,16,27,39,51,25,24,38,20,42,29,40,25,33,32,41,32,41
23,36,21,52,30,51,17,22,47,49,29,29,54,32,29,40,27,19,27,24,31,29,36,46,16,29,40,52,28,24,41,24,42,32,41,26,35,32,45,35,47
