,Man United scored,Man United received,Huddersfield scored,Huddersfield received,Man City scored,Man City received,Tottenham scored,Tottenham received,Arsenal scored,Arsenal received,Burnley scored,Burnley received,Everton scored,Everton received,West Brom scored,West Brom received,Liverpool scored,Liverpool received,Watford scored,Watford received,Southampton scored,Southampton received,Swansea scored,Swansea received,Leicester scored,Leicester received,Chelsea scored,Chelsea received,Bournemouth scored,Bournemouth received,Stoke scored,Stoke received,Brighton scored,Brighton received,Newcastle scored,Newcastle received,Crystal Palace scored,Crystal Palace received,West Ham scored,West Ham received
0,4,0,3,0,2,0,2,0,4,3,3,2,1,0,1,0,3,3,3,3,0,0,0,0,3,4,2,3,0,1,0,1,0,2,0,2,0,3,0,4
1,4,0,1,0,1,1,1,2,0,1,0,1,1,1,1,0,1,0,2,0,3,2,0,4,2,0,2,1,0,2,1,0,0,2,0,1,0,1,2,3
2,2,0,0,0,2,1,1,1,0,4,1,1,0,2,1,1,4,0,0,0,0,0,2,0,0,2,2,0,1,2,1,1,0,0,3,0,0,2,0,3
3,2,2,0,2,5,0,3,0,3,0,1,0,0,3,1,3,0,5,2,0,0,2,0,1,1,2,2,1,0,3,2,2,3,1,1,0,0,1,2,0
4,4,0,1,1,6,0,0,0,0,0,1,1,0,4,0,0,1,1,0,6,1,0,0,0,1,1,0,0,2,1,1,2,1,2,2,1,0,1,0,0
5,1,0,0,0,5,0,3,2,2,0,0,0,2,1,0,2,3,2,2,1,0,1,1,2,2,3,4,0,1,2,0,4,1,0,0,1,0,5,2,3
6,4,0,0,4,1,0,4,0,2,0,1,0,0,1,2,2,1,1,2,2,1,2,0,1,0,0,0,1,0,0,2,1,0,2,1,1,0,4,1,0
7,0,0,0,2,7,2,1,0,1,2,1,1,1,1,1,1,0,0,2,1,2,2,2,0,1,1,1,2,0,1,2,7,1,1,2,2,2,1,1,1
8,1,2,2,1,3,0,4,1,5,2,0,3,2,5,0,1,1,4,2,4,1,0,1,2,2,1,4,2,2,1,1,2,3,0,1,0,0,1,0,3
9,1,0,0,3,3,2,0,1,2,1,1,0,0,2,2,3,3,0,0,1,1,1,1,2,2,0,1,0,0,1,1,0,1,1,0,1,2,2,2,2
10,0,1,1,0,3,1,1,0,1,3,1,0,3,2,0,1,4,1,2,3,0,1,0,1,2,2,1,0,1,0,2,2,1,0,0,1,0,1,1,4
11,4,1,0,4,2,0,0,2,2,0,2,0,2,2,0,4,3,0,2,0,0,3,0,2,0,2,4,0,4,0,2,2,2,2,1,4,2,2,0,2
12,1,0,1,2,2,1,1,1,1,0,0,1,1,4,1,1,1,1,3,0,4,1,0,0,1,1,1,1,0,0,1,2,0,1,0,3,2,1,1,1
13,4,2,0,5,2,1,1,2,5,0,2,1,4,0,2,2,3,0,2,4,1,2,0,1,2,1,1,0,1,2,0,3,0,0,2,2,0,0,0,4
14,3,1,0,2,2,1,1,1,1,3,0,1,2,0,0,0,5,1,1,1,1,1,1,2,1,0,3,1,1,1,2,1,1,5,1,3,0,0,1,2
15,1,2,2,0,2,1,5,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,3,2,0,1,2,2,1,5,0,2,2,3,2,2,1,0
16,1,0,1,3,4,0,2,0,0,0,1,0,1,0,0,0,0,0,1,2,1,4,0,4,4,1,3,1,0,1,0,1,0,2,0,1,2,1,0,0
17,2,1,4,1,4,1,1,4,1,0,0,0,3,1,1,2,4,0,1,4,0,1,1,3,0,3,1,0,0,4,0,3,0,0,0,1,3,0,3,0
18,2,2,1,1,4,0,3,0,3,3,0,3,0,0,1,3,3,3,0,1,1,1,1,1,2,2,0,0,0,4,3,1,1,0,3,2,1,1,2,3
19,2,2,1,1,1,0,5,2,3,2,2,2,0,0,0,0,5,0,2,1,2,5,0,5,1,2,2,0,3,3,1,1,0,2,0,1,2,3,3,3
20,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,1,2,1,1,2,0,0,2,1,1,2,5,0,2,1,0,5,0,0,0,0,0,0,1,1
21,2,0,0,3,3,1,2,0,2,2,1,2,0,2,1,2,2,1,1,3,1,2,0,2,3,0,2,2,2,2,0,1,2,2,1,0,2,1,2,1
22,3,0,1,4,3,4,4,0,1,2,0,1,0,4,2,0,4,3,2,2,2,2,1,1,0,0,0,0,2,1,0,3,0,2,1,1,1,0,4,1
23,1,0,0,2,3,1,1,1,4,1,0,1,1,1,1,1,0,1,0,2,1,1,1,0,2,0,4,0,1,1,2,0,0,4,1,3,1,4,1,1
24,0,2,0,3,3,0,2,0,1,3,1,1,2,1,0,3,3,0,0,0,1,1,3,1,1,2,0,3,3,0,0,0,1,1,1,1,1,1,1,1
