,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Man United,Huddersfield,Man City,Tottenham,Arsenal,Burnley,Everton,West Brom,Liverpool,Watford,Southampton,Swansea,Leicester,Chelsea,Bournemouth,Stoke,Brighton,Newcastle,Crystal Palace,West Ham
1,Man United,Huddersfield,West Brom,Watford,Man City,Liverpool,Southampton,Everton,Leicester,Tottenham,Arsenal,Chelsea,Burnley,Stoke,Swansea,Bournemouth,Newcastle,Brighton,Crystal Palace,West Ham
2,Man United,Liverpool,Huddersfield,Man City,West Brom,Chelsea,Watford,Southampton,Tottenham,Burnley,Stoke,Everton,Swansea,Newcastle,Leicester,Arsenal,Brighton,Bournemouth,Crystal Palace,West Ham
3,Man United,Man City,Chelsea,Watford,Tottenham,Huddersfield,Burnley,Liverpool,West Brom,Newcastle,Arsenal,Stoke,Southampton,Brighton,Swansea,Everton,Leicester,West Ham,Bournemouth,Crystal Palace
4,Man City,Man United,Chelsea,Newcastle,Tottenham,Huddersfield,Burnley,Liverpool,Southampton,West Brom,Watford,Arsenal,Stoke,Swansea,Leicester,Brighton,West Ham,Everton,Bournemouth,Crystal Palace
5,Man City,Man United,Chelsea,Tottenham,Liverpool,Watford,Arsenal,Huddersfield,Burnley,Newcastle,Southampton,West Brom,Brighton,Everton,Swansea,Stoke,Leicester,West Ham,Bournemouth,Crystal Palace
6,Man City,Man United,Tottenham,Chelsea,Arsenal,Burnley,Liverpool,Watford,Newcastle,West Brom,Huddersfield,Southampton,Stoke,Brighton,West Ham,Everton,Leicester,Swansea,Bournemouth,Crystal Palace
7,Man City,Man United,Tottenham,Watford,Chelsea,Arsenal,Burnley,Liverpool,Newcastle,West Brom,Southampton,Huddersfield,Swansea,Brighton,West Ham,Everton,Stoke,Leicester,Bournemouth,Crystal Palace
8,Man City,Man United,Tottenham,Chelsea,Arsenal,Watford,Newcastle,Burnley,Liverpool,Southampton,Huddersfield,Brighton,West Brom,Leicester,Swansea,West Ham,Stoke,Everton,Bournemouth,Crystal Palace
9,Man City,Man United,Tottenham,Chelsea,Arsenal,Liverpool,Burnley,Watford,Newcastle,Southampton,Leicester,Brighton,Huddersfield,Stoke,West Brom,West Ham,Swansea,Everton,Bournemouth,Crystal Palace
