,Man United scored,Man United received,Huddersfield scored,Huddersfield received,Man City scored,Man City received,Tottenham scored,Tottenham received,Arsenal scored,Arsenal received,Burnley scored,Burnley received,Everton scored,Everton received,West Brom scored,West Brom received,Liverpool scored,Liverpool received,Watford scored,Watford received,Southampton scored,Southampton received,Swansea scored,Swansea received,Leicester scored,Leicester received,Chelsea scored,Chelsea received,Bournemouth scored,Bournemouth received,Stoke scored,Stoke received,Brighton scored,Brighton received,Newcastle scored,Newcastle received,Crystal Palace scored,Crystal Palace received,West Ham scored,West Ham received
0,4,0,3,0,2,0,2,0,4,3,3,2,1,0,1,0,3,3,3,3,0,0,0,0,3,4,2,3,0,1,0,1,0,2,0,2,0,3,0,4
1,8,0,4,0,3,1,3,2,4,4,3,3,2,1,2,0,4,3,5,3,3,2,0,4,5,4,4,4,0,3,1,1,0,4,0,3,0,4,2,7
2,10,0,4,0,5,2,4,3,4,8,4,4,2,3,3,1,8,3,5,3,3,2,2,4,5,6,6,4,1,5,2,2,0,4,3,3,0,6,2,10
3,12,2,4,2,10,2,7,3,7,8,5,4,2,6,4,4,8,8,7,3,3,4,2,5,6,8,8,5,1,8,4,4,3,5,4,3,0,7,4,10
4,16,2,5,3,16,2,7,3,7,8,6,5,2,10,4,4,9,9,7,9,4,4,2,5,7,9,8,5,3,9,5,6,4,7,6,4,0,8,4,10
5,17,2,5,3,21,2,10,5,9,8,6,5,4,11,4,6,12,11,9,10,4,5,3,7,9,12,12,5,4,11,5,10,5,7,6,5,0,13,6,13
6,21,2,5,7,22,2,14,5,11,8,7,5,4,12,6,8,13,12,11,12,5,7,3,8,9,12,12,6,4,11,7,11,5,9,7,6,0,17,7,13
7,21,2,5,9,29,4,15,5,12,10,8,6,5,13,7,9,13,12,13,13,7,9,5,8,10,13,13,8,4,12,9,18,6,10,9,8,2,18,8,14
8,22,4,7,10,32,4,19,6,17,12,8,9,7,18,7,10,14,16,15,17,8,9,6,10,12,14,17,10,6,13,10,20,9,10,10,8,2,19,8,17
9,23,4,7,13,35,6,19,7,19,13,9,9,7,20,9,13,17,16,15,18,9,10,7,12,14,14,18,10,6,14,11,20,10,11,10,9,4,21,10,19
10,23,5,8,13,38,7,20,7,20,16,10,9,10,22,9,14,21,17,17,21,9,11,7,13,16,16,19,10,7,14,13,22,11,11,10,10,4,22,11,23
11,27,6,8,17,40,7,20,9,22,16,12,9,12,24,9,18,24,17,19,21,9,14,7,15,16,18,23,10,11,14,15,24,13,13,11,14,6,24,11,25
12,28,6,9,19,42,8,21,10,23,16,12,10,13,28,10,19,25,18,22,21,13,15,7,15,17,19,24,11,11,14,16,26,13,14,11,17,8,25,12,26
13,32,8,9,24,44,9,22,12,28,16,14,11,17,28,12,21,28,18,24,25,14,17,7,16,19,20,25,11,12,16,16,29,13,14,13,19,8,25,12,30
14,35,9,9,26,46,10,23,13,29,19,14,12,19,28,12,21,33,19,25,26,15,18,8,18,20,20,28,12,13,17,18,30,14,19,14,22,8,25,13,32
15,36,11,11,26,48,11,28,14,30,20,15,12,20,29,12,22,34,20,25,27,16,19,9,18,23,22,28,13,15,19,19,35,14,21,16,25,10,27,14,32
16,37,11,12,29,52,11,30,14,30,20,16,12,21,29,12,22,34,20,26,29,17,23,9,22,27,23,31,14,15,20,19,36,14,23,16,26,12,28,14,32
17,39,12,16,30,56,12,31,18,31,20,16,12,24,30,13,24,38,20,27,33,17,24,10,25,27,26,32,14,15,24,19,39,14,23,16,27,15,28,17,32
18,41,14,17,31,60,12,34,18,34,23,16,15,24,30,14,27,41,23,27,34,18,25,11,26,29,28,32,14,15,28,22,40,15,23,19,29,16,29,19,35
19,43,16,18,32,61,12,39,20,37,25,18,17,24,30,14,27,46,23,29,35,20,30,11,31,30,30,34,14,18,31,23,41,15,25,19,30,18,32,22,38
20,43,16,18,32,61,12,40,21,38,26,18,17,25,32,15,28,48,24,30,37,20,30,13,32,31,32,39,14,20,32,23,46,15,25,19,30,18,32,23,39
21,45,16,18,35,64,13,42,21,40,28,19,19,25,34,16,30,50,25,31,40,21,32,13,34,34,32,41,16,22,34,23,47,17,27,20,30,20,33,25,40
22,48,16,19,39,67,17,46,21,41,30,19,20,25,38,18,30,54,28,33,42,23,34,14,35,34,32,41,16,24,35,23,50,17,29,21,31,21,33,29,41
