,Liverpool scored,Liverpool received,Chelsea scored,Chelsea received,Bournemouth scored,Bournemouth received,Crystal Palace scored,Crystal Palace received,Man City scored,Man City received,Watford scored,Watford received,Man United scored,Man United received,Tottenham scored,Tottenham received,Everton scored,Everton received,Wolves scored,Wolves received,Burnley scored,Burnley received,Southampton scored,Southampton received,Leicester scored,Leicester received,Newcastle scored,Newcastle received,Arsenal scored,Arsenal received,Brighton scored,Brighton received,Cardiff scored,Cardiff received,Fulham scored,Fulham received,Huddersfield scored,Huddersfield received,West Ham scored,West Ham received
0,4,0,3,0,2,0,2,0,2,0,2,0,2,1,2,1,2,2,2,2,0,0,0,0,1,2,1,2,0,2,0,2,0,2,0,2,0,3,0,4
1,6,0,6,2,4,1,2,2,8,1,5,1,4,4,5,2,4,3,2,4,1,3,1,2,3,2,1,2,2,5,3,4,0,2,1,5,1,9,1,6
2,7,0,8,3,6,3,3,4,9,2,7,2,4,7,8,2,6,5,3,5,3,7,2,4,5,3,2,4,5,6,3,5,0,2,5,7,1,9,2,9
3,9,1,10,3,6,5,3,6,11,3,9,3,6,7,9,4,7,6,4,5,3,9,4,4,6,5,3,6,8,8,5,7,2,5,7,9,2,10,2,10
4,11,2,14,4,10,7,4,6,14,3,10,5,8,8,10,6,8,9,5,5,3,10,6,6,8,9,4,8,10,9,7,9,3,9,7,12,2,11,5,11
5,14,2,14,4,10,11,4,6,19,3,11,6,9,9,12,7,8,11,6,6,7,10,6,9,11,10,4,8,12,9,8,11,3,14,8,13,3,14,5,11
6,15,3,15,5,12,12,5,8,21,3,11,8,10,12,14,7,11,11,8,6,9,11,6,11,13,10,4,10,14,9,8,13,4,16,8,16,3,16,8,12
7,15,3,18,5,16,12,5,9,21,3,11,12,13,14,15,7,13,12,9,6,10,12,6,14,14,12,6,13,19,10,9,13,4,17,9,21,4,17,8,13
8,16,3,20,7,16,12,5,11,26,3,13,12,15,16,16,7,15,12,9,8,10,17,6,14,15,15,6,14,22,11,10,13,8,19,11,25,4,18,8,14
9,20,4,24,7,19,12,7,13,27,3,16,12,17,17,16,8,16,14,9,9,10,21,6,14,16,16,6,14,24,13,11,13,9,23,11,28,4,21,9,15
10,21,5,27,8,20,14,8,16,33,4,16,13,19,18,19,10,19,15,11,12,12,25,7,20,17,16,7,14,25,14,12,16,9,24,11,29,5,21,13,17
11,23,5,27,8,21,16,8,17,36,5,17,14,20,21,20,10,19,15,12,13,12,25,8,21,17,16,9,15,26,15,13,18,11,25,11,31,6,22,14,18
12,26,5,28,11,22,18,8,17,40,5,17,17,20,21,23,11,20,15,12,15,13,27,10,24,18,17,11,16,28,16,14,19,11,26,14,33,8,22,14,22
13,27,5,30,11,23,21,10,17,43,6,17,19,22,23,25,15,20,16,13,17,13,29,12,26,20,17,11,19,32,18,16,20,13,27,14,35,9,24,17,22
14,30,6,31,13,25,22,11,20,45,7,18,21,24,25,28,16,21,17,15,18,14,32,13,29,21,18,12,20,34,20,19,21,14,30,15,36,10,26,20,23
15,34,6,33,13,25,26,13,23,45,9,20,23,28,26,30,16,23,19,17,19,15,32,13,30,21,20,13,22,35,20,19,22,15,30,16,40,10,27,23,25
16,37,7,35,14,25,28,14,23,48,10,23,25,29,29,31,16,24,22,19,19,15,33,16,32,21,21,14,22,37,23,20,24,17,33,16,42,10,28,25,25
17,39,7,35,15,27,28,17,25,50,13,25,25,34,30,37,18,26,28,19,21,16,36,19,33,22,21,14,22,40,24,20,26,18,38,16,42,11,31,25,27
