,Man City scored,Man City received,Man United scored,Man United received,Liverpool scored,Liverpool received,Brighton scored,Brighton received,Burnley scored,Burnley received,Tottenham scored,Tottenham received,Arsenal scored,Arsenal received,Bournemouth scored,Bournemouth received,Sheffield United scored,Sheffield United received,Crystal Palace scored,Crystal Palace received,Everton scored,Everton received,Leicester scored,Leicester received,Wolves scored,Wolves received,Newcastle scored,Newcastle received,Aston Villa scored,Aston Villa received,Norwich scored,Norwich received,Southampton scored,Southampton received,Watford scored,Watford received,Chelsea scored,Chelsea received,West Ham scored,West Ham received
0,5,0,4,0,4,1,3,0,3,0,3,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,3,0,3,0,4,0,5
1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,0,0,1,1,0,1,1,1,1,1,3,1,2,3,1,1,2,0,1,1,1,1,1
2,3,1,1,2,3,1,0,2,1,1,0,1,1,3,1,3,1,2,2,1,0,2,2,1,1,1,1,0,2,0,2,3,2,0,1,3,3,2,3,1
3,4,0,1,1,3,0,0,4,0,3,2,2,2,2,1,3,2,2,1,0,3,2,3,1,2,3,1,1,0,1,0,2,1,1,1,1,2,2,2,0
4,2,3,1,0,3,1,1,1,1,1,4,0,2,2,3,1,0,1,0,4,1,3,0,1,2,5,1,3,0,0,3,2,1,0,2,2,5,2,0,0
5,8,0,0,2,2,1,0,0,2,0,1,2,3,2,3,1,2,0,1,1,0,2,2,1,1,1,0,0,2,3,0,2,1,3,0,8,1,2,2,0
6,3,1,1,1,1,0,0,2,2,2,2,1,1,1,2,2,0,1,2,0,1,3,5,0,2,0,0,5,2,2,0,2,1,2,0,2,2,0,2,2
7,0,2,0,1,2,1,3,0,1,0,0,3,1,0,0,1,0,0,2,1,0,1,1,2,2,0,1,0,5,1,1,5,1,4,0,0,4,1,1,2
8,2,0,1,1,1,1,1,2,1,2,1,1,0,1,0,0,1,0,0,2,2,0,2,1,1,1,0,1,2,1,0,0,1,1,1,1,1,0,0,2
9,3,0,3,1,2,1,3,2,2,4,1,2,2,2,0,0,1,1,2,2,2,3,9,0,1,1,1,1,0,3,1,3,0,9,0,0,4,2,1,1
10,2,1,0,1,2,1,2,0,0,3,1,1,1,1,1,0,3,0,0,2,1,1,2,0,1,1,3,2,1,2,0,2,1,2,1,2,2,1,2,3
11,1,3,3,1,3,1,1,3,3,0,1,1,0,2,1,2,1,1,0,2,2,1,2,0,2,1,2,1,1,2,0,2,1,2,2,0,2,0,0,3
12,2,1,3,3,2,1,0,2,3,0,3,2,2,2,1,2,3,3,1,2,0,2,2,0,2,1,0,2,2,0,2,0,2,2,0,3,1,2,2,3
13,2,2,2,2,2,1,1,2,0,2,3,2,2,2,2,3,1,1,2,0,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,0,1,1,0
14,4,1,2,1,5,2,2,1,1,4,1,2,1,2,0,1,0,2,1,0,2,5,2,0,2,0,2,0,1,2,1,2,2,1,0,2,2,1,0,2
15,1,2,2,1,3,0,2,2,0,5,5,0,3,1,0,3,2,1,0,0,3,1,4,1,2,2,2,1,1,4,1,2,1,2,0,0,1,3,1,3
16,3,0,1,1,2,0,1,1,1,0,2,1,0,3,1,0,2,0,1,1,1,1,1,1,1,2,0,1,0,2,1,1,0,1,0,2,0,1,1,0
17,3,1,0,2,2,0,0,1,1,0,0,2,0,0,0,1,1,0,0,1,0,0,1,3,2,1,1,0,1,3,1,2,3,1,2,0,2,0,0,2
18,2,3,4,1,4,0,1,2,0,1,2,1,1,1,1,1,1,1,2,1,1,0,0,4,3,2,1,4,1,0,0,1,2,0,1,1,0,2,1,2
19,2,0,2,0,1,0,2,0,0,2,2,2,1,2,0,2,0,2,1,1,2,1,2,1,0,1,1,2,0,3,2,2,1,1,3,0,2,1,1,2
20,2,1,0,2,2,0,1,1,1,2,0,1,2,0,0,4,0,2,1,1,1,2,3,0,1,2,0,3,2,1,1,1,1,0,2,1,1,1,4,0
21,6,1,4,0,1,0,0,1,0,3,0,1,1,1,0,3,1,0,1,1,1,0,1,2,1,1,1,1,1,6,0,4,2,1,3,0,3,0,0,1
22,2,2,0,2,2,0,1,1,2,1,0,0,1,1,0,1,1,1,2,2,1,1,1,2,3,2,1,0,1,1,1,0,2,3,0,0,0,1,1,1
23,1,0,0,2,2,1,1,3,2,0,2,1,2,2,3,1,0,1,0,2,2,2,4,1,1,2,2,2,2,1,1,2,2,0,1,2,2,2,1,4
24,0,2,0,0,4,0,3,3,0,0,2,0,0,0,2,1,1,0,0,1,3,2,2,2,0,0,0,0,1,2,0,0,0,4,2,3,2,2,3,3
25,2,0,2,0,1,0,1,1,2,1,3,2,4,0,1,2,2,1,1,3,3,1,0,0,0,0,0,4,2,3,0,1,1,2,1,1,0,2,0,2
26,1,0,3,0,3,2,1,1,3,0,1,2,3,2,0,3,1,1,1,0,2,3,0,1,3,0,0,1,0,2,0,3,2,0,0,3,2,1,2,3
27,0,0,1,1,0,3,0,1,0,0,2,3,0,0,2,2,0,0,1,0,1,1,0,1,3,2,0,0,0,0,1,0,1,3,3,0,2,2,3,1
28,0,2,2,0,2,1,0,0,1,1,1,1,1,0,1,2,1,0,1,0,0,4,4,0,0,0,1,0,0,4,0,1,0,1,0,1,4,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
