,Man United scored,Man United received,Chelsea scored,Chelsea received,Portsmouth scored,Portsmouth received,West Ham scored,West Ham received,Bolton scored,Bolton received,Reading scored,Reading received,Everton scored,Everton received,Newcastle scored,Newcastle received,Arsenal scored,Arsenal received,Aston Villa scored,Aston Villa received,Liverpool scored,Liverpool received,Sheffield United scored,Sheffield United received,Middlesbrough scored,Middlesbrough received,Watford scored,Watford received,Wigan scored,Wigan received,Charlton scored,Charlton received,Tottenham scored,Tottenham received,Blackburn scored,Blackburn received,Man City scored,Man City received,Fulham scored,Fulham received
0,5,1,3,0,3,0,3,1,2,0,3,2,2,1,2,1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,1,3,0,2,0,3,0,3,1,5
1,3,0,1,2,0,0,1,1,1,1,1,2,1,1,0,2,1,0,2,1,2,0,0,2,2,1,1,1,0,1,0,3,2,0,1,1,0,0,1,1
2,2,1,2,0,4,0,1,2,0,2,0,1,2,0,0,2,0,1,2,0,2,1,0,1,0,4,1,2,1,0,2,0,0,2,0,2,1,0,1,0
3,1,0,2,1,1,0,1,1,1,0,1,0,3,0,1,2,1,1,1,1,0,3,0,0,1,1,0,1,0,1,1,2,0,1,0,0,0,1,2,1
4,0,1,1,0,1,0,0,2,0,0,2,1,2,2,2,0,1,0,0,0,0,1,1,2,0,0,0,0,2,2,0,1,0,0,4,2,2,4,0,0
5,1,1,2,0,0,1,0,2,1,0,1,1,1,1,1,1,3,0,2,0,3,0,0,3,0,1,1,1,1,1,0,2,0,3,1,0,2,0,0,2
6,2,0,1,1,1,2,0,1,2,0,1,0,1,1,0,2,2,1,1,1,0,2,2,1,1,2,3,3,1,2,1,2,2,1,2,1,1,1,3,3
7,3,1,1,0,2,0,0,2,2,1,0,1,1,2,1,2,3,0,1,1,1,1,0,0,2,1,0,3,1,3,1,2,1,1,1,1,0,0,2,1
8,2,0,2,1,1,2,0,1,1,0,0,4,2,0,0,1,4,0,1,1,0,2,0,2,1,0,0,0,4,0,0,0,1,0,0,1,0,4,1,1
9,4,0,2,0,3,1,2,1,0,4,1,3,1,1,0,0,1,1,1,3,3,1,0,2,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1
10,3,0,1,2,0,3,1,0,0,1,0,2,0,1,0,1,0,1,2,0,2,0,1,0,0,2,2,0,1,0,1,0,2,1,0,2,0,1,1,0
11,1,0,4,0,1,1,0,1,2,2,3,1,0,1,0,0,3,0,1,0,0,3,2,2,1,0,0,4,3,2,2,3,1,3,0,1,0,0,1,1
12,2,1,1,0,2,1,0,1,0,1,2,0,1,0,1,1,1,1,0,0,0,0,1,2,0,0,1,2,0,0,0,2,1,1,1,1,3,1,1,3
13,1,1,1,1,0,1,1,0,3,1,1,0,1,1,1,0,1,3,1,1,1,0,0,1,1,1,2,1,1,3,1,1,3,1,1,2,0,1,0,1
14,3,0,1,0,0,0,0,2,0,1,2,3,0,3,3,2,1,2,1,3,0,0,1,0,1,2,0,1,2,0,1,0,2,1,0,1,3,1,2,1
15,2,1,1,0,2,2,0,2,0,1,1,0,2,0,0,1,3,0,2,2,4,0,2,1,1,2,0,0,0,4,1,2,0,3,2,0,0,0,0,2
16,3,1,1,1,2,0,0,4,4,0,0,0,0,2,3,1,1,1,2,2,4,0,2,2,1,1,0,0,1,1,1,5,5,1,1,3,1,3,0,4
17,0,1,3,2,2,2,1,0,1,0,1,2,2,3,2,1,2,2,0,1,3,0,1,0,1,2,1,2,0,1,0,3,2,1,2,1,1,2,2,1
18,3,0,3,2,3,1,0,0,2,0,0,2,2,0,3,1,6,2,0,3,2,0,1,3,2,0,0,2,2,3,0,2,1,3,2,6,0,2,0,0
19,3,1,2,2,2,1,1,2,2,1,2,2,0,0,1,2,2,1,1,2,0,1,0,1,0,0,1,2,1,3,2,2,2,1,1,0,1,0,2,2
20,3,2,2,2,2,3,0,1,3,2,2,3,3,0,0,3,0,1,1,2,1,0,1,0,1,2,1,1,1,1,2,1,0,1,2,1,1,0,2,2
21,2,2,0,0,1,1,0,6,0,3,6,0,1,2,2,2,4,0,0,0,3,0,1,3,3,1,0,0,0,3,0,4,1,1,3,0,2,1,0,0
22,3,1,4,0,1,1,3,3,0,0,1,1,1,1,3,2,2,0,1,3,3,0,1,1,3,1,0,3,0,4,1,3,2,3,0,2,0,0,3,3
23,1,2,0,2,0,1,2,2,1,5,3,1,2,0,2,2,2,1,2,0,2,0,1,3,5,1,0,2,0,2,1,0,1,1,3,0,0,3,1,1
24,4,0,3,0,0,0,1,2,1,1,3,2,1,2,3,1,3,1,1,3,2,1,2,0,0,0,0,4,2,3,1,1,2,1,0,3,1,3,0,2
25,4,0,1,0,0,1,0,1,1,0,2,0,0,0,1,2,1,1,1,0,0,0,1,2,1,1,0,1,1,0,0,1,0,4,2,1,0,2,2,1
26,2,0,3,0,2,1,0,1,2,1,2,0,1,0,2,1,2,1,0,2,1,2,2,1,0,3,1,0,1,2,0,2,1,2,0,1,1,2,1,2
27,2,1,1,0,0,3,0,4,1,4,1,2,3,0,0,1,1,0,0,1,4,0,0,4,2,1,0,3,1,0,4,0,4,1,3,0,0,1,1,2
28,1,0,2,0,0,2,3,4,1,2,1,2,1,1,0,0,2,1,1,1,0,1,1,1,0,0,2,2,1,0,2,2,4,3,2,1,0,1,1,1
29,4,1,3,0,0,0,2,1,1,4,0,0,1,0,0,2,0,1,0,0,0,0,0,3,0,2,1,3,0,0,2,0,3,1,1,2,2,0,0,0
30,4,1,1,0,1,1,2,0,1,0,0,1,1,1,0,1,1,4,1,1,4,1,0,1,0,2,0,1,0,1,1,0,1,0,1,4,1,0,1,1
31,1,2,1,0,2,1,1,0,3,1,1,2,4,1,2,1,0,1,2,1,2,1,1,2,4,1,1,4,1,3,0,0,0,1,1,2,0,0,1,4
32,2,0,4,1,2,4,1,4,1,1,0,0,1,1,0,0,0,0,1,1,2,0,0,2,0,2,4,2,1,1,0,0,1,1,1,1,3,1,1,3
33,0,0,0,0,2,1,0,3,1,2,1,0,2,1,1,2,2,1,3,1,0,0,3,0,1,3,1,3,3,3,1,2,3,3,3,1,0,0,0,1
34,1,1,0,0,0,0,1,0,1,3,3,1,0,1,0,0,2,2,0,0,2,0,1,1,1,1,1,1,0,2,1,1,2,2,1,1,1,1,1,1
35,4,2,2,2,2,1,3,0,2,2,1,0,2,4,0,1,3,1,2,0,1,2,1,0,2,3,0,1,0,3,1,4,3,2,4,1,0,2,1,3
36,1,0,1,1,0,3,3,1,1,3,0,2,3,0,0,2,1,1,3,0,0,1,0,3,1,0,2,0,0,1,0,2,2,0,2,0,0,1,1,0
37,0,1,1,1,0,0,1,0,2,2,3,3,1,1,1,1,0,0,2,2,2,2,1,2,3,1,1,1,2,1,2,2,2,1,3,3,1,2,1,3
