,Man United scored,Man United received,Chelsea scored,Chelsea received,Portsmouth scored,Portsmouth received,West Ham scored,West Ham received,Bolton scored,Bolton received,Reading scored,Reading received,Everton scored,Everton received,Newcastle scored,Newcastle received,Arsenal scored,Arsenal received,Aston Villa scored,Aston Villa received,Liverpool scored,Liverpool received,Sheffield United scored,Sheffield United received,Middlesbrough scored,Middlesbrough received,Watford scored,Watford received,Wigan scored,Wigan received,Charlton scored,Charlton received,Tottenham scored,Tottenham received,Blackburn scored,Blackburn received,Man City scored,Man City received,Fulham scored,Fulham received
0,5,1,3,0,3,0,3,1,2,0,3,2,2,1,2,1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,1,3,0,2,0,3,0,3,1,5
1,8,1,4,2,3,0,4,2,3,1,4,4,3,2,2,3,2,1,3,2,3,1,1,3,4,4,2,3,1,3,1,6,2,2,1,4,0,3,2,6
2,10,2,6,2,7,0,5,4,3,3,4,5,5,2,2,5,2,2,5,2,5,2,1,4,4,8,3,5,2,3,3,6,2,4,1,6,1,3,3,6
3,11,2,8,3,8,0,6,5,4,3,5,5,8,2,3,7,3,3,6,3,5,5,1,4,5,9,3,6,2,4,4,8,2,5,1,6,1,4,5,7
4,11,3,9,3,9,0,6,7,4,3,7,6,10,4,5,7,4,3,6,3,5,6,2,6,5,9,3,6,4,6,4,9,2,5,5,8,3,8,5,7
5,12,4,11,3,9,1,6,9,5,3,8,7,11,5,6,8,7,3,8,3,8,6,2,9,5,10,4,7,5,7,4,11,2,8,6,8,5,8,5,9
6,14,4,12,4,10,3,6,10,7,3,9,7,12,6,6,10,9,4,9,4,8,8,4,10,6,12,7,10,6,9,5,13,4,9,8,9,6,9,8,12
7,17,5,13,4,12,3,6,12,9,4,9,8,13,8,7,12,12,4,10,5,9,9,4,10,8,13,7,13,7,12,6,15,5,10,9,10,6,9,10,13
8,19,5,15,5,13,5,6,13,10,4,9,12,15,8,7,13,16,4,11,6,9,11,4,12,9,13,7,13,11,12,6,15,6,10,9,11,6,13,11,14
9,23,5,17,5,16,6,8,14,10,8,10,15,16,9,7,13,17,5,12,9,12,12,4,14,9,14,7,13,12,12,6,15,6,10,10,13,7,13,11,15
10,26,5,18,7,16,9,9,14,10,9,10,17,16,10,7,14,17,6,14,9,14,12,5,14,9,16,9,13,13,12,7,15,8,11,10,15,7,14,12,15
11,27,5,22,7,17,10,9,15,12,11,13,18,16,11,7,14,20,6,15,9,14,15,7,16,10,16,9,17,16,14,9,18,9,14,10,16,7,14,13,16
12,29,6,23,7,19,11,9,16,12,12,15,18,17,11,8,15,21,7,15,9,14,15,8,18,10,16,10,19,16,14,9,20,10,15,11,17,10,15,14,19
13,30,7,24,8,19,12,10,16,15,13,16,18,18,12,9,15,22,10,16,10,15,15,8,19,11,17,12,20,17,17,10,21,13,16,12,19,10,16,14,20
14,33,7,25,8,19,12,10,18,15,14,18,21,18,15,12,17,23,12,17,13,15,15,9,19,12,19,12,21,19,17,11,21,15,17,12,20,13,17,16,21
15,35,8,26,8,21,14,10,20,15,15,19,21,20,15,12,18,26,12,19,15,19,15,11,20,13,21,12,21,19,21,12,23,15,20,14,20,13,17,16,23
16,38,9,27,9,23,14,10,24,19,15,19,21,20,17,15,19,27,13,21,17,23,15,13,22,14,22,12,21,20,22,13,28,20,21,15,23,14,20,16,27
17,38,10,30,11,25,16,11,24,20,15,20,23,22,20,17,20,29,15,21,18,26,15,14,22,15,24,13,23,20,23,13,31,22,22,17,24,15,22,18,28
18,41,10,33,13,28,17,11,24,22,15,20,25,24,20,20,21,35,17,21,21,28,15,15,25,17,24,13,25,22,26,13,33,23,25,19,30,15,24,18,28
19,44,11,35,15,30,18,12,26,24,16,22,27,24,20,21,23,37,18,22,23,28,16,15,26,17,24,14,27,23,29,15,35,25,26,20,30,16,24,20,30
20,47,13,37,17,32,21,12,27,27,18,24,30,27,20,21,26,37,19,23,25,29,16,16,26,18,26,15,28,24,30,17,36,25,27,22,31,17,24,22,32
21,49,15,37,17,33,22,12,33,27,21,30,30,28,22,23,28,41,19,23,25,32,16,17,29,21,27,15,28,24,33,17,40,26,28,25,31,19,25,22,32
22,52,16,41,17,34,23,15,36,27,21,31,31,29,23,26,30,43,19,24,28,35,16,18,30,24,28,15,31,24,37,18,43,28,31,25,33,19,25,25,35
23,53,18,41,19,34,24,17,38,28,26,34,32,31,23,28,32,45,20,26,28,37,16,19,33,29,29,15,33,24,39,19,43,29,32,28,33,19,28,26,36
24,57,18,44,19,34,24,18,40,29,27,37,34,32,25,31,33,48,21,27,31,39,17,21,33,29,29,15,37,26,42,20,44,31,33,28,36,20,31,26,38
25,61,18,45,19,34,25,18,41,30,27,39,34,32,25,32,35,49,22,28,31,39,17,22,35,30,30,15,38,27,42,20,45,31,37,30,37,20,33,28,39
26,63,18,48,19,36,26,18,42,32,28,41,34,33,25,34,36,51,23,28,33,40,19,24,36,30,33,16,38,28,44,20,47,32,39,30,38,21,35,29,41
27,65,19,49,19,36,29,18,46,33,32,42,36,36,25,34,37,52,23,28,34,44,19,24,40,32,34,16,41,29,44,24,47,36,40,33,38,21,36,30,43
28,66,19,51,19,36,31,21,50,34,34,43,38,37,26,34,37,54,24,29,35,44,20,25,41,32,34,18,43,30,44,26,49,40,43,35,39,21,37,31,44
29,70,20,54,19,36,31,23,51,35,38,43,38,38,26,34,39,54,25,29,35,44,20,25,44,32,36,19,46,30,44,28,49,43,44,36,41,23,37,31,44
30,74,21,55,19,37,32,25,51,36,38,43,39,39,27,34,40,55,29,30,36,48,21,25,45,32,38,19,47,30,45,29,49,44,44,37,45,24,37,32,45
31,75,23,56,19,39,33,26,51,39,39,44,41,43,28,36,41,55,30,32,37,50,22,26,47,36,39,20,51,31,48,29,49,44,45,38,47,24,37,33,49
32,77,23,60,20,41,37,27,55,40,40,44,41,44,29,36,41,55,30,33,38,52,22,26,49,36,41,24,53,32,49,29,49,45,46,39,48,27,38,34,52
33,77,23,60,20,43,38,27,58,41,42,45,41,46,30,37,43,57,31,36,39,52,22,29,49,37,44,25,56,35,52,30,51,48,49,42,49,27,38,34,53
34,78,24,60,20,43,38,28,58,42,45,48,42,46,31,37,43,59,33,36,39,54,22,30,50,38,45,26,57,35,54,31,52,50,51,43,50,28,39,35,54
35,82,26,62,22,45,39,31,58,44,47,49,42,48,35,37,44,62,34,38,39,55,24,31,50,40,48,26,58,35,57,32,56,53,53,47,51,28,41,36,57
36,83,26,63,23,45,42,34,59,45,50,49,44,51,35,37,46,63,35,41,39,55,25,31,53,41,48,28,58,35,58,32,58,55,53,49,51,28,42,37,57
37,83,27,64,24,45,42,35,59,47,52,52,47,52,36,38,47,63,35,43,41,57,27,32,55,44,49,29,59,37,59,34,60,57,54,52,54,29,44,38,60
