,Arsenal scored,Arsenal received,Man City scored,Man City received,Stoke scored,Stoke received,West Ham scored,West Ham received,Wigan scored,Wigan received,Chelsea scored,Chelsea received,Tottenham scored,Tottenham received,Fulham scored,Fulham received,Man United scored,Man United received,Sunderland scored,Sunderland received,Hull scored,Hull received,Liverpool scored,Liverpool received,Birmingham scored,Birmingham received,Bolton scored,Bolton received,Aston Villa scored,Aston Villa received,Blackburn scored,Blackburn received,Burnley scored,Burnley received,Wolves scored,Wolves received,Everton scored,Everton received,Portsmouth scored,Portsmouth received
0,6,1,2,0,2,0,2,0,2,0,2,1,2,1,1,0,1,0,1,0,1,2,1,2,0,1,0,1,0,2,0,2,0,2,0,2,1,6,0,1
1,4,2,0,2,0,4,2,1,0,1,3,1,5,1,3,0,0,1,1,3,1,5,4,0,1,0,2,4,1,2,0,3,1,0,1,0,2,0,0,1
2,4,1,1,0,0,0,1,2,0,5,2,0,2,1,0,2,5,0,2,1,1,0,1,3,0,0,0,1,3,1,1,2,1,0,0,1,0,1,1,4
3,1,2,1,0,1,0,0,0,1,2,3,0,2,1,0,2,2,1,0,1,1,1,3,2,1,2,2,3,2,0,0,0,0,3,1,1,2,1,0,1
4,2,4,4,2,1,2,0,1,1,0,2,1,1,3,2,1,3,1,4,1,1,4,4,0,0,1,3,2,1,0,3,1,0,4,1,3,1,2,2,3
5,4,0,3,4,1,1,2,3,0,4,3,0,0,3,1,2,4,3,1,3,0,1,3,2,1,0,1,1,2,0,0,3,3,1,2,1,3,0,0,2
6,1,0,3,1,0,2,1,3,3,1,1,3,5,0,0,1,2,0,5,2,1,6,6,1,1,2,2,1,1,2,2,1,0,5,2,5,1,0,0,1
7,6,2,1,1,1,1,2,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,0,2,1,2,2,2,1,1,2,6,2,1,0,1,1,1,1,0
8,3,1,1,1,2,1,1,2,1,1,1,2,2,1,2,0,2,1,1,0,0,2,0,1,1,3,1,2,2,1,3,2,2,3,1,1,1,1,1,2
9,2,2,2,2,1,0,2,2,3,1,5,0,0,1,2,2,0,2,1,2,0,0,2,0,2,1,3,2,1,1,0,5,1,3,1,1,2,3,0,0
10,3,0,0,0,2,2,2,2,0,4,4,0,0,3,3,1,2,0,2,2,0,2,1,3,0,0,0,4,1,1,0,2,2,0,2,2,1,1,4,0
11,4,1,3,3,1,2,1,2,1,1,1,0,2,0,1,1,0,1,0,2,2,1,2,2,2,2,1,5,5,1,3,1,3,3,1,4,2,1,1,3
12,0,1,2,2,1,0,3,3,1,9,4,0,9,1,0,1,3,0,1,0,3,3,2,2,1,0,0,2,1,1,2,0,1,1,0,4,0,3,0,1
13,0,3,1,1,0,0,5,3,1,0,3,0,1,1,1,1,4,1,0,1,1,1,2,0,1,0,1,1,1,1,0,0,3,5,0,1,0,2,1,4
14,2,0,2,1,0,2,0,4,2,3,1,2,2,2,1,0,4,0,0,1,0,3,0,0,3,2,1,2,3,0,0,0,0,2,2,1,2,2,2,0
15,2,1,3,3,2,2,0,1,2,2,3,3,0,1,1,1,0,1,1,1,0,0,1,2,1,0,3,3,1,0,0,0,1,1,1,0,3,3,1,1
16,1,1,0,3,3,2,1,3,1,2,2,1,3,0,2,3,3,0,0,2,3,2,2,1,2,1,3,1,2,0,1,2,1,1,0,3,2,3,1,2
17,3,0,4,3,0,1,1,1,0,0,1,1,2,0,3,0,0,3,3,4,0,3,0,2,1,1,0,0,1,0,0,2,0,2,2,0,1,1,2,0
18,3,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,3,1,1,1,1,3,2,0,0,0,1,1,0,3,1,1,1,1,0,2,1,1,0,2
19,4,1,3,0,0,1,0,2,0,5,2,1,2,0,1,2,5,0,2,2,2,2,1,0,1,0,2,2,0,1,2,2,0,2,0,3,2,0,1,4
20,2,2,4,1,1,1,1,3,1,2,1,1,0,2,1,0,1,1,4,0,1,1,2,0,1,1,0,4,2,1,1,4,1,1,3,1,2,2,0,1
21,2,0,0,2,1,1,0,0,2,0,7,2,0,0,0,2,3,0,2,7,0,0,1,1,2,1,0,2,0,0,2,0,0,3,0,2,2,0,1,2
22,0,0,1,1,1,1,1,1,1,2,3,0,2,0,0,2,4,0,0,2,0,4,0,0,0,3,1,0,0,0,2,1,0,1,0,0,2,0,1,1
23,1,3,2,0,0,0,0,0,0,1,2,1,1,1,0,2,3,1,0,0,2,2,2,0,1,1,0,2,2,0,0,0,1,2,2,2,1,0,0,2
24,0,2,1,2,3,0,1,2,1,1,2,0,0,0,0,0,5,0,1,1,2,1,1,0,2,1,0,0,0,0,0,3,2,1,1,2,0,1,0,5
25,1,0,2,0,1,1,2,0,1,1,1,2,0,1,3,0,1,1,1,1,0,1,0,1,0,2,0,2,1,1,1,0,0,3,1,0,2,1,1,1
26,2,0,0,0,2,1,3,0,0,3,2,0,3,0,2,1,1,3,0,2,0,3,0,0,1,2,0,3,5,2,3,0,2,5,0,2,3,1,1,2
27,3,1,4,2,1,3,0,3,0,1,2,4,2,1,0,0,3,0,0,0,0,2,2,1,1,0,1,0,2,0,1,2,1,2,0,1,1,2,2,1
28,3,1,0,1,1,0,1,2,1,0,5,0,1,0,0,1,1,0,1,1,1,5,0,1,1,2,2,1,1,1,2,1,1,3,0,1,5,1,0,5
29,2,1,1,1,0,0,1,4,0,4,4,1,3,1,0,3,3,0,1,1,1,2,4,1,2,2,4,0,0,0,1,3,1,2,2,1,2,2,1,4
30,2,0,2,1,1,2,0,2,1,0,1,1,2,1,1,2,2,1,3,1,2,3,1,2,1,3,0,2,2,2,1,1,0,1,2,2,2,0,3,2
31,1,1,3,0,1,0,0,1,0,3,7,1,2,0,0,2,4,0,0,3,2,0,3,0,1,1,0,4,1,7,1,0,0,1,0,0,0,0,0,2
32,1,0,6,1,2,0,2,2,1,2,2,1,1,3,2,1,1,2,3,1,0,2,1,1,1,1,0,1,1,0,0,0,1,6,0,1,2,2,0,0
33,1,2,5,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,1,4,0,0,1,5,0,1,2,2,0,0,4,1,0,0,2,2,0,0
