,Arsenal scored,Arsenal received,Man City scored,Man City received,Stoke scored,Stoke received,West Ham scored,West Ham received,Wigan scored,Wigan received,Chelsea scored,Chelsea received,Tottenham scored,Tottenham received,Fulham scored,Fulham received,Man United scored,Man United received,Sunderland scored,Sunderland received,Hull scored,Hull received,Liverpool scored,Liverpool received,Birmingham scored,Birmingham received,Bolton scored,Bolton received,Aston Villa scored,Aston Villa received,Blackburn scored,Blackburn received,Burnley scored,Burnley received,Wolves scored,Wolves received,Everton scored,Everton received,Portsmouth scored,Portsmouth received
0,6,1,2,0,2,0,2,0,2,0,2,1,2,1,1,0,1,0,1,0,1,2,1,2,0,1,0,1,0,2,0,2,0,2,0,2,1,6,0,1
1,10,3,2,2,2,4,4,1,2,1,5,2,7,2,4,0,1,1,2,3,2,7,5,2,1,1,2,5,1,4,0,5,1,2,1,2,3,6,0,2
2,14,4,3,2,2,4,5,3,2,6,7,2,9,3,4,2,6,1,4,4,3,7,6,5,1,1,2,6,4,5,1,7,2,2,1,3,3,7,1,6
3,15,6,4,2,3,4,5,3,3,8,10,2,11,4,4,4,8,2,4,5,4,8,9,7,2,3,4,9,6,5,1,7,2,5,2,4,5,8,1,7
4,17,10,8,4,4,6,5,4,4,8,12,3,12,7,6,5,11,3,8,6,5,12,13,7,2,4,7,11,7,5,4,8,2,9,3,7,6,10,3,10
5,21,10,11,8,5,7,7,7,4,12,15,3,12,10,7,7,15,6,9,9,5,13,16,9,3,4,8,12,9,5,4,11,5,10,5,8,9,10,3,12
6,22,10,14,9,5,9,8,10,7,13,16,6,17,10,7,8,17,6,14,11,6,19,22,10,4,6,10,13,10,7,6,12,5,15,7,13,10,10,3,13
7,28,12,15,10,6,10,10,12,8,15,18,6,19,12,9,10,19,8,16,13,8,20,22,12,5,8,12,15,11,8,8,18,7,16,7,14,11,11,4,13
8,31,13,16,11,8,11,11,14,9,16,19,8,21,13,11,10,21,9,17,13,8,22,22,13,6,11,13,17,13,9,11,20,9,19,8,15,12,12,5,15
9,33,15,18,13,9,11,13,16,12,17,24,8,21,14,13,12,21,11,18,15,8,22,24,13,8,12,16,19,14,10,11,25,10,22,9,16,14,15,5,15
10,36,15,18,13,11,13,15,18,12,21,28,8,21,17,16,13,23,11,20,17,8,24,25,16,8,12,16,23,15,11,11,27,12,22,11,18,15,16,9,15
11,40,16,21,16,12,15,16,20,13,22,29,8,23,17,17,14,23,12,20,19,10,25,27,18,10,14,17,28,20,12,14,28,15,25,12,22,17,17,10,18
12,40,17,23,18,13,15,19,23,14,31,33,8,32,18,17,15,26,12,21,19,13,28,29,20,11,14,17,30,21,13,16,28,16,26,12,26,17,20,10,19
13,40,20,24,19,13,15,24,26,15,31,36,8,33,19,18,16,30,13,21,20,14,29,31,20,12,14,18,31,22,14,16,28,19,31,12,27,17,22,11,23
14,42,20,26,20,13,17,24,30,17,34,37,10,35,21,19,16,34,13,21,21,14,32,31,20,15,16,19,33,25,14,16,28,19,33,14,28,19,24,13,23
15,44,21,29,23,15,19,24,31,19,36,40,13,35,22,20,17,34,14,22,22,14,32,32,22,16,16,22,36,26,14,16,28,20,34,15,28,22,27,14,24
16,45,22,29,26,18,21,25,34,20,38,42,14,38,22,22,20,37,14,22,24,17,34,34,23,18,17,25,37,28,14,17,30,21,35,15,31,24,30,15,26
17,48,22,33,29,18,22,26,35,20,38,43,15,40,22,25,20,37,17,25,28,17,37,34,25,19,18,25,37,29,14,17,32,21,37,17,31,25,31,17,26
18,51,22,35,29,18,24,28,35,21,39,43,15,40,22,25,20,40,18,26,29,18,40,36,25,19,18,26,38,29,17,18,33,22,38,17,33,26,32,17,28
19,55,23,38,29,18,25,28,37,21,44,45,16,42,22,26,22,45,18,28,31,20,42,37,25,20,18,28,40,29,18,20,35,22,40,17,36,28,32,18,32
20,57,25,42,30,19,26,29,40,22,46,46,17,42,24,27,22,46,19,32,31,21,43,39,25,21,19,28,44,31,19,21,39,23,41,20,37,30,34,18,33
21,59,25,42,32,20,27,29,40,24,46,53,19,42,24,27,24,49,19,34,38,21,43,40,26,23,20,28,46,31,19,23,39,23,44,20,39,32,34,19,35
22,59,25,43,33,21,28,30,41,25,48,56,19,44,24,27,26,53,19,34,40,21,47,40,26,23,23,29,46,31,19,25,40,23,45,20,39,34,34,20,36
23,60,28,45,33,21,28,30,41,25,49,58,20,45,25,27,28,56,20,34,40,23,49,42,26,24,24,29,48,33,19,25,40,24,47,22,41,35,34,20,38
24,60,30,46,35,24,28,31,43,26,50,60,20,45,25,27,28,61,20,35,41,25,50,43,26,26,25,29,48,33,19,25,43,26,48,23,43,35,35,20,43
25,61,30,48,35,25,29,33,43,27,51,61,22,45,26,30,28,62,21,36,42,25,51,43,27,26,27,29,50,34,20,26,43,26,51,24,43,37,36,21,44
26,63,30,48,35,27,30,36,43,27,54,63,22,48,26,32,29,63,24,36,44,25,54,43,27,27,29,29,53,39,22,29,43,28,56,24,45,40,37,22,46
27,66,31,52,37,28,33,36,46,27,55,65,26,50,27,32,29,66,24,36,44,25,56,45,28,28,29,30,53,41,22,30,45,29,58,24,46,41,39,24,47
28,69,32,52,38,29,33,37,48,28,55,70,26,51,27,32,30,67,24,37,45,26,61,45,29,29,31,32,54,42,23,32,46,30,61,24,47,46,40,24,52
29,71,33,53,39,29,33,38,52,28,59,74,27,54,28,32,33,70,24,38,46,27,63,49,30,31,33,36,54,42,23,33,49,31,63,26,48,48,42,25,56
30,73,33,55,40,30,35,38,54,29,59,75,28,56,29,33,35,72,25,41,47,29,66,50,32,32,36,36,56,44,25,34,50,31,64,28,50,50,42,28,58
31,74,34,58,40,31,35,38,55,29,62,82,29,58,29,33,37,76,25,41,50,31,66,53,32,33,37,36,60,45,32,35,50,31,65,28,50,50,42,28,60
32,75,34,64,41,33,35,40,57,30,64,84,30,59,32,35,38,77,27,44,51,31,68,54,33,34,38,36,61,46,32,35,50,32,71,28,51,52,44,28,60
33,76,36,69,42,33,35,41,57,30,64,85,30,61,33,35,38,77,27,44,52,32,72,54,33,35,43,36,62,48,34,35,50,36,72,28,51,54,46,28,60
34,78,39,69,43,34,37,41,60,33,66,86,32,63,34,35,38,78,27,46,53,32,72,57,33,35,43,38,63,50,35,37,53,37,74,28,51,57,48,29,62
35,78,39,69,43,34,44,44,62,35,69,93,32,64,37,36,40,81,28,47,53,32,73,61,33,35,44,40,65,51,35,38,54,37,78,29,52,59,49,31,64
36,79,41,72,44,34,44,46,65,37,71,95,32,65,37,39,42,82,28,47,54,34,75,61,35,37,45,40,66,52,38,40,55,38,80,30,55,59,49,34,65
37,83,41,73,45,34,48,47,66,37,79,103,32,67,41,39,46,86,28,48,56,34,75,61,35,38,47,42,67,52,39,41,55,42,82,32,56,60,49,34,66
