,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
2,09/08/2014,Motherwell,St Mirren,65,63,60,61,64,60,0.522538083,0.260176881,0.217285037,1,1.786666667,3.588333333,4.296666667,5,10,2,2.666666667,1.666666667,1.666666667
3,10/08/2014,Aberdeen,Dundee United,68,65,64,63,66,61,0.428253574,0.284417647,0.287328779,2,2.185,3.29,3.256666667,12,1,1.333333333,0.666666667,1,1.333333333
4,10/08/2014,Ross County,St Johnstone,64,64,60,63,62,64,0.315319298,0.290309524,0.394371178,2,2.96,3.215,2.366666667,8,3,1,1.333333333,1.333333333,0.666666667
5,13/08/2014,Dundee United,Motherwell,65,65,63,60,61,64,0.474078625,0.271820383,0.254100992,1,1.973333333,3.441666667,3.681666667,1,5,1,1.333333333,2,2.666666667
7,13/08/2014,Kilmarnock,Aberdeen,62,68,60,64,63,66,0.247176192,0.275691855,0.477131953,2,3.786666667,3.395,1.961666667,10,7,1,1.666666667,1.666666667,0.333333333
8,13/08/2014,Partick,Ross County,63,64,62,60,62,62,0.442277314,0.285848442,0.271874244,1,2.116666667,3.275,3.443333333,4,12,2.333333333,1.666666667,0.666666667,2.333333333
9,13/08/2014,St Johnstone,Celtic,64,72,63,72,64,71,0.140106889,0.221381014,0.638512097,2,6.691666667,4.235,1.468333333,8,1,1,1.666666667,2,0.333333333
11,16/08/2014,Celtic,Dundee United,72,65,72,63,71,61,0.654136086,0.209333318,0.136530596,1,1.428333333,4.463333333,6.843333333,1,2,2,0.333333333,0.666666667,1
14,16/08/2014,Motherwell,Inverness C,65,63,60,63,64,61,0.395117872,0.284917654,0.319964473,2,2.37,3.286666667,2.926666667,9,2,0.666666667,2,1.333333333,0.333333333
15,16/08/2014,Ross County,Kilmarnock,64,62,60,60,62,63,0.405022492,0.286092223,0.308885285,2,2.313333333,3.275,3.033333333,12,7,0.666666667,2.666666667,1,1.666666667
16,23/08/2014,Dundee United,Ross County,65,64,63,60,61,62,0.639970861,0.21906215,0.140966988,1,1.463333333,4.275,6.643333333,4,12,0.666666667,2.666666667,0.666666667,2.666666667
17,23/08/2014,Inverness C,Celtic,63,72,63,72,61,71,0.153129753,0.228448659,0.618421589,1,6.111666667,4.096666667,1.513333333,2,1,1.333333333,0.333333333,3.666666667,0.333333333
18,23/08/2014,Kilmarnock,Motherwell,62,65,60,60,63,64,0.368034306,0.285273292,0.346692403,1,2.545,3.283333333,2.701666667,7,9,1,1.666666667,0.666666667,2
19,23/08/2014,Partick,Hamilton,63,63,62,58,62,59,0.456957586,0.27697133,0.266071084,2,2.046666667,3.376666667,3.515,8,3,2,1,1.666666667,0.333333333
20,23/08/2014,St Johnstone,Aberdeen,64,68,63,64,64,66,0.317670767,0.290305252,0.392023981,1,2.935,3.211666667,2.378333333,7,9,0.333333333,1.333333333,1.333333333,1
21,23/08/2014,St Mirren,Dundee,63,65,61,63,60,61,0.369781818,0.293468433,0.336749749,2,2.531666667,3.19,2.78,11,6,0.666666667,1.666666667,0.666666667,0.333333333
22,30/08/2014,Aberdeen,Partick,68,63,64,62,66,62,0.551533917,0.255637983,0.1928281,1,1.693333333,3.653333333,4.843333333,9,8,1.333333333,1,2,1
23,30/08/2014,Hamilton,Ross County,63,64,58,60,59,62,0.461924495,0.280578073,0.257497432,1,2.021666667,3.328333333,3.626666667,3,12,1.666666667,0.333333333,0.666666667,2.666666667
24,30/08/2014,Inverness C,Kilmarnock,63,62,63,60,61,63,0.510681934,0.2688827,0.220435367,1,1.836666667,3.488333333,4.255,1,5,1,0,1.333333333,1
25,30/08/2014,Motherwell,St Johnstone,65,64,60,63,64,64,0.335433426,0.287907951,0.376658622,2,2.786666667,3.246666667,2.481666667,10,5,0,1.666666667,0.666666667,0.333333333
26,30/08/2014,St Mirren,Dundee United,63,65,61,63,60,61,0.247236119,0.277148637,0.475615245,2,3.783333333,3.375,1.966666667,11,3,0.666666667,2,2,2.333333333
27,31/08/2014,Dundee,Celtic,65,72,63,72,61,71,0.131969995,0.214325316,0.653704689,X,7.091666667,4.366666667,1.431666667,6,4,1,0.666666667,2.333333333,1
28,13/09/2014,Celtic,Aberdeen,72,68,72,64,71,66,0.638826371,0.220190154,0.140983475,1,1.468333333,4.26,6.653333333,4,7,2.333333333,1,1.333333333,1
29,13/09/2014,Dundee United,Hamilton,65,63,63,58,61,59,0.543563945,0.259365537,0.197070518,X,1.723333333,3.611666667,4.753333333,3,2,2,2.333333333,2.333333333,0.333333333
30,13/09/2014,Kilmarnock,St Mirren,62,63,60,61,63,60,0.42644912,0.280116454,0.293434426,1,2.195,3.341666667,3.19,8,11,1.333333333,1,0.666666667,2
31,13/09/2014,Partick,Inverness C,63,63,62,63,62,61,0.334721614,0.288351765,0.37692662,1,2.798333333,3.248333333,2.485,8,3,1.333333333,1.666666667,1.333333333,1
32,13/09/2014,Ross County,Motherwell,64,65,60,60,62,64,0.341348686,0.277853766,0.380797548,2,2.735,3.36,2.451666667,12,10,0.666666667,2.666666667,0.666666667,1.333333333
33,13/09/2014,St Johnstone,Dundee,64,65,63,63,64,61,0.464994401,0.27825892,0.25674668,2,2.011666667,3.361666667,3.643333333,7,5,0.666666667,0.333333333,1,0.333333333
34,19/09/2014,Partick,St Mirren,63,63,62,61,62,60,0.450244411,0.276346301,0.273409287,2,2.095,3.413333333,3.45,8,11,1.333333333,1.666666667,0.333333333,2
35,20/09/2014,Aberdeen,Ross County,68,64,64,60,66,62,0.630769476,0.224716355,0.144514169,1,1.485,4.168333333,6.481666667,9,12,1,1,0.666666667,2.666666667
36,20/09/2014,Hamilton,Kilmarnock,63,62,58,60,59,63,0.454444692,0.272446211,0.273109097,X,2.058333333,3.433333333,3.425,2,6,2.666666667,1,1.333333333,1
37,20/09/2014,Inverness C,St Johnstone,63,64,63,63,61,64,0.442672206,0.280875515,0.276452279,1,2.115,3.333333333,3.386666667,2,8,1.666666667,1.333333333,0.666666667,1
38,21/09/2014,Celtic,Motherwell,72,65,72,60,71,64,0.735836897,0.173805446,0.090357657,X,1.276666667,5.405,10.39666667,3,10,1.333333333,1,1,1
39,21/09/2014,Dundee,Dundee United,65,65,63,63,61,61,0.30969333,0.28247267,0.407834,2,3.026666667,3.318333333,2.298333333,7,1,1,1.666666667,3,1
40,27/09/2014,Aberdeen,Inverness C,68,63,64,63,66,61,0.431007838,0.284784763,0.284207399,1,2.168333333,3.281666667,3.288333333,6,2,2,0.666666667,1.666666667,1.333333333
41,27/09/2014,Dundee United,St Johnstone,65,64,63,63,61,64,0.505450579,0.266839303,0.227710118,1,1.843333333,3.491666667,4.091666667,1,8,3,1,0.666666667,1
42,27/09/2014,Kilmarnock,Partick,62,63,60,62,63,62,0.381616688,0.28151422,0.336869091,1,2.446666667,3.316666667,2.771666667,5,9,0.666666667,1,1.333333333,1.666666667
