,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal
0,23/07/11,Aberdeen,St Johnstone,65,67,62,63,64,66,0.45149509244464736,0.28349691851175535,0.26500798904359735,X,2.025,3.2249999999999996,3.4499999999999997
1,23/07/11,Motherwell,Inverness C,68,69,66,59,68,65,0.44259489554929327,0.2843614872959189,0.27304361715478787,1,2.0666666666666664,3.216666666666667,3.3499999999999996
2,23/07/11,Rangers,Hearts,79,67,75,67,76,68,0.6839604436917405,0.20508597322048827,0.11095358308777124,X,1.3383333333333336,4.463333333333334,8.25
3,24/07/11,Dundee United,Kilmarnock,70,67,65,61,65,67,0.5084104117421798,0.26948256307122437,0.2221070251865958,X,1.793333333333333,3.383333333333333,4.1049999999999995
4,24/07/11,Hibernian,Celtic,69,75,60,71,63,70,0.12408757827082585,0.21910915157558036,0.6568032701535937,2,7.375,4.176666666666667,1.3933333333333333
5,25/07/11,Dunfermline,St Mirren,64,64,60,61,63,64,0.4073447252573898,0.28760034407936447,0.30505493066324574,X,2.2416666666666667,3.1750000000000003,2.9933333333333327
6,30/07/11,Inverness C,Hibernian,69,69,59,60,65,63,0.3922905349498147,0.2841565636579487,0.3235529013922366,2,2.33,3.2166666666666663,2.8249999999999997
7,30/07/11,Kilmarnock,Motherwell,67,68,61,66,67,68,0.3931450340855489,0.2837570116482743,0.32309795426617677,X,2.3216666666666663,3.216666666666667,2.8249999999999997
8,30/07/11,St Johnstone,Rangers,67,79,63,75,66,76,0.1523878419412481,0.24008587789430774,0.6075262801644442,2,6.0,3.8083333333333336,1.5050000000000001
9,30/07/11,St Mirren,Aberdeen,64,65,61,62,64,64,0.35744127750440996,0.28558165444248446,0.3569770680531056,1,2.5633333333333335,3.2083333333333335,2.5666666666666664
10,31/07/11,Hearts,Dundee United,67,70,67,65,68,65,0.46597191838033486,0.27675907879559286,0.2572690028240723,2,1.96,3.2999999999999994,3.5499999999999994
11,06/08/11,Dundee United,St Mirren,70,64,65,61,65,64,0.5233853146629383,0.26833071498085276,0.20828397035620902,X,1.751666666666667,3.4166666666666665,4.401666666666667
12,06/08/11,Dunfermline,Inverness C,64,69,60,59,63,65,0.37590097767175823,0.2842083360898101,0.33989068623843166,X,2.438333333333334,3.2249999999999996,2.6966666666666668
13,07/08/11,Aberdeen,Celtic,65,75,62,71,64,70,0.1059162254854316,0.2037607683595199,0.6903230061550485,2,8.625,4.483333333333333,1.3233333333333333
