,Motherwell scored,Motherwell received,Celtic scored,Celtic received,Dundee United scored,Dundee United received,Hearts scored,Hearts received,Kilmarnock scored,Kilmarnock received,Aberdeen scored,Aberdeen received,Dunfermline scored,Dunfermline received,St Johnstone scored,St Johnstone received,St Mirren scored,St Mirren received,Hibernian scored,Hibernian received,Inverness C scored,Inverness C received,Rangers scored,Rangers received
0,3,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,3,1,1
1,0,0,2,1,1,0,0,1,0,0,0,1,1,2,0,2,1,0,1,0,0,1,2,0
2,1,0,1,0,1,1,0,1,0,2,0,1,3,3,2,3,1,1,3,2,3,3,2,0
3,1,0,5,1,1,5,3,0,4,1,0,3,1,0,0,1,0,1,1,4,0,2,2,0
4,0,3,0,1,0,1,0,0,0,0,2,1,1,0,1,0,2,1,1,2,1,2,3,0
5,4,2,2,0,3,3,2,0,1,2,0,2,2,4,3,3,0,2,0,2,2,1,2,0
6,0,4,4,0,0,1,1,1,3,2,0,0,2,3,0,0,0,0,0,0,1,1,1,0
7,0,3,2,4,3,1,2,0,2,2,2,2,2,2,3,0,0,2,2,2,1,3,4,2
8,1,0,2,0,3,3,0,2,0,3,0,1,0,4,2,0,3,0,3,3,0,2,4,0
9,3,1,0,2,1,3,2,0,1,2,4,0,0,4,2,1,1,2,0,1,2,1,1,0
10,1,0,3,3,1,3,2,0,3,3,3,1,0,2,2,0,1,1,0,1,0,2,1,1
11,0,0,2,1,0,0,0,2,0,0,1,2,1,1,0,0,2,3,3,2,1,1,2,0
12,3,2,0,0,4,1,0,1,1,0,1,2,1,4,0,1,1,0,0,0,2,3,2,1
13,1,2,2,1,1,3,0,0,3,6,2,1,1,0,1,2,0,0,0,1,6,3,3,1
14,2,1,2,0,1,0,0,1,1,1,1,2,1,2,0,0,2,1,1,1,0,2,0,0
15,0,0,5,0,0,0,2,1,1,0,3,3,3,3,3,1,0,5,1,3,1,2,0,1
16,4,3,1,0,0,1,1,2,2,0,0,2,1,2,2,1,1,2,3,4,2,1,2,1
17,3,0,1,0,3,2,0,1,1,1,2,2,1,1,0,3,2,2,0,2,2,3,2,0
18,1,1,2,0,1,1,4,0,1,1,1,0,0,4,0,2,1,1,0,1,1,2,2,1
19,0,2,2,1,3,1,2,0,1,2,1,2,0,3,3,0,2,1,1,3,2,1,1,2
20,3,1,1,0,2,2,0,0,0,2,0,0,1,3,2,0,2,2,1,1,1,1,0,1
21,0,3,3,0,1,2,3,1,2,1,2,1,0,3,1,0,1,2,1,3,0,1,3,0
22,0,1,2,1,1,2,5,2,0,0,0,0,2,3,1,2,2,5,3,2,1,0,2,1
23,1,1,2,0,1,1,0,1,0,3,1,1,3,0,3,2,0,2,2,3,1,0,1,1
24,3,2,4,0,4,0,0,4,0,4,1,0,0,1,2,3,0,0,0,4,0,0,4,0
25,0,0,1,0,5,1,1,1,1,1,0,0,1,4,1,5,0,0,0,0,0,1,4,1
26,3,0,5,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,5,1,1,0,1
27,0,1,1,0,2,0,0,2,1,3,1,1,1,3,3,1,1,1,3,1,1,4,4,1
28,2,0,1,1,3,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,3,1,2
29,1,0,2,0,2,1,2,0,1,1,0,1,0,2,3,0,0,3,0,2,1,1,1,2
30,0,2,2,3,2,0,1,2,2,0,0,1,1,1,2,1,1,1,0,2,1,0,3,2
31,1,2,2,0,3,0,3,0,2,4,0,3,0,3,0,2,4,2,3,2,2,3,2,1
32,1,1,6,0,1,3,2,1,0,6,3,1,1,2,0,0,1,3,1,1,0,0,3,1
