,Dundee United scored,Dundee United received,Hearts scored,Hearts received,Celtic scored,Celtic received,Inverness C scored,Inverness C received,St Mirren scored,St Mirren received,Dundee scored,Dundee received,Kilmarnock scored,Kilmarnock received,Motherwell scored,Motherwell received,Ross County scored,Ross County received,Aberdeen scored,Aberdeen received,St Johnstone scored,St Johnstone received,Hibernian scored,Hibernian received
0,3,0,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,3
1,3,4,3,1,5,0,3,3,4,2,0,2,1,1,1,1,0,0,0,1,1,3,1,4
2,6,4,5,3,6,1,5,5,5,4,0,5,2,3,3,2,1,1,2,2,2,5,3,5
3,7,7,5,3,10,3,7,9,6,5,0,6,5,4,4,3,2,1,2,2,2,7,5,5
4,7,7,5,4,12,5,8,13,6,5,1,6,5,4,8,4,2,1,2,2,2,7,7,7
5,7,7,5,6,13,7,9,14,8,5,2,8,6,6,10,5,2,1,3,3,4,8,9,8
6,7,10,8,6,15,7,11,16,9,8,2,10,9,7,13,8,3,3,6,6,6,9,11,10
7,7,14,9,9,17,7,15,16,14,12,3,13,12,8,13,10,7,8,8,7,9,10,12,12
8,8,14,9,10,18,7,18,17,15,14,3,16,13,11,13,11,8,11,11,8,11,11,15,12
9,9,15,10,10,23,7,22,18,15,19,4,20,14,13,13,12,11,13,12,9,13,12,17,15
10,10,15,12,12,23,9,23,19,15,20,4,22,16,13,13,16,13,15,14,9,14,13,21,15
11,12,17,12,13,25,11,25,20,16,22,5,22,17,15,16,17,15,16,15,11,15,16,23,16
12,13,19,13,14,26,12,26,21,17,26,6,23,20,15,17,18,15,19,19,12,16,17,25,17
13,16,22,14,14,28,12,27,26,17,27,9,24,23,18,22,19,16,20,19,14,17,18,26,20
14,18,23,14,14,28,13,28,26,20,28,10,27,24,20,22,19,17,22,20,14,19,19,26,21
15,19,25,14,18,32,13,31,28,20,28,10,27,24,20,24,20,17,22,22,17,19,20,27,21
16,22,25,16,18,35,14,34,28,21,29,10,30,25,23,27,22,19,25,22,19,20,21,27,24
17,26,29,18,20,37,14,38,32,21,31,11,31,27,23,30,24,20,26,22,21,22,23,29,27
18,27,31,20,21,41,14,42,33,23,32,12,35,28,24,31,26,20,30,24,21,22,25,30,28
19,28,32,20,22,43,14,44,35,25,34,12,37,29,24,35,27,21,30,25,25,23,26,30,29
20,31,36,22,24,43,15,44,35,29,37,13,40,31,26,37,29,23,32,28,26,23,26,31,29
21,33,38,22,24,44,15,44,35,30,38,13,41,32,27,37,30,23,32,30,28,24,26,31,29
22,36,40,23,28,48,16,47,35,31,42,14,42,34,30,40,32,27,33,30,31,26,29,32,30
23,37,41,24,30,49,17,48,36,32,44,16,43,35,31,42,33,28,34,30,31,27,30,32,30
24,38,41,25,30,53,18,49,38,34,45,16,44,36,35,42,34,29,34,31,34,30,31,32,31
25,41,42,26,33,56,19,50,41,34,45,16,46,38,35,42,36,31,34,31,34,33,32,33,34
26,43,48,26,36,62,21,50,44,34,46,16,47,41,35,45,36,32,34,32,34,33,33,34,34
27,45,50,28,39,67,21,53,46,34,47,16,52,42,36,45,39,35,34,33,35,34,33,36,36
28,45,50,28,41,68,23,53,46,36,47,18,54,44,38,47,40,36,34,33,36,36,35,38,38
29,45,50,28,41,70,26,54,47,36,47,19,55,44,40,47,40,39,36,33,36,38,35,38,38
30,46,51,30,41,74,29,56,48,37,48,20,56,45,41,51,41,40,38,36,40,38,37,39,42
31,47,52,30,43,75,30,58,49,38,49,20,59,46,41,54,41,40,39,38,40,39,38,40,44
32,48,52,34,45,78,30,58,49,40,51,22,60,47,43,56,43,42,43,38,41,39,38,40,47
