,Inverness C scored,Inverness C received,Aberdeen scored,Aberdeen received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,St Johnstone scored,St Johnstone received,Dundee United scored,Dundee United received,Partick scored,Partick received,Kilmarnock scored,Kilmarnock received,Ross County scored,Ross County received,Hibernian scored,Hibernian received,St Mirren scored,St Mirren received,Hearts scored,Hearts received
0,3,0,2,1,2,1,1,0,1,0,0,0,0,0,1,2,1,2,0,1,0,3,0,1
1,1,0,3,1,1,0,1,3,0,0,0,1,4,1,0,0,1,4,0,1,0,1,1,0
2,2,0,0,2,2,0,0,2,4,0,1,1,1,1,1,1,0,4,1,1,1,1,1,1
3,2,2,1,2,2,2,1,0,0,4,4,0,0,1,1,2,3,0,2,1,0,3,2,1
4,2,0,0,0,1,0,2,1,0,0,0,1,2,1,1,2,0,0,0,0,1,2,0,2
5,2,1,3,0,3,1,1,0,1,2,4,2,0,3,1,2,2,4,2,1,0,1,1,3
6,0,1,1,0,2,1,2,2,1,2,2,2,1,1,1,1,2,1,2,0,0,2,1,2
7,3,0,1,1,5,2,3,1,1,1,0,0,1,1,2,5,1,3,0,3,1,1,0,0
8,0,4,0,1,2,0,0,2,4,0,1,0,0,1,0,1,1,0,1,0,2,0,0,2
9,1,2,1,0,1,1,2,1,3,4,0,1,2,1,2,0,0,2,1,1,4,3,1,2
10,3,0,2,0,2,1,0,2,2,0,4,0,1,2,2,0,0,3,0,2,0,4,0,2
11,2,1,4,0,1,1,1,0,2,0,1,1,0,4,1,2,1,2,0,1,2,1,0,2
12,2,0,1,3,4,1,0,4,3,1,4,0,0,3,1,3,1,4,0,2,3,0,3,1
13,1,0,1,3,3,1,2,0,0,1,4,1,1,4,0,2,2,2,0,0,0,0,2,2
14,0,0,2,0,5,0,0,5,0,2,4,1,1,1,2,1,1,2,1,1,0,0,1,4
15,2,0,2,0,1,0,2,1,1,0,4,1,0,1,1,4,1,2,0,1,0,2,0,2
16,3,4,4,3,2,0,3,0,0,0,1,0,1,2,2,1,0,1,0,0,0,3,0,2
17,0,0,0,1,1,0,1,0,0,1,1,4,0,0,4,0,0,2,2,0,4,1,0,4
18,0,1,1,0,1,0,5,1,3,0,0,3,1,5,0,3,0,1,3,0,1,1,1,1
19,1,2,2,1,1,0,4,0,0,4,1,2,0,1,2,1,2,1,2,1,1,2,1,2
20,0,2,1,0,4,0,2,0,0,1,2,2,2,0,0,1,1,0,2,2,0,4,0,2
21,1,1,1,0,4,0,1,0,2,0,1,1,3,3,0,4,3,3,0,1,0,2,0,1
22,1,0,0,1,3,0,0,3,3,3,0,3,1,1,1,1,3,0,2,3,3,2,3,3
23,0,2,2,2,4,0,2,2,1,0,0,1,0,0,2,0,1,2,0,4,0,0,2,1
24,0,0,2,1,1,2,0,3,3,0,1,1,1,1,2,2,2,2,0,0,1,2,2,1
25,0,0,1,0,3,0,4,3,0,3,3,2,3,4,2,3,1,2,2,1,0,1,0,0
26,1,0,1,3,2,0,1,3,0,1,3,1,3,1,1,1,2,1,1,1,1,2,0,2
27,0,5,1,0,5,0,4,1,0,1,3,1,1,1,0,2,1,1,1,3,2,0,1,4
28,1,2,1,1,3,0,2,1,0,1,3,2,3,1,0,3,1,0,1,3,2,3,1,1
29,1,0,2,1,3,0,2,1,2,0,2,1,0,1,1,2,1,2,0,2,0,3,1,2
30,1,2,1,1,5,1,3,3,1,0,2,1,1,5,4,2,1,1,3,3,0,1,2,4
31,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,0,2,2,2,2,0
32,2,1,2,0,2,0,2,3,2,1,0,2,2,4,1,2,1,2,0,2,3,2,4,2
