,Dundee United scored,Dundee United received,Inverness C scored,Inverness C received,St Johnstone scored,St Johnstone received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,Dundee scored,Dundee received,Kilmarnock scored,Kilmarnock received,Ross County scored,Ross County received,Partick scored,Partick received,St Mirren scored,St Mirren received,Hamilton scored,Hamilton received,Aberdeen scored,Aberdeen received
0,3,0,2,0,2,1,1,0,1,0,1,1,1,1,1,2,0,1,0,1,0,2,0,3
1,1,0,0,0,0,3,3,0,0,1,0,0,0,2,0,4,4,0,0,2,2,0,2,0
2,1,6,2,0,0,1,6,1,0,2,1,1,2,1,1,2,1,1,2,2,1,0,2,2
3,2,1,1,0,1,0,0,1,0,2,1,0,2,0,1,2,1,2,0,1,2,1,0,1
4,3,0,2,0,1,0,1,1,0,1,1,1,0,2,0,4,0,2,0,3,4,0,2,0
5,2,2,1,3,0,1,2,1,2,1,1,0,2,1,1,2,3,1,1,2,2,2,1,2
6,4,1,2,1,1,2,1,1,1,1,1,4,0,0,0,3,1,2,2,1,0,0,3,0
7,2,0,2,3,0,2,2,1,0,4,1,2,3,0,2,1,0,3,1,2,4,0,3,2
8,0,2,1,1,1,2,0,1,1,3,2,3,2,0,1,1,3,1,2,1,1,0,3,2
9,1,0,1,0,1,2,5,0,1,3,3,1,2,1,0,5,0,1,0,1,3,0,0,3
10,0,1,1,0,0,0,2,0,0,1,2,0,0,2,2,2,0,0,2,2,0,2,1,0
11,3,0,0,1,2,1,1,0,1,2,3,1,1,3,0,1,3,3,0,3,3,3,1,0
12,0,1,4,2,1,1,2,1,1,0,1,1,0,3,3,0,1,0,0,1,2,4,1,2
13,3,1,3,1,2,1,2,1,1,3,1,2,1,3,1,2,0,1,0,3,3,0,1,0
14,3,2,2,1,1,0,1,0,0,1,1,2,1,1,2,3,1,1,0,1,0,3,3,0
15,0,2,0,4,1,0,4,1,2,2,1,2,0,1,2,2,4,0,1,4,2,1,2,0
16,2,1,0,1,1,0,1,2,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0
17,1,2,0,1,2,1,0,0,1,0,1,3,1,0,0,0,0,1,3,1,0,1,1,0
18,6,2,3,1,0,2,3,0,0,5,2,6,2,1,1,3,0,3,1,2,5,0,2,0
19,2,2,1,0,0,1,2,0,0,2,1,1,0,2,1,1,2,2,0,1,1,0,2,0
20,3,2,2,1,1,0,0,1,1,4,4,1,1,2,1,0,0,1,0,2,2,3,2,0
21,1,1,1,1,2,0,2,0,1,1,3,3,1,1,1,2,0,2,2,1,0,2,3,3
22,1,1,2,0,0,2,4,0,0,4,1,0,0,1,0,4,5,0,1,1,0,5,4,0
23,3,1,2,0,1,1,1,0,1,3,2,1,2,2,0,1,2,2,1,2,0,2,1,1
24,0,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,0,1,1,0,1,1,1,0
25,2,3,2,1,1,2,2,1,2,3,1,0,3,2,3,2,0,1,1,2,0,3,3,0
26,0,2,3,3,2,0,4,0,0,1,1,0,3,3,3,1,1,3,0,3,0,4,3,0
27,0,2,1,2,0,0,4,0,2,1,0,1,0,0,1,0,2,0,1,0,0,1,0,4
28,1,2,2,1,0,3,2,1,1,2,1,2,1,0,2,2,3,0,0,1,2,2,2,1
29,0,3,0,1,2,0,3,0,4,0,1,1,1,2,2,1,1,0,0,2,0,4,1,1
30,1,2,1,1,1,1,2,0,2,1,1,1,1,2,2,1,0,0,0,2,1,1,0,0
31,1,3,0,1,0,1,2,0,5,0,3,1,0,0,1,0,0,2,0,5,0,0,1,0
32,1,0,1,1,1,0,1,1,0,2,0,1,1,2,3,0,2,0,0,3,0,1,2,1
